global_id,model,module_id,module_name,record_class,source_id,source_version,source_file,source_sheet,source_row,layer,rule_type,applicable_group,rule_name,main_signal,secondary_signal,required_conditions,excluded_conditions,enhancing_conditions,weakening_conditions,exception_conditions,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence,validation_status,audit_status,upstream_dependencies,downstream_consumers,runtime_load,migration_status,native_reference,notes
M02-TG-0001-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0001-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,7,识别层,正式规则,通用,阳木天干；作为符号对象时先固定阴阳与五行属性。,天干,甲,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阳木天干；作为符号对象时先固定阴阳与五行属性。,天干甲：阳木。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!7,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0002-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0002-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,8,识别层,正式规则,通用,阴木天干；作为符号对象时先固定阴阳与五行属性。,天干,乙,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阴木天干；作为符号对象时先固定阴阳与五行属性。,天干乙：阴木。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!8,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0003-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0003-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,9,识别层,正式规则,通用,阳火天干；作为符号对象时先固定阴阳与五行属性。,天干,丙,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阳火天干；作为符号对象时先固定阴阳与五行属性。,天干丙：阳火。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!9,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0004-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0004-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,10,识别层,正式规则,通用,阴火天干；作为符号对象时先固定阴阳与五行属性。,天干,丁,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阴火天干；作为符号对象时先固定阴阳与五行属性。,天干丁：阴火。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!10,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0005-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0005-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,11,识别层,正式规则,通用,阳土天干；作为符号对象时先固定阴阳与五行属性。,天干,戊,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阳土天干；作为符号对象时先固定阴阳与五行属性。,天干戊：阳土。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!11,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0006-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0006-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,12,识别层,正式规则,通用,阴土天干；作为符号对象时先固定阴阳与五行属性。,天干,己,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阴土天干；作为符号对象时先固定阴阳与五行属性。,天干己：阴土。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!12,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0007-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0007-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,13,识别层,正式规则,通用,阳金天干；作为符号对象时先固定阴阳与五行属性。,天干,庚,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阳金天干；作为符号对象时先固定阴阳与五行属性。,天干庚：阳金。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!13,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0008-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0008-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,14,识别层,正式规则,通用,阴金天干；作为符号对象时先固定阴阳与五行属性。,天干,辛,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阴金天干；作为符号对象时先固定阴阳与五行属性。,天干辛：阴金。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!14,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0009-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0009-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,15,识别层,正式规则,通用,阳水天干；作为符号对象时先固定阴阳与五行属性。,天干,壬,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阳水天干；作为符号对象时先固定阴阳与五行属性。,天干壬：阳水。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!15,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-TG-0010-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-TG-0010-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,16,识别层,正式规则,通用,阴水天干；作为符号对象时先固定阴阳与五行属性。,天干,癸,前置条件：四柱天干或待分析天干已准确识别；必要条件：采用统一十天干阴阳五行映射,,,,例外条件：合化、从化等只在后续模块改变有效作用，不改本条基础属性；异说须在M21登记。,,,天干基础映射,阴水天干；作为符号对象时先固定阴阳与五行属性。,天干癸：阴水。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!16,来源/依据：传统十天干阴阳五行通行表；《三命通会》《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
