rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-FLOW-001,M2-FLOW｜模块核心定义,L4 选择通道与能量流向,模块基线,通用,基础,起点—桥梁—终点,,M2-GATE、M2-CORE、M2-SELF至少已有可用候选；共享基础引擎已提供十神生克、位置与状态。,基础排盘、十神映射或真合化结论低置信，且会改变流向性质。,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,建立FLOW模块；provisional=true,module_definition,M2-FLOW只解释用户通常先确认什么、通过什么证据把接触转为认真考虑，以及最后在哪个关系门槛上完成确认。路径采用“起点—桥梁—终点”表达，不把生克流向直接当作现实事件。,这一部分不是判断你会不会幸福，而是梳理：关系靠近时，你通常先看什么、再用什么验证，最后怎样确认这个人可以进入关系。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,所有后续FLOW规则必须服从本定义。,0.5
M2-FLOW-002,确认路径｜必须拆成起点、桥梁与终点,L4 选择通道与能量流向,路径结构,通用,基础,start→bridge→end,,拟生成确认路径。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,98,建立flow_start、flow_bridge、flow_end三个内部槽位,flow_structure,起点是最先进入判断的关系信息；桥梁是把初步接触转为伴侣资格的转换证据；终点必须落到可靠的primary_gate或proof_needed。桥梁可以为空，但终点不能缺失。,系统会把你的确认过程拆成“先注意什么—怎样验证—最后确认什么”，而不是只给一个笼统标签。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-003,确认路径｜主路径最多一条、次路径最多一条,L8 边界与禁用规则,输出上限,通用,门控,主路径＋次路径,,存在多个FLOW候选。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,primary_path最多1；secondary_path最多1,output_limit,用户报告必须保持可读性。即使命局存在多条可解释流向，也只能选择一个主路径与一个有独立功能的次路径；其余证据保留在basis_summary。,最终只保留最能解释你的主确认路径，必要时补充一条次路径，不会把所有信号堆成一长串。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-004,确认路径｜最低双证据门槛,L8 边界与禁用规则,证据门控,通用,门控,至少两类独立证据,,拟锁定任一F01—F12路径。,只有单一十神、单一位置或同一基础事实的重复映射。,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,证据不足则仅保留候选；confidence不高于中低,proof_threshold,固定确认路径至少需要两类独立证据，例如有效十神流向＋夫妻宫同维度，或夫妻星资格证据＋SELF方向支持。单一十神存在不足以确定现实确认顺序。,只有当至少两类不同证据都指向同一过程时，系统才会较明确地描述你的确认路径。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,建议开发建立evidence_source_id。,0.5
M2-FLOW-005,柱位顺序｜不得直接当作现实先后,L8 边界与禁用规则,时间线门控,通用,门控,年柱—月柱—日柱—时柱,,拟根据四柱排列顺序推断“先发生什么、后发生什么”。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,禁止由柱位文本顺序生成flow_sequence,chronology_guard,四柱位置可参与远近、内外显和关系核心程度判断，但不能直接等同现实关系的时间顺序。确认路径必须由有效流向、GATE/CORE终点及第二证据共同决定。,系统不会因为某个十神排在命盘前面，就断定你现实里一定先经历那一步。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-006,确认路径｜不等于进入速度,L8 边界与禁用规则,节奏门控,通用,门控,confirmation_path,,拟由某一确认路径直接判断较快或慢热。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,只生成tempo_candidate，不生成最终entry_tempo,tempo_guard,“先交流”“先行动”描述的是信息顺序，不是经过多少天或多久进入。进入节奏还需透藏、根气、重复验证、SELF位置和状态冲突共同判断。,先看行动不一定代表进入得快，先建立安全也不一定代表一定慢热；确认顺序和确认速度需要分开。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-007,确认路径｜不评价关系质量,L8 边界与禁用规则,结果门控,通用,门控,flow_path,,拟从流向顺畅、闭环或断流推出关系好坏。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,禁止写入partner_quality、relationship_result,boundary_note,流向只表示确认过程是否可解释、是否集中，不表示对象质量、关系适配或婚姻结果。闭环不自动吉，断流也不自动凶。,路径清楚只说明你怎样确认，不代表这样的关系一定更适合或结果一定更好。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-008,确认路径｜不得诊断依恋、创伤或心理问题,L8 边界与禁用规则,心理边界,通用,门控,确认顺序,,拟把安全先行、外证先行或熟悉积累解释为心理诊断。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,不合规文案禁止发布,language_guard,M2-FLOW是传统命理取象的关系选择模型，不具备诊断依恋类型、创伤、人格障碍或心理健康状态的效力。,需要安全、需要观察或容易先看对方行动，都只是确认方式不同，不代表你有某种心理问题。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-009,同源证据｜不得重复加分,L8 边界与禁用规则,去重门控,通用,门控,evidence_source_id,,多个路径分值实际来自同一十神、同一宫位或同一结构事实。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,同源只计一次；同一模块增强封顶,deduplication,同一事实被翻译为多个用户维度时只能按一项来源计分。例如同一伤官既映射交流又映射观点检验，不能制造两条独立证据。,同一个命理信号即使能解释成几种相近说法，系统也会合并计算，不会人为提高确定度。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
M2-FLOW-010,真合化｜原路径停止并重新映射,L5 状态修正,合化门控,通用,门控,真合化,,共享基础引擎可靠判定关键起点、桥梁或终点已真合化，原十神性质不再有效。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,,任意,任意,任意,未定,原性质有效,任意,100,停止原路径；route=按化神重算；confidence -1,flow_reroute,真合化改变原十神性质时，不能继续沿用原生克链解释确认顺序。必须基于化神后的十神维度重新建立起点、桥梁与终点。,如果关键结构已经真正转化，系统会按转化后的性质重新判断，不会继续套用原来的确认路径。,不得由本规则直接推出对象品质、忠诚度、职业收入、人格优劣、依恋类型、创伤经历、关系适配、相处结果、婚姻吉凶、对象数量、现实相识概率或具体进入关系时间。 不得把确认顺序解释为感情好坏，也不得把结构流向当作现实事件的必然时间线。,门控,待验证,,,0.5
