rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-SYNTH-001,M4-SYNTH正式定义｜模型四总合成,L0 定义、边界与安全,SYNTH-定义边界,通用,定义,M4-SYNTH模块规则,,BASE至BUFFER至少有一个有效结果；准备完成去重、裁决、证据等级、保护配对和报告生成。,共享基础状态停止，或现实安全门控要求退出普通关系分析。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,99,不加分；定义／路由,report_status,SYNTH不制造新的命理结论，只负责将七个模块按权威、证据和边界合成为一条可追溯的关系盲点链。,这一层把前面的功能、失衡、触发、循环、修复和保护信息整理成一份有主次、有证据等级的完整报告。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-002,七模块合成公式｜不得跳过中间层,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,七模块链,BASE→MISREAD→OVERUSE→TRIGGER→LOOP→REPAIR→BUFFER,至少完成正常功能来源和失衡机制；更高层结论必须满足各自前置条件。,直接从十神旺弱、夫妻宫或合冲刑害破跳到循环、修复或结局。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,99,前置门控,boundary_note,每个高阶字段必须由负责模块产生；SYNTH只连接，不越级补写。,先说明这项反应原本有什么作用，再判断它怎样失衡、何时启动、是否形成循环，以及什么资源能改变它。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-003,现实安全优先｜普通合成立即停止,L0 定义、边界与安全,SYNTH-定义边界,通用,安全,安全门控,暴力／威胁／强迫／跟踪／经济控制／明显权力压迫,现实资料出现安全风险或明显单方伤害。,无,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,99,强制停止；总体分清零,safety_status,安全事实优先于命理解释；停止“双方循环”和普通沟通化解框架。,当前首先要处理的是现实安全、停止伤害和选择权，而不是继续解释双方怎样互相触发。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-004,资料不足停止｜关键基础字段不可补写,L0 定义、边界与安全,SYNTH-定义边界,通用,停止,数据完整性,基础十神／真合化／现实事件缺失,负责字段所需的硬条件缺失或存在不可裁决争议。,仅缺少非关键修饰字段。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,99,停止对应字段；保留可确定部分,report_status,字段级停止优先于强行生成完整画像；允许有限报告，不允许用常识补齐缺失事实。,现有资料只能支持其中一部分判断，其余内容需要暂时保留。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-005,正常功能先行｜盲点不得从坏标签起步,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,正常功能门控,functional_origin,准备发布任何主盲点或次盲点。,无法说明该反应在关系中的正常功能。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,98,前置门控,functional_origin,没有正常功能，就无法说明何为过用、不足、替代或错位。,这项反应本来有它的价值；盲点只在特定条件下出现。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-006,现实行为优先｜命理候选服从反例,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,现实优先,现实行为／反馈／反例,命理结构候选与现实记录同时存在。,现实记录来源明显不可靠且无法核对。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,98,反例可降级、停止或改道,counterevidence,结构用于提出问题，现实行为用于确认、否定或调整问题。,如果真实经历长期显示相反结果，应以现实经历为准，而不是坚持命理标签。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-007,证据等级与置信度分离,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,证据体系,E0—E4,准备合成最终强度和置信。,无,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,98,不直接加分；分层计算,evidence_grade,证据等级说明结论能发布到哪一层；置信度说明在该层内证据是否一致、完整。,“证据层级高”与“判断很确定”不是同一个概念，两者需要分别说明。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-008,分数不得越过硬门槛,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,硬门槛,评分与前置条件,候选得分较高但缺少E2、E3或E4硬节点。,硬节点完整。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,98,封顶或停止升级,evidence_grade,任何数值都不能替代触发、反馈、复发、接收反馈或持续兑现等硬证据。,即使结构信号很强，缺少现实节点时，也不能升级成“已经形成循环”或“已经稳定改变”。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-009,同一事实只算一次基础权重,L0 定义、边界与安全,SYNTH-定义边界,通用,去重,source_id门控,同源事实,同一日支、同一透根、同一事件或同一反馈被多个模块读取。,来源确实独立。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,97,重复分归零；保留多角度解释,dedup_log,规则条数不等于独立证据数；同一source_id只能贡献一次基础权重。,同一个命理事实可以被不同模块解释，但不能因此被当成多份证据。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
M4-SYNTH-010,不得推断对方动机,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,反馈证据,对方可观察行为,LOOP或REPAIR需要记录对方节点。,有当事人直接陈述且注明来源。,由共享基础引擎提供；只修正功能承载、压力占位与执行稳定性，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题与资格证据，不单独建立盲点、循环或修复结论。,由M3-BASE及共享引擎提供；日支与近位提高亲密关系相关性，但同一source_id只计算一次。,由M3与M4各模块提供；必须存在可说明的功能起点、转换、反馈与终点，不凭五行生克补写现实行为。,由共享基础引擎判定；近位提高直接相关性，远位降级为背景、阶段或条件性修正。,由共享基础引擎判定；根气修正重复调用能力，不等于现实行为已经重复发生。,由共享基础引擎判定；旺弱修正调用强度，不直接等同风险大小或功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同善恶、成熟度、关系结果或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高亲密关系直接性，远位仅保留背景或低置信修正。,97,删除动机推断,boundary_note,只记录联系、回应、提出边界、配合、反驳等可观察行为，不由命盘补写原因。,报告只描述对方做了什么，不替对方解释为什么这样做。,不得仅凭本规则推出对方动机、人格或道德结论，不得预测具体事件、日期、分手、离婚、背叛、暴力或关系必败；不得把结构候选写成现实已发生，不得用保护因素淡化现实伤害；现实行为、反例、安全事实与专业支持优先。,高,待验证,,provisional=true,0.9
