global_id,model,module_id,module_name,record_class,rule_name,layer,rule_type,main_signal,output_slot,priority,validation_status,runtime_load,source_file,native_reference
M02-TG-0001-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阳木天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!7
M02-TG-0002-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阴木天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!8
M02-TG-0003-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阳火天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!9
M02-TG-0004-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阴火天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!10
M02-TG-0005-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阳土天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!11
M02-TG-0006-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阴土天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!12
M02-TG-0007-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阳金天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!13
M02-TG-0008-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阴金天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!14
M02-TG-0009-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阳水天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!15
M02-TG-0010-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,阴水天干；作为符号对象时先固定阴阳与五行属性。,识别层,正式规则,天干,天干基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!16
