编码类型,编码,中文名称,标准定义,适用字段,排序,是否启用,备注
记录类型,REC01,正式规则,记录类型的标准选项：正式规则。具体成立条件由对应模块规则定义。,记录类型,1,是,
记录类型,REC02,示例,记录类型的标准选项：示例。具体成立条件由对应模块规则定义。,记录类型,2,是,
记录类型,REC03,待验证,记录类型的标准选项：待验证。具体成立条件由对应模块规则定义。,记录类型,3,是,
对象类别,OBJ01,天干,对象类别的标准选项：天干。具体成立条件由对应模块规则定义。,对象类别,1,是,
对象类别,OBJ02,地支,对象类别的标准选项：地支。具体成立条件由对应模块规则定义。,对象类别,2,是,
对象类别,OBJ03,五行,对象类别的标准选项：五行。具体成立条件由对应模块规则定义。,对象类别,3,是,
对象类别,OBJ04,十神,对象类别的标准选项：十神。具体成立条件由对应模块规则定义。,对象类别,4,是,
对象类别,OBJ05,组合,对象类别的标准选项：组合。具体成立条件由对应模块规则定义。,对象类别,5,是,
对象类别,OBJ06,格局,对象类别的标准选项：格局。具体成立条件由对应模块规则定义。,对象类别,6,是,
对象类别,OBJ07,病药,对象类别的标准选项：病药。具体成立条件由对应模块规则定义。,对象类别,7,是,
对象类别,OBJ08,输出字段,对象类别的标准选项：输出字段。具体成立条件由对应模块规则定义。,对象类别,8,是,
对象类别,OBJ09,案例,对象类别的标准选项：案例。具体成立条件由对应模块规则定义。,对象类别,9,是,
对象类别,OBJ10,版本记录,对象类别的标准选项：版本记录。具体成立条件由对应模块规则定义。,对象类别,10,是,
阴阳,YY-YANG,阳,阴阳的标准选项：阳。具体成立条件由对应模块规则定义。,阴阳,1,是,
阴阳,YY-YIN,阴,阴阳的标准选项：阴。具体成立条件由对应模块规则定义。,阴阳,2,是,
五行,WX-MU,木,五行的标准选项：木。具体成立条件由对应模块规则定义。,五行、候选五行、合化候选五行、适用五行,1,是,
五行,WX-HUO,火,五行的标准选项：火。具体成立条件由对应模块规则定义。,五行、候选五行、合化候选五行、适用五行,2,是,
五行,WX-TU,土,五行的标准选项：土。具体成立条件由对应模块规则定义。,五行、候选五行、合化候选五行、适用五行,3,是,
五行,WX-JIN,金,五行的标准选项：金。具体成立条件由对应模块规则定义。,五行、候选五行、合化候选五行、适用五行,4,是,
五行,WX-SHUI,水,五行的标准选项：水。具体成立条件由对应模块规则定义。,五行、候选五行、合化候选五行、适用五行,5,是,
藏干层级,HG01,本气,藏干层级的标准选项：本气。具体成立条件由对应模块规则定义。,藏干一层级、藏干三层级、藏干二层级,1,是,
藏干层级,HG02,中气,藏干层级的标准选项：中气。具体成立条件由对应模块规则定义。,藏干一层级、藏干三层级、藏干二层级,2,是,
藏干层级,HG03,余气,藏干层级的标准选项：余气。具体成立条件由对应模块规则定义。,藏干一层级、藏干三层级、藏干二层级,3,是,
藏干层级,HG04,无,藏干层级的标准选项：无。具体成立条件由对应模块规则定义。,藏干一层级、藏干三层级、藏干二层级,4,是,
规则层级,L1,识别层,确认客观关系或事实是否存在，不判断其吉凶、增减力或最终作用。,规则层级,1,是,
规则层级,L2,效应层,判断已识别关系实际产生的合绊、冲动、转化、根气变化或流通影响。,规则层级,2,是,
规则层级,L3,结构层,汇总有效力量、十神功能、组合、流通、调候等中层结构结论。,规则层级,3,是,
规则层级,L4,综合层,完成格局、病药、用神与冲突裁决，输出最终可回溯结论。,规则层级,4,是,
关系类型,REL01,天干五合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,1,是,
关系类型,REL02,天干相克,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,2,是,
关系类型,REL03,争合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,3,是,
关系类型,REL04,妒合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,4,是,
关系类型,REL05,隔合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,5,是,
关系类型,REL06,遥合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,6,是,
关系类型,REL07,六合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,7,是,
关系类型,REL08,三合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,8,是,
关系类型,REL09,半合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,9,是,
关系类型,REL10,拱合,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,10,是,
关系类型,REL11,三会,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,11,是,
关系类型,REL12,六冲,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,12,是,
关系类型,REL13,三刑,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,13,是,
关系类型,REL14,自刑,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,14,是,
关系类型,REL15,六害,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,15,是,
关系类型,REL16,六破,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,16,是,
