rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-MISREAD-001,M4-MISREAD正式定义｜关系识别与证据误读,L0 模型边界与证据,MISREAD-定义边界,通用,定义,M4-MISREAD模块规则,,M4-MISREAD被调用；需要判断用户是否把心动、外显优点、单次表现或准入证据误当成更完整的关系能力。,M1／M2关键字段停止；现实关系资料完全缺失且只有单一标签；或存在现实安全问题。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,99,不加分；定义／路由,report_status,本模块识别“证据被读成了什么”，不判断对方本质好坏，也不直接判断循环和结局。,这一部分重点看：你最容易被哪类外显信号说服，以及这项信号还缺少哪些现实证据，才能支持更完整的关系判断。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-002,先确认有效信号｜禁止从坏标签起步,L0 模型边界与证据,MISREAD-定义边界,通用,边界,有效关系信号,,需要判断一项外显优点是否被过度加权。,无法说明该信号在M1、M2或M3中的正常功能。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,98,前置门控,functional_origin,误读必须从真实可理解的吸引点或资格信号出发，再判断它是否被越级使用。,你注意到的这项特质本身并不一定有问题；需要区分的是，它能证明什么，又不能替代什么。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-003,标签、行为与能力三层分离,L0 模型边界与证据,MISREAD-定义边界,通用,定义,标签—行为—能力,,分析对象包含身份、气场、魅力、表达、投入、理解、独立等外显标签。,已经有跨情境、重复且可复核的行为证据，且不存在明显反例。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,98,建立三层证据框架,evidence_gap,标签只能启动观察；单次行为只能形成局部证据；稳定能力需要重复、跨情境和反馈整合。,一个人看起来具备某种特质，不等于这项特质已经稳定地转成了关系能力。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-004,心动信号不得直接通过关系门槛,L0 模型边界与证据,MISREAD-定义边界,通用,边界,M1→M2越级,,M1心动触发明显；准备推断对方已具备M2关系资格。,M2独立资格证据已持续成立并完成去重。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,98,阻止J03心动越级,misread_pattern,M1回答“为什么被吸引”，不能独立回答“为什么值得进入关系”。,让你产生感觉的特质可以成为观察起点，但不能自动替代你真正进入关系时需要的证据。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-005,准入证据不得替代相处能力,L0 模型边界与证据,MISREAD-定义边界,通用,边界,M2→M3越级,,M2某项资格证据成立；准备推断对方已具备完整沟通、照顾、边界、冲突或修复能力。,相应M3能力已有独立现实证据。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,98,阻止J04准入越级,misread_pattern,一个人能通过关系门槛，不等于所有相处功能都已经成熟或稳定。,对方能让你愿意认真考虑，和对方进入关系后怎样沟通、承担与修复，是两个不同层次。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-006,强烈程度不得等同质量,L0 模型边界与证据,MISREAD-定义边界,通用,边界,强度≠质量,,某信号旺、透、近位或现实表现强烈。,存在跨情境一致性、反馈整合与反例处理，能够证明质量。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,97,阻止J05强度误读,evidence_gap,显眼、快速和强烈只提高注意度或启动概率，不自动提高可靠性、稳定性或适配度。,越强烈的第一印象，越需要把“容易看见”与“长期可靠”分开判断。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-007,单次高光不得等同稳定模式,L0 模型边界与证据,MISREAD-定义边界,通用,边界,单次表现≠稳定能力,,只观察到一次承诺、一次行动、一次投入、一次理解或一次深度交流。,同类行为已在不同情境重复并经现实反馈确认。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,97,验证层级封顶V2,verification_depth,单次高光可以作为证据点，但不能独立证明持续能力。,一次做得很好值得记录，但还不能单独说明对方会长期以同样方式相处。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-008,独立证据门槛,L0 模型边界与证据,MISREAD-定义边界,通用,证据门控,source_id与跨模块证据,,准备建立E1或E2误读候选。,所有支持都来自同一source_id、同一日支事实或同一表现的重复解释。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,97,去重后计分,evidence_level,至少两类独立证据才能建立较明确的误读候选；规则出现次数不等于证据数量。,只有当不同来源的信息彼此支持时，才会把它保留为较明确的判断偏差候选。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-009,同源重复必须去重,L0 模型边界与证据,MISREAD-定义边界,通用,去重,同一事实多模块复用,,同一夫妻星、日支或现实行为被M1、M2、M3和M4多次引用。,确有第二个独立事实源。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,97,同源只计一次,dedup_log,一个事实可以承担不同解释功能，但基础证据只能计算一次。,同一项表现即使在多个模块里都很重要，也不能被当成多次独立证明。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
M4-MISREAD-010,E0停止｜基础字段或现实层级不足,L0 模型边界与证据,MISREAD-定义边界,通用,证据等级,E0 STOP,,M1／M2关键字段未定；真合化争议；只有单一弱远标签；或无法区分标签与行为。,基础字段已稳定且存在至少两类独立证据。,由共享基础引擎提供；只修正承载与判断执行，不直接等同有无主见。,由M1／M2接口提供；夫妻星身份只决定议题角色，不单独证明现实能力。,由M2-GATE与M3-BASE提供；夫妻宫只说明关系门槛／运行主题，不等于对方人格。,由M2-FLOW及M3相关模块提供；没有有效路径证据时不得补写现实先后。,由共享基础引擎判定；位置主要修正外显度与进入亲密核心的概率。,由共享基础引擎判定；根气主要修正重复性，不代表现实行为已被验证。,由共享基础引擎判定；强弱修正信号强度，不直接等同质量高低。,喜忌只修正使用摩擦与平衡，不直接等同值得信任或不值得信任。,原十神性质有效；真合化成立时按化神功能替换，争议时停止定性。,由共享基础引擎判定；近位提高关系相关性，远位降级为背景候选。,96,E0停止,evidence_level,基础证据不足时，停止固定误读类型，避免用模板填空。,当前资料不足以固定你最容易出现哪一种证据误读，只能保留待观察项。,不得仅凭本规则推出对方虚假、自私、控制、花心、欺骗、暴力，也不得推出人格／依恋障碍、分手离婚、背叛或关系必败；误读候选必须结合持续现实行为、反例与保护因素验证。,高,待验证,,provisional=true,0.3
