冲突ID,主题,冲突来源,统一裁决,类型,状态
CF001,基础力量重复计算,M0.M07/M08/M09 与 M1-M5 strength_level/self_strength_status,M0拥有力量计算权；上层只引用、转译或记录承载影响,硬冲突,已裁决
CF002,关系识别直接等于效应,M0.M04/M05 与上层刑冲合会解释,先识别，再由M0.M06判断逐对象效应；不得见冲即拔根、见刑即固定减力,硬冲突,已裁决
CF003,喜忌字段越权,M0.M17/M18 与 M1-M5 favorability,M0给出原局五维喜忌；上层只判断该功能在具体关系任务中的顺畅度,硬冲突,已裁决
CF004,合化状态重复判断,M0.M04/M06/M18 与 M1-M5 transformation_status,真合化、合而不化和争议由M0确定；上层不能重判,硬冲突,已裁决
CF005,M1心动等于适配,M1.CORE 与 M5.SYNTH,心动只解释入口，不增加长期适配基础分；需独立现实行为和RG,模型边界,已裁决
CF006,M2准入等于长期成熟,M2.SYNTH 与 M5,通过准入只说明愿意进入关系，不能证明交换、边界、修复和节奏,模型边界,已裁决
CF007,M2节奏与M5节奏混用,M2.TEMPO 与 M5.RHYTHM,M2负责进入关系前的确认节奏；M5负责关系建立后的长期节奏,字段冲突,已裁决
CF008,M3个人惯性等于双人结构,M3 与 M5.EXCHANGE/BOUND/REPAIR/RHYTHM,M3提供命主自然功能；双人结构必须加入具体对象与现实事件,模型边界,已裁决
CF009,M4风险等于现实伤害,M4 与现实事件,M4只输出失衡候选；是否现实发生由event_id和安全资料决定,证据冲突,已裁决
CF010,M4保护自动抵消历史风险,M4.BUFFER 与 M5.SYNTH,保护只有在现实调用并改变同一风险链时才有效，历史风险不清零,证据冲突,已裁决
CF011,安全风险被平均,M4/M5普通双方结构 与 RG01/RG07,暴力、强迫、监控、经济控制、身体或性越界立即停止普通互补叙事,安全冲突,已裁决
CF012,核心现实门槛被结构高分覆盖,M5各模块 与 RG02/RG03/RG06/RG07,核心意图、人生目标、婚育家庭、身体亲密不匹配时最高FG2或停止,硬冲突,已裁决
CF013,同一命盘事实跨模块重复加权,M0 source 与 M1-M5多个模块,同一source_id基础权重只计一次，允许多角色解释,去重冲突,已裁决
CF014,同一现实事件重复计数,PARTNER/EXCHANGE/BOUND/REPAIR/RHYTHM/GAP,同一event_id只算一次事件，允许支持多个字段,去重冲突,已裁决
CF015,M1字段结构不一致,M1 26字段 与 M2-M5 31字段,统一层补充5个空字段：self_strength_status、spouse_star_status、palace_signal、flow_path、distance_level,迁移问题,已处理
CF016,规则状态词汇不一致,M0采用/待验证/示例 与 上层待验证/已验证/停用,统一为active/provisional/example/deprecated，同时保留native_status,迁移问题,待实现运行时映射
CF017,置信词汇不一致,M0较高/中等 与 上层高/中高/中/中低/低,统一API枚举，保留原始置信文本和映射说明,迁移问题,待实现
CF018,Excel日期序列,M0更新日期/生效日期为Excel serial,导入时转ISO-8601；原值保存在native_payload或source_reference,数据问题,待实现
CF019,M0测试与治理误加载,M0.M20/M21 与 运行时规则,M20测试案例、M21治理记录不进入普通运行时规则队列,运行时冲突,已裁决
CF020,M0输出字段被上层重算,M0.M19 与 M1-M5,M1-M5通过M0 output contract读取；不得从散落原始规则重新推导另一个M0结论,接口冲突,已裁决
CF021,M0静态与岁运动态混用,M0-M5 与 动态分析,M0只输出原局静态基准；大运流年和具体时点转D0动态模型,职责缺口,未建设D0
CF022,M3模块不完整,M3缺REPAIR/STATE/SYNTH,M4/M5相关接口标provisional并降置信；开发前列入必补项,依赖缺口,未解决
CF023,M1仅CORE,M1只有核心规则V0.2,可以运行核心心动模型，但缺少正式总合成、JSON和校准闭环,依赖缺口,未解决
CF024,M2局部工作簿缺失,M2_GATE、M2_SYNTH只有CSV,CSV作为规则真源；总规则库V0.8作为阅读入口，不强制补局部xlsx,文件差异,已裁决
CF025,M5校准工作簿重复,两个V0.10校准工作簿,以“M5_CALIBRATION_真实案例校准工作台_V0.10.xlsx”为当前版；“真实伴侣…”归档,版本冲突,已裁决
CF026,设计文档历史并存,M3 V0.1-V0.6、M4 V0.1-V0.9、M5 V0.1-V0.9,运行时不读取设计文档；最新版本为开发规范，旧版只用于审计,版本冲突,已裁决
CF027,模块xlsx与CSV重复,同一模块同时有CSV和xlsx,CSV作为机器规则真源；xlsx作为人工阅读镜像,文件重复,已裁决
CF028,模块JSON与统一JSON关系,M4/M5独立Schema 与 V1.0统一Schema,保留模块Schema；统一Schema作为外层封装和跨模块契约，不无痕覆盖,Schema冲突,已裁决
CF029,具体对象八字替代现实资料,可选对象命盘 与 M5现实证据,对象命盘可作为辅助结构输入，不能替代对方行为、同意与RG,证据边界,已裁决
CF030,传统性别夫妻星口径,M1/M2传统男命女命映射,实现为configurable policy；保留传统默认，但不得强制等同现实性别或关系形式,产品配置,待开发
CF031,具体日期预测,M0-M5静态结构与用户事件时间问题,不输出婚期、相遇月、分手日期或固定联系次数；转动态模型与现实计划,职责边界,已裁决
CF032,病药术语误作医疗建议,M0.M16/M17,病药为结构比喻，不构成医学诊断、用药或健康建议,安全边界,已裁决
CF033,适配等级误作成功率,M5 FG/AF,FG是证据发布等级，AF是当前状态，均不是婚姻成功概率,语言冲突,已裁决
CF034,旧规则原地覆盖,所有模块,重大语义修改新建ID或版本映射；旧ID停用但不删除,版本治理,已裁决
CF035,预览与stage文件误入运行时,PNG、_stage、测试临时文件,全部归档；运行时只加载权威CSV/Schema/配置,文件治理,已裁决
