rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-OVERUSE-001,M4-OVERUSE正式定义｜功能失衡与通道竞争,L0 模型边界与证据,OVERUSE-定义边界,通用,定义,M4-OVERUSE模块规则,,需要判断一个正常关系功能是否被过度调用、调用不足、替代其他功能、顺序错位、彼此竞争或无法转换。,基础命理状态停止；M3关键功能无有效来源；只有负面标签而无法说明正常功能。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,99,不加分；定义／路由,report_status,本模块研究功能怎样失衡，不给十神贴坏标签，也不独立判断重复循环和关系结局。,这一部分重点看：你本来擅长使用的关系功能，在什么条件下可能用得太多、太少，或挤占了另一项同样必要的功能。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-002,正常功能优先｜禁止从负面人格起步,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,有效正常功能,,准备建立任何过用、不足或竞争候选。,无法说明该十神或功能系统在M3中的正常用途。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,98,前置门控,functional_origin,失衡必须从真实可理解的关系功能出发；没有正常功能，就没有“过用”或“替代”的逻辑基础。,先保留这项功能原本的价值，再判断它在什么情况下可能占位过多或进入得太晚。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-003,过用不等于信号强｜必须存在占位证据,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,强度≠过用,,某十神旺、透、近位或现实表现明显。,没有挤占、抢先、重复占位或排除其他必要功能的证据。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,97,阻止机械负面化,stop_reason,强只说明容易调用；只有功能占位过多并压缩其他必要通道时，才建立K01。,某种方式很常用，不代表它一定用过头；还要看它是否让另一项必要任务长期进不来。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-004,不足不等于十神弱｜必须是必要功能缺位,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,弱度≠不足,,某十神偏弱、藏而远或无根。,该功能不是当前关系任务的必要环节，或已有其他有效通道完成同一任务。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,96,阻止机械缺失,stop_reason,弱只说明可用性较低；必须证明该功能在当前任务中不可替代且确实没有进入，才能建立K02。,某种表达不明显，不等于关系一定缺少它；需要先看是否有别的方式完成了同样的任务。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-005,替代必须有“被替代功能”｜不能只看单通道强,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K03成立门槛,,一项熟悉功能被用来完成另一项不同关系任务。,目标功能已经独立、有效且按需要进入；或两项本来就是同义描述。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,95,前置门控,substitute_function,K03必须同时写清“谁在替代谁”和“被替代功能为什么没有完成”。,你可能会先用自己最熟悉的方式处理问题，但还要继续确认：它有没有替代另一项本来需要单独完成的任务。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-006,顺序错位必须有两个有效功能｜不能凭生克补写,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K04成立门槛,,两个必要功能都有效，但现实启动顺序可能让前一项压住后一项。,只有一个功能有效；没有顺序证据；或先后本身并不影响任务完成。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,94,前置门控,sequence_pattern,K04研究正确功能在错误时点出现，不等于任何“先做A后做B”都是问题。,有时不是缺少能力，而是处理顺序不合适：该先听、先谈或先定边界的环节进入得太晚。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-007,竞争必须是两项真实功能｜不能把矛盾词当冲突,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K05成立门槛,,两项不同功能都强、都想在同一阶段主导，且缺少分工或协调路径。,两项同源同义；已形成清楚先后或角色分工；一项只是弱背景。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,93,前置门控,competition_pattern,K05不是“性格矛盾”，而是两项有效功能争夺同一处理位置。,你可能同时重视两件都合理的事，难点不在谁对谁错，而在它们是否有清楚的先后和分工。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-008,转换受阻必须存在起点与目标｜不能把相生当完成,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K06成立门槛,,起点功能有效，目标功能也是当前任务所需，但中间转换缺乏桥接或现实兑现。,目标任务并不需要；已经通过另一条稳定路径完成；或只有五行相生而无现实功能证据。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,92,前置门控,flow_block,K06描述“第一步做到了，但没有转成下一步”，不能由五行生助单独推出。,你可能已经完成前半段，例如理解、表达或投入，但关系真正需要的下一步还没有自然发生。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-009,K07反馈放大交给LOOP｜本模块不得建立循环,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K07后续路由,,观察到可能的对方反馈或相互强化。,尚无至少两个现实事件的顺序证据。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,91,路由M4-LOOP,boundary_note,OVERUSE只建立功能失衡候选；反馈回路必须由M4-LOOP独立验证。,这一阶段只能说明某种反应可能引出后续问题，不能直接说双方已经形成固定循环。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
M4-OVERUSE-010,K08修复断链交给REPAIR｜本模块不得判断修复失败,L0 模型边界与证据,OVERUSE-定义边界,通用,边界,K08后续路由,,问题处理后，怀疑关系没有真正回流。,M3-REPAIR尚未完成，或没有真实修复过程资料。,由共享基础引擎提供；只修正功能承载、执行强度和压力反应，不直接等同有无主见。,由M1／M2接口提供；夫妻星只标注关系议题角色，不单独证明过用、不足或竞争。,由M3-BASE提供；日支底盘提高关系相关性，但不能单独建立失衡结论。,由M3及共享流向引擎提供；没有有效起点、转换和终点时，不得补写现实处理顺序。,由共享基础引擎判定；近位提高亲密关系相关性，远位降级为背景候选。,由共享基础引擎判定；根气主要修正重复调用能力，不等于现实中已经反复发生。,由共享基础引擎判定；强弱只修正调用强度与可用性，不直接等同功能质量。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟或道德品质。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高进入关系核心的概率，远位只保留背景修正。,90,路由M4-REPAIR,boundary_note,OVERUSE不能把“问题未完全处理”直接写成修复失败。,事情处理完不等于关系已经恢复；但是否存在修复卡点，需要另一个模块和现实过程继续判断。,不得仅凭本规则推出控制、冷战、讨好、攻击、依赖、花心、自私、欺骗、暴力、人格／依恋障碍、分手离婚或关系必败；必须结合真实行为、触发情境、反例与保护因素验证。,高,待验证,,provisional=true,0.4
