rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-CORE-001,女命正官｜核心伴侣资格证据,L2 夫妻星准入原型,夫妻星准入基础,女命,基础,正官夫妻星,,共享基础引擎可靠判定正官形成有效关系信号并在同类夫妻星中主导；原十神性质仍有效。,正官真合化后原性质消失；基础十神映射置信度不足；另一夫妻星势均且主次未决。,待M2-SELF合成,有效、主导,待M2-GATE合成,待M2-FLOW合成,未定,未定,有效,未定,原性质有效,未定,90,G01 承诺清晰 +24；形成伴侣资格证据候选,proof_needed,女命传统夫妻星中的正官若形成有效且主导的关系信号，M2不把它解释为“喜欢可靠的人”，而解释为：用户在决定是否认真进入关系时，会把关系是否明确、承诺能否持续兑现、责任是否有人承担，以及角色边界是否清楚，视为伴侣资格证据。,你更容易在对方把关系说清楚、能够持续守约，并愿意承担相应责任时，把这个人放进认真考虑的范围。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,中高,待验证,,本规则只说明什么现实表现容易获得伴侣资格，不重复M1的心动人格画像。,0.3
M2-CORE-002,女命正官｜现实证据清单,L2 夫妻星准入原型,夫妻星准入基础,女命,输出,正官夫妻星,,女命正官核心伴侣资格证据已成立。,核心资格证据未成立或已被停止。,待M2-SELF合成,有效、主导,待M2-GATE合成,待M2-FLOW合成,继承主规则,继承主规则,继承主规则,继承主规则,原性质有效,继承主规则,89,不重复加分；生成可观察行为证据,proof_needed,正官准入证据应至少来自可观察行为：明确表达关系意图；约定后持续兑现；在关键决定上不回避；愿意承担相应时间、角色与责任；关系公开程度与双方约定一致。职业、身份或气质不能替代这些行为。,比起一句好听的承诺，你更看重对方能否连续做到、遇到需要负责的事情是否站出来，以及关系身份是否与实际行动一致。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,继承主规则,待验证,,报告只选2—4项最有代表性的现实行为，不把全部证据堆给用户。,0.3
M2-CORE-003,女命正官｜证据充分性门槛,L8 边界与禁用规则,夫妻星证据门控,女命,门控,正官夫妻星,,拟将正官写入核心proof_needed或entry_pattern。,已有至少两类相互独立且持续的现实证据；或夫妻宫同维度强支持。,待M2-SELF合成,有效或候选,可由同维度支持豁免部分门槛,待M2-FLOW合成,任意,任意,任意,任意,原性质有效,任意,97,证据不足时不得进入核心输出；仅保留候选,proof_threshold,单次表态、社会身份、职业头衔、礼貌克制或看起来“正规”都不足以单独满足正官准入。至少需要“明确表态＋持续守约或责任兑现”的组合证据，才可把正官写入核心 proof_needed。,一个人看起来正规，或者一开始说得很认真，还不足以完成你的关系准入；真正有说服力的是表态之后仍能持续兑现。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,门控,待验证,,这是M1到M2的关键分界：人格印象或一次表现不能直接等于关系准入。,0.3
M2-CORE-004,女命正官｜次级准入证据,L2 夫妻星准入原型,夫妻星准入基础,女命,修正,正官夫妻星,G11 身份与秩序认可,正官核心资格证据成立；次级维度有独立行为支持或与夫妻宫形成对应。,次级维度只有同义重复；或基础证据不足。,待M2-SELF合成,有效、主导,可形成同维度增强或异维度次级门槛,待M2-FLOW合成,继承主规则,继承主规则,继承主规则,继承主规则,原性质有效,继承主规则,74,G11 身份与秩序认可 +8；不得覆盖G01 承诺清晰,secondary_gate,正官除了强调承诺兑现，也会提高用户对关系身份、基本秩序和双方责任边界的确认需求。该维度只能作为次级门槛或同维度增强，不能推断用户保守、传统或只接受某种社会形式。,除了是否守约，你也会在意这段关系有没有清楚的位置和边界；长期含糊、责任悬空，通常很难让你真正放心进入。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,中,待验证,,次级维度只有在有独立证据时输出；同义证据应合并而非重复加分。,0.3
M2-CORE-005,女命正官｜关系选择模式候选,L7 自然语言输出,夫妻星模式候选,女命,模式候选,正官夫妻星,P01 承诺确认型,正官核心资格证据成立；G01 承诺清晰达到候选阈值。,M2-GATE形成更强且不同的核心门槛；或后续M2-COMB判定其他模式更完整。,待M2-SELF合成,有效、主导,待M2-GATE合成,待M2-FLOW合成,继承主规则,继承主规则,继承主规则,继承主规则,原性质有效,继承主规则,70,生成P01 承诺确认型候选；不额外加分,entry_pattern_candidate,G01 承诺清晰若得到夫妻宫或其他独立证据支持，可生成P01 承诺确认型候选；本模块不能单独锁定最终entry_pattern。,从伴侣资格证据看，你的关系选择更接近“承诺确认型”：你需要先看到相应的现实表现，才更愿意认真进入。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,中,待验证,,最终entry_pattern由M2-COMB统一决定。,0.3
M2-CORE-006,女命正官｜依据摘要,L7 自然语言输出,夫妻星准入基础,女命,输出,正官夫妻星,,正官资格证据已进入暂定或最终输出。,该信号被降级、删除或真合化。,待M2-SELF合成,有效,继承合成结果,继承合成结果,继承主规则,继承主规则,继承主规则,继承主规则,原性质有效,继承主规则,55,不加分,basis_summary,正官在M2中对应承诺、责任、角色与秩序证据。其有效且主导时，用户更容易通过关系明确度与责任兑现来授予伴侣资格。,从传统夫妻星取象看，正官信号使你更容易把承诺清晰当作伴侣资格证据。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,继承主规则,待验证,,依据摘要只写一到两句，避免堆叠专业术语。,0.3
M2-CORE-007,女命正官｜透干且有根,L5 状态修正,夫妻星状态修正,女命,修正,正官夫妻星,,正官透干且有根；原十神性质有效。,真合化；共享基础引擎判定该信号无效。,待M2-SELF合成,外显、稳定,待M2-GATE合成,待M2-FLOW合成,透干,有根,继承,继承,原性质有效,继承,82,G01 承诺清晰 +5；selection_clarity +1,selection_clarity,正官透干使伴侣资格标准较容易被意识和表达；有根使该标准不只停留在口头或表面筛选。,你通常较容易意识到自己要看什么，并会较早观察对方是否真正具备“承诺清晰”的证据。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,高,待验证,,不能仅凭透干就判断较快进入关系；进入节奏仍由M2-TEMPO合成。,0.3
M2-CORE-008,女命正官｜透干但无根,L5 状态修正,夫妻星状态修正,女命,修正/降级,正官夫妻星,,正官透干但无根；仍未被完全否定。,真合化；另有更强相反证据。,待M2-SELF合成,外显但稳定性待验,需要M2-GATE或现实证据支持,待M2-FLOW合成,透干,无根,偏弱或不稳,继承,原性质有效,继承,80,G01 承诺清晰 +2；confidence 降一级；不得单独锁定核心,selection_clarity,正官透干会让相关标准在口头或第一轮筛选中显得清楚，但无根意味着是否长期坚持仍需夫妻宫、重复行为或其他有效证据确认。,你可能较早表达自己重视“承诺清晰”，但这项标准是否真正主导实际选择，还要看长期行为和更贴近关系核心的证据。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,中低,待验证,,避免把用户说出的理想标准直接当作实际选择标准。,0.3
M2-CORE-009,女命正官｜藏支且有根,L5 状态修正,夫妻星状态修正,女命,修正,正官夫妻星,,正官主要藏支且有根；原十神性质有效。,真合化；被判定为无效或仅余气极弱。,待M2-SELF合成,隐性、稳定,若靠近日支可增强,待M2-FLOW合成,藏支,有根,继承,继承,原性质有效,继承,79,G01 承诺清晰 +4；tempo_hint=观察后确认,proof_needed,正官藏而有根时，资格标准不一定在关系早期被直接说出，但会在持续相处与行为验证中稳定出现。,你未必一开始就把这项标准说得很清楚，但随着相处深入，你会越来越在意对方是否真正做到“承诺清晰”。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,中高,待验证,,只能生成节奏提示，不能单凭藏支判断慢热。,0.3
M2-CORE-010,女命正官｜仅藏且较弱,L5 状态修正,夫妻星状态修正,女命,降级,正官夫妻星,,正官仅藏、无明显根气或整体力量较弱。,夫妻宫同维度强支持或另有明确有效通道时可重新评估。,待M2-SELF合成,弱、隐性,待M2-GATE核对,待M2-FLOW核对,藏支,弱或无根,弱,继承,原性质可能有效,继承,78,G01 承诺清晰 -6；仅可作为secondary_gate弱候选,confidence,仅藏且弱的正官不足以单独建立稳定的伴侣资格标准，必须降级为辅助信息。,目前这项关系标准存在，但不够强，不能单独断定它会主导你的实际选择。,不得由本规则直接推出对象职业、收入、身份高低、外貌、年龄、家庭背景、道德品质、忠诚度、关系结果、适配程度、对象数量或进入关系时间。,低,待验证,,禁止为了完成画像而把弱信号硬升为核心。,0.3
