rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-TRIGGER-001,M4-TRIGGER正式定义｜触发条件、阈值与状态切换,L0 模型边界与证据,TRIGGER-定义边界,通用,定义,M4-TRIGGER模块规则,,需要在已有M4-OVERUSE结构候选上，判断什么关系情境更容易使该机制启动、需要多少累积、平稳与压力状态如何切换。,没有M4-OVERUSE的有效正常功能与K01—K06结构候选；基础命理状态停止。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,99,不加分；定义／门控,report_status,本模块只说明“什么条件下更容易启动”，不预测事件一定发生，也不把触发当成固定人格。,这一部分重点看：哪些关系情境会让你原本熟悉的反应更容易被调动，以及需要一次明显变化、持续压力还是长期累积才会启动。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-002,E1前置门控｜没有结构候选不得建立触发,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,E1前置门控,,M4-OVERUSE至少形成E1结构候选，并完成同源去重。,只有十神旺弱、合冲刑害破或泛化负面标签。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,98,前置门控／停止,boundary_note,触发必须依附于明确的功能失衡机制；没有K机制，就无法说明到底是什么被触发。,先要确认关系里本来是哪项功能容易失衡，再判断什么情境会让它更容易启动。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-003,触发不等于事件预测｜只做条件路由,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,触发不等于事件预测,,存在具体触发域、机制和状态证据。,试图由原局推断某人一定失联、背叛、分手、争吵或发生某类现实事件。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,97,前置门控／停止,boundary_note,命盘只能提供情境敏感度候选，现实事件必须由实际信息确认。,这里说的是某类情境出现时，你的某种反应更容易启动，不代表这类事件一定会发生。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-004,触发域必须具体｜禁止只写“压力大”,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,触发域必须具体,,能够说明是关系不确定、节奏变化、承诺变化、资源压力、权限不清、距离变化、价值差异或长期累积中的哪一类。,只有“感情压力”“情绪波动”“事情多”等无法定位的描述。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,96,前置门控／停止,boundary_note,具体域决定哪项功能被要求、哪项机制被激活；泛化压力无法形成可验证规则。,需要把触发写清楚：究竟是信息不明、节奏变了、责任不清，还是现实资源紧张。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-005,触发主体边界｜不替对方定义动机,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,触发主体边界,,只描述命主在某类情境下的反应候选。,把对方的沉默、主动、承诺或距离变化直接解释为欺骗、控制、逃避或不爱。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,95,前置门控／停止,boundary_note,M4只分析命主的识别与反应机制；对方动机必须由现实证据判断。,可以分析你在信息不足时会怎样反应，但不能替对方解释为什么这样做。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-006,阈值不等于敏感程度｜禁止人格化,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,阈值不等于敏感程度,,判断一项反应需要较少、较多或条件性证据才会启动。,把低阈值写成敏感、多疑、脆弱，把高阈值写成迟钝、冷漠或不在意。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,94,前置门控／停止,boundary_note,阈值描述的是功能启动条件，不是人格优劣。,有些反应需要很小的变化就会进入评估，有些需要重复或累积后才启动，这不等于谁更好或更差。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-007,状态切换暂定｜等待M3-STATE校准,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,状态切换暂定,,可由M3已完成模块、旺衰制化和现实行为说明平稳与压力下通道不同。,试图锁定完整压力人格、恢复周期或稳定状态链。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,93,前置门控／停止,boundary_note,M3-STATE尚未完成，本模块只能建立平稳、初压、高压和恢复候选。,目前可以判断压力下哪种处理方式可能更早出现，但完整状态切换仍需要后续模型校准。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-008,触发形式不等于日历时长,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,触发形式不等于日历时长,,能够区分突发、持续、累积、阶段覆盖、复合或延迟启动。,把“一组持续证据”“多轮累积”换算成具体天数、月份或年份。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,92,前置门控／停止,boundary_note,触发形式描述证据结构，不提供固定时间长度。,“需要累积”只表示要看到重复成立，不等于一定要经过几个月。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-009,阶段覆盖不等于事件发生,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,阶段覆盖不等于事件发生,,大运流年或阶段信息只提高某类议题的显著度，并有原局候选承接。,只有阶段信号，没有原局机制和现实关系情境。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,91,前置门控／停止,boundary_note,阶段覆盖只能修正触发显著度与阈值，不能单独创造事件。,某个阶段可能让一类关系议题更容易被注意到，但不能据此断定一定会发生具体事件。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
M4-TRIGGER-010,现实安全优先｜命理不覆盖现实风险判断,L0 模型边界与证据,TRIGGER-定义边界,通用,边界,现实安全优先,,存在现实中的威胁、暴力、胁迫、跟踪、财务控制或其他安全问题。,试图用喜忌、制化或“对方只是压力反应”淡化现实风险。,由共享基础引擎提供；只修正功能承载、压力阈值和状态切换，不直接等同有无主见、情绪稳定或人格强弱。,由M1／M2接口提供；夫妻星只标注关系议题和证据角色，不单独证明触发、过用或循环。,由M3-BASE提供；日支底盘提高触发与亲密关系的相关性，但不能单独预测具体事件。,由M3及M4-OVERUSE提供；必须有有效起点、当前关系任务与可说明的转换，不能只凭五行生克补写时间线。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段性修正。,由共享基础引擎判定；根气修正反应能否重复调用，不等于现实中已经反复发生。,由共享基础引擎判定；旺弱修正调用强度和阈值，不直接等同功能质量、风险高低或事件严重程度。,喜忌只修正调用摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结局。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,由共享基础引擎判定；近位提高关系触发的直接性，远位只保留背景候选。,90,前置门控／停止,boundary_note,现实安全事实不属于命理候选，应直接按现实证据处理。,出现现实安全问题时，不再用命理解释或美化，现实保护和专业支持优先。,不得仅凭本规则预测具体事件、日期、对象行为、争吵分手、背叛、暴力或关系必败；不得把触发候选解释为敏感、控制、依赖、冷漠等固定人格；必须结合现实情境、反例、保护因素与安全事实验证。,高,待验证,,provisional=true,0.5
