rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-BASE-001,M4-BASE正式定义｜失衡候选底盘,L0 模型边界与证据,BASE-定义边界,通用,定义,M4-BASE模块规则,,M4-BASE被调用；分析对象为M3正常功能在结构层面的过用、不足、替代、错位或转换受阻候选。,M3正常功能未确定；基础十神或真合化状态未定；只有单一弱远标签；或现实安全问题应优先处理。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,99,不加分；定义／路由,report_status,M4-BASE先说明一项关系功能原本有什么作用，再判断它在什么条件下可能失衡；本阶段不建立完整双向循环。,这一部分先看：你原本用什么方式维持关系，以及这项方式在压力或调节不足时，哪里可能被用得过多、过少或替代了别的任务。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-002,正常功能先行｜禁止坏标签起步,L0 模型边界与证据,BASE-定义边界,通用,边界,正常功能来源,,需要判断某项十神或M3通道的失衡候选。,无法说明该信号在关系中的正常功能。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,98,不加分；前置门控,functional_origin,任何盲点必须从有效功能出发；若只剩负面标签，则规则不成立。,这项反应原本有它的功能；只有在特定条件下，它才可能遮住另一项同样重要的关系任务。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-003,单一十神禁止生成盲点,L0 模型边界与证据,BASE-定义边界,通用,边界,十神标签,,仅出现某一十神名称、喜忌或旺衰标签。,存在至少两类独立证据并完成失衡机制判断。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,98,停止单标签路由,stop_reason,十神只定义功能，不独立证明失衡、触发或循环。,仅凭一个十神，不能把某种关系问题固定下来。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-004,独立证据门槛,L0 模型边界与证据,BASE-定义边界,通用,证据门控,source_id与跨模块证据,,准备建立E1或E2候选。,所有支持都来自同一个source_id或同一日支事实的重复解释。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,97,去重后计分,evidence_level,至少两类独立证据才能建立结构候选；解释次数不等于证据数量。,只有当不同来源的信息彼此支持时，才会把它保留为较明确的关系盲点候选。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-005,E1结构候选定义,L0 模型边界与证据,BASE-定义边界,通用,证据等级,E1 STRUCTURAL,,有效功能来源＋明确失衡状态＋一项独立修正证据成立。,触发域、反馈或修复链被强行补写；或基础状态争议。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,96,E1候选,evidence_level,E1只说明结构上可能存在某类失衡，不说明现实中一定发生。,目前最多可以说，某类相处方式存在被过度调用、调用不足或替代其他功能的候选。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,中高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-006,E2触发候选定义,L0 模型边界与证据,BASE-定义边界,通用,证据等级,E2 ACTIVATION,,E1成立；另有可识别触发域候选与调节不足／转换受阻证据。,触发域仅由想象补足；保护因素足以中断；现实反例明显。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,95,E2候选,evidence_level,E2说明在特定情境下失衡反应更容易启动，仍不是现实循环结论。,当关系进入某类压力或不确定情境时，这种反应更容易被启动，但是否反复仍要结合真实经历。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,中高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-007,BASE阶段禁止建立完整循环,L0 模型边界与证据,BASE-定义边界,通用,边界,E3 LOOP,,M4-BASE正在运行。,后续M4-LOOP已提供起点、反馈、强化和修复卡点，并经现实事件验证。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,95,禁止升级E3,boundary_note,BASE只建立功能与失衡候选，不能生成完整双向循环。,这一阶段只识别可能的起点，不把对方的反应和关系结果提前写成定论。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-008,M3正常功能为功能来源主权威,L0 模型边界与证据,BASE-定义边界,通用,输入门控,M3输出,,M3-BASE／EXPR／CARE／BOUND／CONFLICT至少一项有效输出存在。,M3关键模块停止；或M4试图绕过M3重新定义日常相处方式。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,94,导入M3；不重复加分,functional_origin,M4必须继承M3的中性功能描述，再判断失衡；不得改写M3。,模型会先保留你原本有效的相处方式，再检查它在哪些条件下可能出现偏差。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-009,共享基础引擎输入合同,L0 模型边界与证据,BASE-定义边界,通用,输入门控,共享命理引擎,,排盘、十神、日支藏干、旺衰、根气、喜忌、合化、制化、流向和source_id已标准化。,基础数据缺失或互相冲突。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,94,不加分；输入门控,report_status,M4不重新排盘，不独立裁定合化旺衰，只翻译可靠事实。,基础状态有争议时，会保留不确定性，不为了完整而硬写关系问题。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M4-BASE-010,同源证据只计一次,L0 模型边界与证据,BASE-定义边界,通用,去重,source_id,,同一命理事实被M3多个模块或M4多条规则读取。,来源确实独立且功能不同。,由共享基础引擎提供；只修正承载与执行，不直接等同强弱人格。,由M2接口提供；夫妻星只参与关系议题权重，不单独生成盲点。,由M3-BASE与共享引擎提供；不得把日支直接写成配偶性格。,无／待后续规则组合,由共享基础引擎判定,由共享基础引擎判定,由共享基础引擎判定,喜忌只修正调用摩擦与平衡，不直接等同好坏。,原十神性质有效；真合化成立时按化神系统替换。,由共享基础引擎判定,94,同源去重,dedup_log,同一source_id只能计算一次基础权重；可多角度解释但不增加独立证据数。,同一个命理事实不会因为被多个模块解释，就被重复放大。,不得仅凭本规则推出自私、冷漠、控制、花心、暴力、人格或依恋问题、分手离婚、背叛或关系失败；本模块只生成结构／触发候选，现实模式需具体事件验证。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
