rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-BOUND-001,M5-BOUND正式定义｜边界、决定权、资源与亲密空间治理,L0 定义、边界与证据合同,BOUND-定义边界,通用,定义,M5-BOUND模块规则,,M5-BASE、M5-PARTNER与M5-EXCHANGE至少形成主需求、对象行为或交换候选。,PR0安全门控未通过、具体关系资料完全缺失或基础状态争议。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,report_status,本模块把自主、共享、授权、同意、资源、隐私、亲密和空间转成双方可执行的治理结构。,这一部分不只看谁独立或谁愿意共享，而是看哪些事由谁决定、怎样同意、如何撤回和重新协商。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-002,个人决定与共同决定必须分层,L0 定义、边界与证据合同,BOUND-定义边界,通用,定义,M5-BOUND模块规则,,分析任何决策领域。,把所有事项都要求共同决定，或把所有事项都归为个人自由。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,decision_governance,先按影响范围区分本人最终决定、个人决定但需告知、共同决定与可授权事项。,真正成熟的关系会区分个人领域和共同领域。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-003,亲密不等于失去隐私,L0 定义、边界与证据合同,BOUND-定义边界,通用,边界,M5-BOUND模块规则,,分析设备、通讯、位置、影像和个人空间。,把全部公开、分享密码或随时可查当成忠诚标准。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,privacy_boundary,透明只覆盖共同影响信息；个人隐私仍需具体同意。,亲密可以透明，但不等于没有隐私。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-004,共享不等于共同拥有所有决定权,L0 定义、边界与证据合同,BOUND-定义边界,通用,边界,M5-BOUND模块规则,,存在同居、婚姻、共同账户或高度共享。,由共享事实推断一方可决定另一方身体、职业、社交或思想。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,decision_governance,共享资源与个人自主分别管理。,共享生活不代表共享所有个人决定。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-005,保护不等于替代决定,L0 定义、边界与证据合同,BOUND-定义边界,通用,边界,M5-BOUND模块规则,,出现照顾、危机处理、建议或保护行为。,未经同意接管、限制、监控或长期不归还权限。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,protection_consent,保护必须最小必要、可反馈、可撤回并在事件后归还权力。,真正的保护会帮助你恢复选择，而不是长期替你决定。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-006,依靠不等于失去自主,L0 定义、边界与证据合同,BOUND-定义边界,通用,边界,M5-BOUND模块规则,,一方接受情绪、资源、健康或生活支持。,用支持要求服从、放弃隐私或立即等量偿还。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,support_autonomy,依靠与自主可以并存，接收方仍保留判断、拒绝和退出权。,可以依靠别人，也可以继续保留自己的决定。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-007,同意必须具体、自愿、可撤回,L0 定义、边界与证据合同,BOUND-定义边界,通用,安全,M5-BOUND模块规则,,分析身体、亲密、资源、公开、授权或信息访问。,把沉默、顺从、关系身份或既往同意视为永久授权。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,consent_boundary,同意只在具体范围和当前状态内有效，撤回后必须停止。,同意需要持续存在，也必须可以改变。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-008,资源贡献不购买控制权,L0 定义、边界与证据合同,BOUND-定义边界,通用,边界,M5-BOUND模块规则,,双方收入、住房、家务、照护或资源贡献不等。,贡献更多的一方要求更多身体、社交、隐私或人格决定权。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,resource_power,贡献影响分工与认可，但不改变基本同意、人格平等和身体自主。,付出更多可以被认可，但不能因此获得对另一方的控制权。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-009,M3-BOUND描述个人惯性｜M5治理双方结构,L0 定义、边界与证据合同,BOUND-定义边界,通用,接口,M5-BOUND模块规则,,M3-BOUND结果可用。,用用户个人边界习惯直接推断双方成熟度。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,m3_bound_interface,M3说明用户怎样靠近、拒绝、暂停和共享；M5还需加入对方行为、领域与权力。,知道你习惯怎样设边界只是第一步，还要看双方能否共同执行。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
M5-BOUND-010,M5-EXCHANGE提供负荷与资源接口,L0 定义、边界与证据合同,BOUND-定义边界,通用,接口,M5-BOUND模块规则,,EXCHANGE的EC、ED、EM、XR与XV可用。,把交换公平直接等同边界成熟。,由共享基础引擎、M3-BOUND与M5-BASE提供；只修正用户需要怎样的自主、共享、授权与空间结构，不直接判断具体关系现实中公平或安全。,M2只说明谁容易进入关系及资格证据；不能替代具体对象的同意、边界、资源和权力行为验证。,M3-BASE与M3-BOUND提供用户自然靠近、共享和边界通道；M5-BOUND负责判断双方如何共同治理。,无／按本规则指定的提议—知情—同意—执行—复核—重订路径路由。,近位、远位只修正该边界需求进入亲密关系核心的可能；不得据此判断具体伴侣一定尊重或越界。,根气只修正用户边界需求是否稳定重复，不等于双方已形成成熟治理。,旺弱只修正某项自主、共享、规则或空间功能的调用强度，不直接等于控制、回避或适配质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算边界需求；合化争议时停止细化边界画像。,近位提高该边界议题进入关系核心的可能；远位只保留背景或阶段性观察。,98,不加分；定义／门控,exchange_bound_interface,交换说明谁承担什么；BOUND继续判断谁有决定权、是否同意及能否重订。,分工看负荷，边界还要看决定权和同意。,不得仅凭本规则推出某人必然控制、回避、依赖、忠诚或适合结婚；不得把亲密解释为无隐私，把保护解释为替代决定，把贡献多少解释为决策权大小。现实安全、明确同意、可撤回性、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BOUND-定义边界,0.5
