rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-REPAIR-001,M4-REPAIR正式定义｜修复卡点、回流断点与完成边界,L0 定义、边界与证据合同,REPAIR-定义边界,通用,定义,M4-REPAIR模块规则,,已经存在一件可还原的分歧、伤害、失约、边界或循环事件，并准备区分问题结案与关系修复。,只凭十神、旺弱或宫位动态判断修复成败。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,99,不加分；定义／门控,report_status,M4-REPAIR识别的是修复链中哪一步缺失、被替代、过早关闭或未持续，不给人贴“不会修复”的人格标签。,这一部分看的是：事情结束以后，关系需要的哪些步骤已经完成，哪些步骤仍然没有回流。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-002,问题停止不等于关系修复｜必须分开两套完成条件,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,问题结案与关系修复,,能够分别记录事件是否停止、任务是否解决、感受是否被看见、责任是否承担和行为是否改变。,把不再争论、问题解决或情绪平静直接写成关系已经修复。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,99,核心门控,repair_level,问题结案关注事件和任务；关系修复关注影响、参与权、责任、行为改变、反馈和持续性。,事情可以已经结束，但关系是否修复，还要看影响有没有被看见、责任有没有承担、改变有没有持续。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-003,修复尝试不等于修复完成｜一次动作只能证明启动,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,尝试与完成,,存在道歉、解释、安抚、补偿、方案或重新联系等动作。,只出现一次修复动作就发布“已经修复”。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,98,完成度降级,repair_status,任何单一动作都只能证明修复尝试或某个节点出现，不能替代完整闭环。,一次道歉、一次解释或一次补救，说明修复已经开始，但还不能单独证明关系已经恢复。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-004,一方可以启动修复，但不能单独完成双方闭环,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,双向闭环,,区分发起者行动、接收者反馈、二次调整和后续回访。,只有一方不断道歉或补救，却写成双方已经完成修复。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,98,单方闭环降级,repair_status,关系修复至少需要接收方能够表达影响与反馈；不要求接受复合，但需要区分单方责任行动和双向闭环。,你可以完成自己的责任和补救，但双方是否重新建立理解，需要对方有真实反馈和选择。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-005,修复不等于必须原谅、复合或继续关系,L0 定义、边界与证据合同,REPAIR-定义边界,通用,伦理,原谅与复合边界,,区分修复行为、责任承担、原谅、信任和是否继续关系。,用“修复”要求受影响者接受道歉、恢复联系或继续关系。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,100,伦理停止,boundary_note,有效修复不创造原谅义务；受影响者可选择不恢复关系。,即使对方做出补救，你仍有权决定是否原谅、是否恢复信任以及是否继续这段关系。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-006,现实安全停止｜伤害和强迫不进入普通修复协商,L0 定义、边界与证据合同,REPAIR-定义边界,通用,安全,现实安全门控,,现实中不存在暴力、威胁、强迫、跟踪、经济控制、报复风险或明显权力压迫。,存在安全风险却建议双方坐下来沟通、平均责任或快速和好。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,100,安全停止／不评分,report_status,安全和停止伤害优先于普通关系修复；必要时转向现实支持和专业资源。,若存在威胁、强迫或人身安全风险，首要任务是安全和责任，不应把重点放在如何和好。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-007,道歉标签不是证据｜必须拆成内容与后续,L0 定义、边界与证据合同,REPAIR-定义边界,通用,证据,道歉证据边界,,记录是否承认事实、影响、责任，是否提出可执行改变并接收反馈。,只记录“他道歉了”“我认错了”。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,97,标签不加完成分,repair_evidence,“道歉”是概括标签；有效信息来自道歉包含了哪些节点以及后续是否兑现。,需要继续看这次道歉具体承认了什么、准备怎样改变，以及后续有没有落实。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-008,解释原因不等于承担责任,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,解释与责任,,能够区分说明原因、承认影响、承担责任和提出改变。,用压力、原生家庭、工作或误会解释行为后，直接判定责任已经完成。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,97,替代识别,repair_break_candidate,原因解释可增加理解，但不能替代责任承担和行为改变。,解释为什么会发生有助于理解，但关系修复还需要明确承担影响并提出改变。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-009,补偿与礼物不等于关系修复,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,补偿边界,,现实补偿与影响确认、责任承担、反馈整合分别记录。,用礼物、金钱、旅行或一次付出替代边界重订与持续改变。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,97,替代识别,repair_break_candidate,补偿可以是修复的一部分，但它不能自动回答发生了什么、影响了什么和以后怎样不同。,补偿可以表达重视，但还要看问题本身有没有被承认、边界有没有调整、行为有没有改变。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
M4-REPAIR-010,解决方案不等于影响被看见,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,方案与影响,,同时检查现实方案与情绪／关系影响。,问题一有方案就结束讨论，不再确认对方受到的影响。,由共享基础引擎提供；仅修正修复功能的承载、持续与压力占位，不直接等同是否愿意认错或能否修复。,由M1／M2提供；夫妻星只说明伴侣原型与关系资格，不单独证明修复能力、修复意愿或修复结果。,由M3-BASE提供；日支底盘说明亲密关系中自然调用的功能，但不能单独证明修复闭环。,由M3-CONFLICT、M4-LOOP及现实事件提供；必须区分问题停止、责任承担、影响确认、行动改变、反馈整合与后续回访。,由共享基础引擎判定；近位提高相关功能进入亲密关系核心的概率，远位只作背景或阶段修正。,根气只修正某修复功能是否容易重复调用，不等于现实中已经持续改变。,旺弱只修正功能调用强度与占位，不直接等同修复质量、诚意或关系结果。,喜忌只修正功能摩擦、平衡与承载，不直接等同道德、成熟、善恶或是否值得原谅。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高修复议题与亲密关系的直接相关性；远位仅保留背景、阶段或低置信修正。,97,双轨门控,missing_repair_node,任务解决与关系影响是两条不同线路；必要时需要双轨完成。,方案解决的是“接下来怎么做”，但对方受到的影响是否被理解，需要另外确认。,不得仅凭本规则判断道歉真诚与否、要求对方原谅或复合、推断关系一定修复或失败、淡化暴力强迫与现实伤害、平均分配明显不对等的责任；现实安全、具体行为、反例与专业支持优先。,高,待验证,,provisional=true；M3-REPAIR尚未完成，完成条件为暂定功能模型。,0.7
