rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-REPAIR-001,M5-REPAIR正式定义｜冲突顺序、修复协议与状态协同,L0 定义、边界与证据合同,REPAIR-定义边界,通用,定义,M5-REPAIR模块规则,,M5-BASE、PARTNER、EXCHANGE和BOUND至少形成主需求、对象能力、交换或边界候选。,PR0安全门控未通过、具体关系资料完全缺失或基础状态争议。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,report_status,本模块把分歧后的止损、澄清、影响、责任、补救、反馈、边界、重新开放和回访组织成可执行修复协议。,这一部分不只看会不会道歉，而是看整条修复链能否走完。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-002,问题停止、任务解决与关系修复必须分开,L0 定义、边界与证据合同,REPAIR-定义边界,通用,定义,M5-REPAIR模块规则,,分析任一冲突或修复事件。,把不再争吵、事情处理完或恢复联系写成修复完成。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,repair_completion_standard,分别记录事件是否停止、任务是否解决、修复是否启动、是否闭环和是否持续。,不再争吵、问题有方案和关系真正修复，是不同状态。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-003,修复不能创造原谅和继续义务,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,M5-REPAIR模块规则,,一方道歉、补救或持续改变。,用修复诚意要求接收方原谅、恢复信任、复合或继续关系。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,forgiveness_continuation_boundary,责任行动属于发起方；原谅、接触、信任与继续关系属于接收方选择。,一方可以改变，另一方仍有权不原谅、不复合或不继续。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-004,双方参与不等于平均责任,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,M5-REPAIR模块规则,,使用共同修复、双方参与或平等沟通。,用双方都有问题淡化单方越界、伤害或权力差异。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,responsibility_structure,人格和表达权可以平等，具体责任必须按行为和影响区分。,双方都能参与修复，但责任不必完全相等。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-005,安全高于沟通和关系恢复,L0 定义、边界与证据合同,REPAIR-定义边界,通用,安全,M5-REPAIR模块规则,,存在暴力、强迫、威胁、跟踪、经济控制、身体或性越界。,要求面对面沟通、共同反省、尽快和好或恢复接触。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,safety_status,先停止伤害、恢复资源和选择权、引入现实支持，再决定是否存在后续修复。,有现实伤害时，第一目标不是和好，而是安全和选择权。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-006,接收方反馈是双向闭环硬门槛,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,M5-REPAIR模块规则,,准备写双方已完成修复。,只有发起方道歉、解释、补偿或自我改变。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,repair_feedback,没有RO07接收反馈，最高只能写单方责任行动或部分修复。,没有接收反馈，不能说双方已经完成修复。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-007,持续兑现是稳定改变硬门槛,L0 定义、边界与证据合同,REPAIR-定义边界,通用,边界,M5-REPAIR模块规则,,准备写稳定改变、信任恢复或修复成熟。,只有一次改善、短期收敛或一次完美修复。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,repair_followthrough,没有RO10持续兑现、回访与复发学习，不能写稳定改变。,一次改善说明有可能，持续兑现才说明改变正在成立。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-008,M3-CONFLICT描述个人反应｜M5组织双人协议,L0 定义、边界与证据合同,REPAIR-定义边界,通用,接口,M5-REPAIR模块规则,,M3-CONFLICT结果可用。,用用户个人冲突惯性直接推断双方会修复。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,m3_conflict_interface,M3说明第一反应与处理顺序；M5还需加入对方状态、责任分工和反馈回流。,知道你冲突时怎样反应只是第一步，还要看双方能否把修复接起来。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-009,M3-REPAIR与STATE未完成｜本版保持暂定,L0 定义、边界与证据合同,REPAIR-定义边界,通用,依赖,M5-REPAIR模块规则,,使用V0.6规则。,把状态协同和正常修复风格视为最终定版。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,dependency_status,当前借用M3-CONFLICT、M4-REPAIR和M4-BUFFER建立协议；待M3-REPAIR／STATE完成后回填。,这一版可以用于结构化分析，但状态与修复风格仍会在后续校准。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
M5-REPAIR-010,M4识别修复卡点｜M5建立适配协议,L0 定义、边界与证据合同,REPAIR-定义边界,通用,接口,M5-REPAIR模块规则,,M4-REPAIR、LOOP和BUFFER结果可用。,重复描述问题，不说明适配关系应怎样修复。,由共享基础引擎、M3-CONFLICT及后续M3-REPAIR／STATE提供；只修正用户在冲突、暂停、责任和重新开放中的自然顺序，不直接证明双方现实修复能力。,M2只说明关系准入与资格证据；不能替代冲突后的责任承担、反馈接收和持续改变验证。,M3-BASE、CONFLICT、BOUND与M5-BOUND提供关系底盘、分歧顺序及边界结构；M5-REPAIR负责把双方行为合成为可执行修复协议。,无／按本规则指定的停止伤害—事实—影响—责任—补救—反馈—重订—回访路径路由。,近位、远位只修正修复议题进入亲密关系核心的可能；不得据此判断具体对象必然会道歉、改变或原谅。,根气只修正用户修复需求和功能是否稳定重复，不等于双方已形成成熟修复。,旺弱只修正某项止损、表达、承接、行动或责任功能的调用强度，不直接等于修复质量。,喜忌只修正功能调用顺畅度与摩擦，不可直接翻译为某类伴侣一定会修复或某种五行能够化解关系。,真合化成立时按化神功能重算修复需要；合化争议时停止细化修复通道。,近位提高该修复议题进入亲密关系核心的可能；远位只保留背景或阶段性观察。,98,不加分；定义／门控,m4_repair_interface,M4说明卡在哪里；M5将其转成顺序、角色、完成标准和现实协议。,这里不是再说一次问题，而是明确怎样修复才真正适合。,不得仅凭本规则推出双方一定复合、原谅、恢复信任或继续关系；不得用修复协议淡化暴力、强迫、控制、背叛或现实责任；不得把道歉、解释、补偿、联系恢复或一次改善写成修复完成。现实安全、接收方选择、持续行为、反例与外部支持优先。,高,待验证,,provisional=true; rule_group=REPAIR-定义边界; M3_REPAIR_STATE_pending=true,0.6
