rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-BASE-001,M5-BASE正式定义｜适配需求底盘与核心必要条件,L0 定义、边界与证据合同,BASE-定义边界,通用,定义,M5-BASE模块规则,,M5-BASE被调用；已具备M3正常功能或M4功能失衡／药功能中的至少一项可靠输入。,基础命盘、真合化或关键上游字段未定；或现实安全问题应优先处理。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,100,不加分；定义／门控,report_status,M5-BASE只确定长期关系中值得优先保护、补足或建立结构的功能，不判断命定对象。,这一部分先确认：一段长期关系最不能缺少什么，以及哪些只是重要支持或心动加分。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-002,PR0安全底线优先｜安全不通过即停止高适配判断,L0 定义、边界与证据合同,BASE-定义边界,通用,安全,M5-BASE模块规则,,分析具体对象或具体关系；存在安全、同意与尊重资料。,存在暴力、威胁、强迫、跟踪、经济控制、剥夺选择权或反复越界。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,100,不加分；定义／门控,universal_floor,适配必须先通过安全、自愿和尊重；PR0不参与普通加分，而是硬门控。,任何命理上的“合”都不能覆盖安全、同意和选择权。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-003,现实资料高于命理候选,L0 定义、边界与证据合同,BASE-定义边界,通用,边界,M5-BASE模块规则,,具体对象已有现实行为、反例或双方协商资料。,只使用十神、五行、喜用神或单次高光行为。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,100,不加分；定义／门控,boundary_note,现实行为对具体对象的判断权高于命盘候选；命盘只生成需要验证的结构。,真正判断一个人是否适配，要看持续行为，而不是只看命盘标签。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-004,M1只比较心动与适配｜不得参与核心适配加分,L0 定义、边界与证据合同,BASE-定义边界,通用,接口,M5-BASE模块规则,,M1输出可用。,试图用心动原型直接锁定长期适配。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,99,不加分；定义／门控,attraction_fit_relation,M1只说明吸引启动；M5继续检查长期结构是否支持M3功能并缓冲M4风险。,让你心动的特质可以保留，但不能替代长期关系所需的边界、反馈和修复能力。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-005,M2只提供准入条件｜通过门槛不等于长期适配,L0 定义、边界与证据合同,BASE-定义边界,通用,接口,M5-BASE模块规则,,M2输出可用。,把一次表态、投入、行动或互动直接扩展为完整相处能力。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,99,不加分；定义／门控,selection_fit_relation,M2回答谁能进入关系；M5检查进入以后能否持续运行。,对方通过你的关系门槛，只代表值得认真考虑，长期适配仍要继续验证。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-006,M3正常功能优先｜不能只根据M4风险找相反的人,L0 定义、边界与证据合同,BASE-定义边界,通用,边界,M5-BASE模块规则,,M3至少一项正常功能可靠。,只看到M4风险，忽略用户原有功能和真实需要。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,99,不加分；定义／门控,primary_fit_need,适配先保护用户能正常发挥的关系功能，再针对失衡建立调节；不是找一个完全相反的人。,真正合适的关系会保留你的能力，同时帮助它在更合适的范围内发挥。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-007,M4风险必须转译为功能任务｜不得直接转成人格标签,L0 定义、边界与证据合同,BASE-定义边界,通用,接口,M5-BASE模块规则,,M4存在K、DY、LP、RN或BF输入。,直接写“适合温柔的人／强势的人／听话的人”。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,99,不加分；定义／门控,risk_buffer_match,M4只指出哪里过用、缺位、替代或断流；M5必须转换为可观察行为和互动结构。,不是找一个抽象标签，而是找能在关键环节做出具体行为的人。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-008,适配采用交集而非简单加总,L0 定义、边界与证据合同,BASE-定义边界,通用,边界,M5-BASE模块规则,,存在多个适配候选。,仅因候选分数高就覆盖PR0或现实反例。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,98,不加分；定义／门控,fit_grade,安全底线、正常功能、风险调节、结构可执行和现实门槛必须共同成立。,适配不是优点越多越好，而是关键条件能否同时成立。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-009,正文一主一次｜限制理想清单膨胀,L0 定义、边界与证据合同,BASE-定义边界,通用,输出,M5-BASE模块规则,,存在多个功能候选。,试图把所有十神都写成理想伴侣条件。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,98,不加分；定义／门控,primary_fit_need,最终正文只保留一个主需求和一个真正独立的次需求。,你真正需要的核心条件不会很多；重点是先分清必须项、支持项和加分项。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
M5-BASE-010,抽象特质必须落到可观察行为,L0 定义、边界与证据合同,BASE-定义边界,通用,证据,M5-BASE模块规则,,准备输出伴侣功能。,只写成熟、可靠、温柔、强大、聪明等抽象形容词。,由共享基础引擎提供；只修正用户能否承载、表达和共同执行适配结构，不直接等同成熟度、道德或关系结果。,由M2提供；夫妻星和关系门槛只说明准入议题，不单独证明长期适配。,由M3-BASE与共享引擎提供；日支近位提高亲密关系相关性，但不得把日支直接写成配偶性格。,无／按本规则指定功能链或接口路由。,由共享基础引擎判定；近位提高直接相关性，远位仅作背景、阶段或条件性修正。,根气只修正该功能是否容易重复调用，不等于现实中已经形成成熟能力。,旺弱只修正调用强度与承载；强不自动适配，弱也不自动缺失。,喜忌只修正顺畅度、摩擦与平衡，不可直接翻译为好坏、理想伴侣或关系结果。,原十神性质有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高进入亲密关系核心的概率；远位只保留背景、条件性或低置信修正。,98,不加分；定义／门控,required_partner_behaviors,每项适配需求必须说明对方在何种情境下持续做什么。,判断适配要看对方具体怎么做，而不是听起来像什么样的人。,不得仅凭本规则推出某类人必然适合或不适合、婚姻必然成功、忠诚度、职业收入、外貌家庭、五行生肖匹配，或要求用户容忍伤害；现实安全、行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=BASE-定义边界,0.2
