rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-LOOP-001,M4-LOOP正式定义｜重复互动循环、反馈放大与成立门槛,L0 定义、边界与证据合同,LOOP-定义边界,通用,定义,M4-LOOP模块规则,,存在M4-TRIGGER的E2触发候选，并准备加入现实事件顺序与反馈证据。,没有E2触发候选，或试图只凭十神、旺弱和宫位动态直接写循环。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,99,不加分；定义／门控,report_status,M4-LOOP研究的是一个关系反应怎样通过现实反馈被再次强化，而不是给十神贴负面标签。,这一部分看的是：某类触发出现后，你的第一反应、对方实际回应和后续强化是否形成了可重复的顺序。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-002,E2前置门控｜没有触发候选不得建立循环,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,E2前置门控,,M4-TRIGGER已经形成明确TR域、K机制和E2触发候选。,只有M4-BASE或OVERUSE的结构候选，尚未说明什么情境会启动。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,98,前置门控／停止,boundary_note,循环必须依附于明确触发；没有触发，就无法判断第一反应从哪里开始。,先要知道什么情境容易让某种反应启动，才能继续看它怎样被反馈和放大。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-003,一次事件不等于循环｜必须区分单次序列与重复模式,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,一次事件边界,,至少存在一次完整事件序列，并另有复发、重复或独立佐证。,只有一次冲突、一次沉默、一次解释或一次修复。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,98,不足则降级E2,evidence_level,单次事件只能形成“序列假设”，不能发布为重复互动循环。,一次事件可以帮助我们看顺序，但还不能证明这个顺序会稳定重复。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-004,对方反馈必须可观察｜禁止用命盘替对方作答,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,反馈可观察性,,对方反馈来自具体言语、行动、延迟、拒绝、配合、退出或伴侣资料。,只有“对方应该会”“对方大概觉得”“对方被你吓到”等动机猜测。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,98,未知则停止双向循环,partner_feedback,循环是双向序列；对方节点必须由现实可观察事实支持。,需要用对方实际做了什么来描述反馈，而不是替对方猜测内心。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-005,不推断对方动机｜行为与动机分离,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,动机边界,,只记录可观察行为及其时间顺序。,把延迟回复解释成不爱、把反驳解释成恶意、把配合解释成害怕。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,97,停止动机推断,boundary_note,同一行为可能有多种原因；M4只记录行为对循环的功能位置。,这里能确认的是对方出现了什么回应，不能仅凭八字判断对方为什么这样做。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-006,现实安全停止｜暴力强迫不进入“双方循环”解释,L0 定义、边界与证据合同,LOOP-定义边界,通用,安全,现实安全停止,,现实中不存在暴力、威胁、强迫、经济控制、跟踪监视或明显安全风险。,已存在上述安全事实，却试图用“互相触发”淡化责任。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,100,安全停止／不评分,report_status,单方伤害与权力压迫不能被包装为双方共同制造的普通互动循环。,若现实中存在威胁、强迫或人身安全风险，应先处理安全问题，不能用命理把责任平均分配。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-007,循环不等于人格｜描述顺序而非固定标签,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,去人格化,,输出包含触发、行为、反馈、强化和退出条件。,只写“控制型”“回避型”“恋爱脑”“冷漠”等固定人格标签。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,96,语言门控,boundary_note,循环是特定情境下的互动顺序，可能随对象、阶段和资源而变化。,这不是在给你下性格定义，而是在描述某类情境下更容易出现的互动顺序。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-008,循环不等于结局｜不得从E3推出关系失败,L0 定义、边界与证据合同,LOOP-定义边界,通用,边界,结果边界,,只判断重复顺序和维持条件。,由循环候选直接推断分手、离婚、背叛或婚姻必败。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,96,结果停止,boundary_note,循环说明某类问题容易自我强化，不说明最终结果。,即使这个顺序确实重复出现，也不代表关系一定会走向某个结局。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-009,E3必须有现实重复证据｜命盘分数不能替代复发,L0 定义、边界与证据合同,LOOP-定义边界,通用,证据,E3成立门控,,至少有一个完整现实序列，并有第二次同序复发、独立佐证或同关系跨情境重复。,只有命理结构分数很高，没有现实事件顺序。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,98,E3门控,evidence_level,E3是现实互动循环候选，必须由现实重复性支持。,只有当相似顺序在现实中再次出现，才可以从触发候选升级为循环候选。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
M4-LOOP-010,E4必须经过反例和独立核验｜不得自动升级,L0 定义、边界与证据合同,LOOP-定义边界,通用,证据,E4成立门控,,至少两次时间分隔的完整循环；顺序稳定；有跨情境或独立来源；反例已检查。,只有用户一句“总是这样”，或同一事件的重复叙述。,由共享基础引擎提供；仅修正功能承载、压力下占位与恢复能力，不直接等同人格强弱。,由M1／M2接口提供；夫妻星只说明关系议题和资格证据，不单独证明循环。,由M3-BASE提供；日支底盘提高循环进入亲密关系核心的相关性，但不能单独证明现实中反复发生。,由M3及M4-OVERUSE／TRIGGER提供；必须存在可观察的触发、第一反应、反馈、强化与回流节点，不能凭五行生克补写对方行为。,由共享基础引擎判定；近位提高进入亲密关系核心的概率，远位只保留背景或阶段修正。,根气只修正某功能是否容易重复调用，不等于现实循环已经重复发生。,旺弱只修正调用强度与占位持续性，不直接等同循环严重程度或关系结局。,喜忌只修正功能摩擦、平衡与承载，不直接等同好坏、成熟、道德或关系结果。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高循环与亲密关系的直接相关性；远位只保留背景、阶段或低置信修正。,98,E4门控,evidence_level,E4表示已验证模式，需要比E3更深的现实证据和反例审查。,要把它写成已经验证的模式，需要看到多次完整重复，并确认不是单次压力或资料偏差。,不得仅凭本规则推断对方动机、人格、忠诚、暴力、背叛、分手、离婚或关系必败；不得把受伤害者的反应解释为导致伤害的原因；现实安全事实、具体行为、反例与专业支持优先。,高,待验证,,provisional=true,0.6
