rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-GATE-001,日支正官｜核心关系门槛,L3 夫妻宫关系门槛,日支十神基础,通用,基础,日支主气正官,,日支主气十神由共享基础引擎可靠判定为正官；日支原十神性质仍有效。,日支主气未定；真合化后原十神性质消失；基础排盘或十神映射置信度不足。,不限定,不限定,G01 承诺清晰,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,95,G01 +25,primary_gate,日支是亲密关系承载位；主气为正官时，关系成立感更容易与明确承诺、责任兑现、秩序和边界相连。,你真正决定是否进入一段关系时，首先要确认关系是否明确、对方是否愿意承担责任。,不得推出对方一定是好人、公职人员、社会地位高、婚姻稳定，或这类关系一定适合用户。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中高,待验证,,基础映射；状态代码：palace_正官_primary。,0.2
M2-GATE-002,日支正官｜现实证据,L3 夫妻宫关系门槛,日支十神基础,通用,输出,日支主气正官,,M2-GATE中“日支正官核心关系门槛”已经成立。,核心关系门槛未成立。,不限定,不限定,G01 承诺清晰,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,92,不重复加分,proof_needed,把正官的抽象关系需求翻译为用户可观察、可验证的现实行为证据：明确表态、守约、愿意承担正式关系责任、关系身份与边界清楚。,对你来说，明确表态、持续守约，以及愿意承担关系中的角色责任，比含糊的好感更有说服力。,不得推出对方一定是好人、公职人员、社会地位高、婚姻稳定，或这类关系一定适合用户。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中高,待验证,,只生成证据语言，不额外抬高同维度分数。,0.2
M2-GATE-003,日支正官｜次级关系条件,L3 夫妻宫关系门槛,日支十神基础,通用,修正,日支主气正官,G11 身份与秩序认可,日支主气十神由共享基础引擎可靠判定为正官；日支原十神性质仍有效。,日支主气未定；真合化后原十神性质消失；基础排盘或十神映射置信度不足。,不限定,不限定,G11 身份与秩序认可,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,84,G11 +10,secondary_gate,正官作为日支主气除核心维度外，还常把G11 身份与秩序认可作为次级准入条件；该条件必须低于核心门槛。,关系是否有清楚的身份、边界和基本规则，也会影响你的实际选择。,不得推出对方一定是好人、公职人员、社会地位高、婚姻稳定，或这类关系一定适合用户。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中,待验证,,只在次级维度达到显示阈值时进入用户文案。,0.2
M2-GATE-004,日支正官｜选择模式候选,L3 夫妻宫关系门槛,日支十神基础,通用,模式候选,日支主气正官,,日支主气十神由共享基础引擎可靠判定为正官；日支原十神性质仍有效。,后续M2-CORE、M2-SELF或M2-FLOW形成更强且冲突的模式证据。,不限定,不限定,G01 承诺清晰,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,80,P01 承诺确认型 候选,entry_pattern,日支正官可把M2的选择模式初步指向P01 承诺确认型；这里只是候选，须由夫妻星、自我选择位置或选择通道至少一项复核。,你的关系选择更接近“承诺确认型”：先确认态度、责任和关系位置，再决定是否认真进入。,不得推出对方一定是好人、公职人员、社会地位高、婚姻稳定，或这类关系一定适合用户。 该规则只解释关系准入，不解释进入后的相处、风险和适配。 不得仅凭日支直接断定进入速度。,中,待验证,,需要后续模块复核后才能成为最终entry_pattern。,0.2
M2-GATE-005,日支正官｜依据摘要,L7 自然语言输出,日支十神基础,通用,输出,日支主气正官,,日支正官核心关系门槛已经进入最终或暂定输出。,该信号被降级或删除。,不限定,不限定,G01 承诺清晰,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,72,不加分,basis_summary,生成折叠命理依据，仅说明日支正官如何映射到关系准入维度。,从传统八字取象看，日支的正官信号使你在正式关系中更重视承诺清晰。,不得推出对方一定是好人、公职人员、社会地位高、婚姻稳定，或这类关系一定适合用户。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中,待验证,,折叠解释不得把日支写成实际配偶性格。,0.2
M2-GATE-006,日支七杀｜核心关系门槛,L3 夫妻宫关系门槛,日支十神基础,通用,基础,日支主气七杀,,日支主气十神由共享基础引擎可靠判定为七杀；日支原十神性质仍有效。,日支主气未定；真合化后原十神性质消失；基础排盘或十神映射置信度不足。,不限定,不限定,G02 行动兑现,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,95,G02 +25,primary_gate,日支主气为七杀时，关系准入更容易以行动、决断、推进与担当作为现实证据；其核心不是强硬，而是能否把关系落实。,你更容易在对方用行动推进、关键时刻敢承担时，把关系当作可以认真发展的关系。,不得推出对方一定强势、危险、控制欲强，或用户一定会被对方带着走。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中高,待验证,,基础映射；状态代码：palace_七杀_primary。,0.2
M2-GATE-007,日支七杀｜现实证据,L3 夫妻宫关系门槛,日支十神基础,通用,输出,日支主气七杀,,M2-GATE中“日支七杀核心关系门槛”已经成立。,核心关系门槛未成立。,不限定,不限定,G02 行动兑现,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,92,不重复加分,proof_needed,把七杀的抽象关系需求翻译为用户可观察、可验证的现实行为证据：主动推进、解决问题、关键时刻承担、行为与表态一致。,主动解决问题、说到做到、愿意承担推进成本，通常比反复试探或只说不做更能促使你确认。,不得推出对方一定强势、危险、控制欲强，或用户一定会被对方带着走。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中高,待验证,,只生成证据语言，不额外抬高同维度分数。,0.2
M2-GATE-008,日支七杀｜次级关系条件,L3 夫妻宫关系门槛,日支十神基础,通用,修正,日支主气七杀,G01 承诺清晰,日支主气十神由共享基础引擎可靠判定为七杀；日支原十神性质仍有效。,日支主气未定；真合化后原十神性质消失；基础排盘或十神映射置信度不足。,不限定,不限定,G01 承诺清晰,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,84,G01 +8,secondary_gate,七杀作为日支主气除核心维度外，还常把G01 承诺清晰作为次级准入条件；该条件必须低于核心门槛。,行动还需要有明确方向；单纯节奏快或态度强，并不自动等于通过你的关系门槛。,不得推出对方一定强势、危险、控制欲强，或用户一定会被对方带着走。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中,待验证,,只在次级维度达到显示阈值时进入用户文案。,0.2
M2-GATE-009,日支七杀｜选择模式候选,L3 夫妻宫关系门槛,日支十神基础,通用,模式候选,日支主气七杀,,日支主气十神由共享基础引擎可靠判定为七杀；日支原十神性质仍有效。,后续M2-CORE、M2-SELF或M2-FLOW形成更强且冲突的模式证据。,不限定,不限定,G02 行动兑现,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,80,P02 行动验证型 候选,entry_pattern,日支七杀可把M2的选择模式初步指向P02 行动验证型；这里只是候选，须由夫妻星、自我选择位置或选择通道至少一项复核。,你的关系选择更接近“行动验证型”：先看对方是否真正行动和承担，再决定是否进入。,不得推出对方一定强势、危险、控制欲强，或用户一定会被对方带着走。 该规则只解释关系准入，不解释进入后的相处、风险和适配。 不得仅凭日支直接断定进入速度。,中,待验证,,需要后续模块复核后才能成为最终entry_pattern。,0.2
M2-GATE-010,日支七杀｜依据摘要,L7 自然语言输出,日支十神基础,通用,输出,日支主气七杀,,日支七杀核心关系门槛已经进入最终或暂定输出。,该信号被降级或删除。,不限定,不限定,G02 行动兑现,无／待后续模块组合,日支,由共享引擎判定,由共享引擎判定,未定,无特殊或未定,近,72,不加分,basis_summary,生成折叠命理依据，仅说明日支七杀如何映射到关系准入维度。,从传统八字取象看，日支的七杀信号使你在正式关系中更重视行动兑现。,不得推出对方一定强势、危险、控制欲强，或用户一定会被对方带着走。 该规则只解释关系准入，不解释进入后的相处、风险和适配。,中,待验证,,折叠解释不得把日支写成实际配偶性格。,0.2
