model,module_id,module_name,source_file,source_row,rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,2,M1-CORE-001,女命正官｜基础主画像,L1 核心伴侣原型,夫妻星核心规则,女命,基础,正官,,该夫妻星被共享基础引擎判定为有效且主导；另一夫妻星未形成势均或更强的未决竞争。,另一夫妻星势均且主次未决；该星已真合化；基础状态不确定。,,,,,混合,不确定,不确定,未定,无特殊,,100,A01 责任稳定 +30,primary_attraction,正官在本模型中映射责任、秩序、自律、分寸与角色稳定。 当它成为主导夫妻星信号时，用于确定模型一的核心心动原型。,你比较容易被可靠、有责任感、有原则、做事有交代的人吸引。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,3,M1-CORE-002,女命正官｜基础触发行为,L1 核心伴侣原型,夫妻星核心规则,女命,基础,正官,,该星已进入核心主画像。,基础主画像未成立。,,,,,混合,不确定,不确定,未定,无特殊,,95,不重复加分,primary_trigger,将抽象十神含义翻译为可观察的行为触发，避免只输出人格标签。,当对方守承诺、安排清楚，并在关键事情上愿意承担责任时，你更容易产生好感。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,4,M1-CORE-003,女命正官｜基础依据摘要,L1 核心伴侣原型,夫妻星核心规则,女命,基础,正官,,该星已进入核心主画像。,基础主画像未成立。,,,,,混合,不确定,不确定,未定,无特殊,,90,不加分,basis_summary,生成折叠命理依据，只解释该信号对应的心动维度，不延伸关系结果。,从传统八字取象看，正官信号较明显，主要对应责任稳定。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,5,M1-CORE-004,女命正官｜透干且有根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星透干且有根，并保持有效十神性质。,真合化；被判定为无效信号。,,,,,透干,有根,不确定,未定,无特殊,,88,A01 责任稳定 +6,primary_trigger,外显且有根，说明该类特质既容易被看见，也有足够结构支持，偏好辨识度较高。,你往往较容易先注意到对方身上的自律、稳重、有分寸等外显表现。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：visible_rooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,6,M1-CORE-005,女命正官｜透干但无根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星透干但无根，且未被完全否定。,真合化；另有更强相反证据。,,,,,透干,无根,不确定,未定,无特殊,,82,A01 责任稳定 +2；置信度降一级,primary_trigger,外显标签容易引起注意，但根气不足，不能单独证明稳定而持续的偏好。,第一印象容易受到自律、稳重、有分寸等外显表现影响，但是否构成稳定偏好，还要看其他信号是否支持。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：visible_unrooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,7,M1-CORE-006,女命正官｜藏支且有根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星主要藏支且有根，未透或外显度较低。,真合化；被判定为无效。,,,,,藏支,有根,不确定,未定,无特殊,,84,A01 责任稳定 +4,secondary_bonus,偏好存在但较隐性，更可能通过熟悉和观察逐渐被用户意识到。,你不一定第一眼就被这类人打动，但相处后更容易注意到对方的长期相处中持续可靠、言行一致和愿意负责。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：hidden_rooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,8,M1-CORE-007,女命正官｜仅藏且较弱,L1 核心伴侣原型,夫妻星核心规则,女命,降级,正官,,该星仅藏、无明显根气或整体力量较弱。,有其他更强核心证据时不得抢占主结论。,,,,,藏支,无根或弱根,弱,未定,无特殊,,78,A01 责任稳定 -6；仅可作弱加分,secondary_bonus,证据不足以支持核心类型，只能在其他规则一致时作为轻微加分。,这类特质可能是加分项，但目前不足以单独定义你的核心心动类型。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,低,待验证,,状态代码：hidden_weak。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,9,M1-CORE-008,女命正官｜旺而有序,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星力量强，且共享引擎判定结构有序、未失衡。,真合化；明显受损。,,,,,混合,有根或强支撑,强,未定,有序,,92,A01 责任稳定 +5,primary_attraction,强度提高偏好显著度；结构有序时优先使用成熟、可取的表达词。,你更容易注意稳定而不僵硬、负责而有分寸的人。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：strong_ordered。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,10,M1-CORE-009,女命正官｜旺而失衡,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星力量强，且共享引擎判定表达失衡、过度或缺少调节。,真合化。,,,,,混合,有根或强支撑,强,忌或失衡,无有效调节,,91,A01 责任稳定 +5；使用强化词；置信度不高于中,style_modifier,强度仍会提高注意敏感度，但文案改用强化版本，不能把失衡直接写成关系风险。,你对标准感、克制和规则意识较强的人也会比较敏感，但这里仍只描述心动触发，不评价这种特质是否适合长期相处。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：strong_unbalanced。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,11,M1-CORE-010,女命正官｜力量中等,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星力量中等，且与其他证据不冲突。,另有明显更强核心信号时不得作为主结论。,,,,,混合,不确定,中,未定,无特殊,,80,A01 责任稳定 +2,secondary_bonus,中等信号适合作为稳定辅助；是否升级为核心依赖夫妻星主次判定。,你会在意这类特质，但它更可能是稳定加分项，而不是唯一的心动标准。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：medium。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
