rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-BASE-001,日支比肩｜核心关系底盘,L1 关系运行底盘,BASE-十神底盘,通用,基础,日支主气比肩,,日支主气十神由共享基础引擎可靠判定为比肩；日支原十神性质有效；未命中真合化停止。,日支主气未定；真合化后原十神性质不再有效；基础排盘或十神映射置信度不足。,不限定；由后续模块修正,不限定,I01 平等并肩／平等、伙伴感与自主边界,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,96,I01 平等并肩 +25,relationship_baseline,日支是亲密关系运行位；主气为比肩时，进入关系后，更自然地把伴侣视为平等协作的队友；亲密需要与自主并存。该规则只确定底盘主题，不直接生成完整表达、分歧或修复结论。,进入关系后，你更习惯把伴侣当作可以平等商量、各自保留判断和空间的队友。,不得推出用户自私、不愿付出、一定强势、排斥亲密，或双方必然竞争。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。,中高,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_比肩; interaction_state=平稳基线,0.2
M3-BASE-002,日支比肩｜主相处模式候选,L1 关系运行底盘,BASE-十神底盘,通用,模式候选,日支主气比肩,I01 平等并肩,M3中“日支比肩核心关系底盘”已经成立；至少有一项独立支持证据，或后续模块未形成更强冲突证据。,核心底盘已停止；仅有一处弱远争议信号；后续模块形成更高权威且不同的主通道。,不限定；由后续模块修正,不限定,平等、伙伴感与自主边界,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,90,P01 平等伙伴型 候选 +18,interaction_pattern,日支比肩可将整体相处模式初步指向P01 平等伙伴型；BASE只生成候选，最终需由EXPR、CARE、BOUND、CONFLICT或STATE至少一项复核。,你的相处方式更接近“平等伙伴型”：进入关系后，更自然地把伴侣视为平等协作的队友；亲密需要与自主并存。,不得推出用户自私、不愿付出、一定强势、排斥亲密，或双方必然竞争。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。 不得仅凭日支锁定用户在所有关系和所有压力状态下都使用同一模式。,中,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_比肩; candidate_only=true,0.2
M3-BASE-003,日支比肩｜过程维度路由,L2 主要互动通道,BASE-十神底盘,通用,路由,日支主气比肩,Q03 亲密距离节奏＋Q05 决策分配方式 候选,日支比肩核心底盘有效；相关后续模块输入完整。,相关后续模块停止；该过程维度仅由同一日支事实重复支持且没有独立证据。,不限定；由后续模块修正,不限定,平等、伙伴感与自主边界,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,76,Q03 亲密距离节奏＋Q05 决策分配方式 候选,closeness_boundary／decision_pattern（候选，待M3-BOUND复核）,比肩底盘会把亲密距离与共同决策初步指向并肩独立、平等协商，但不能在BASE阶段直接锁定具体边界强度。,你通常更愿意在尊重彼此边界的前提下靠近，重要事情倾向于共同商量，而不是由一方替另一方决定。,不得推出用户自私、不愿付出、一定强势、排斥亲密，或双方必然竞争。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。 该句只作为后续模块候选，不能在BASE阶段直接作为最终行为结论。,中低,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_比肩; route_only=true,0.2
M3-BASE-004,日支比肩｜依据摘要,L8 总合成与边界审查,BASE-十神底盘,通用,输出,日支主气比肩,,日支比肩底盘进入最终或暂定输出。,该底盘被删除、真合化替代或停止。,不限定；由后续模块修正,不限定,平等、伙伴感与自主边界,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,68,不加分,basis_summary,生成折叠命理依据，只说明日支比肩如何映射为I01 平等并肩，不把日支写成实际伴侣性格。,从传统八字取象看，日支的比肩信号使你的关系运行底盘更接近“平等、伙伴感与自主边界”。,不得推出用户自私、不愿付出、一定强势、排斥亲密，或双方必然竞争。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。,中,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_比肩; summary_only=true,0.2
M3-BASE-005,日支劫财｜核心关系底盘,L1 关系运行底盘,BASE-十神底盘,通用,基础,日支主气劫财,,日支主气十神由共享基础引擎可靠判定为劫财；日支原十神性质有效；未命中真合化停止。,日支主气未定；真合化后原十神性质不再有效；基础排盘或十神映射置信度不足。,不限定；由后续模块修正,不限定,I02 共同行动／共同参与、行动默契与节奏带动,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,96,I02 共同行动 +25,relationship_baseline,日支是亲密关系运行位；主气为劫财时，进入关系后，更容易在一起做事、共同推进和即时参与中感到联结。该规则只确定底盘主题，不直接生成完整表达、分歧或修复结论。,关系里有共同目标、一起做事和即时回应时，你更容易感到彼此真正站在同一边。,不得推出第三者、抢夺、关系竞争、容易冲动进入关系，或用户一定爱主导。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。,中高,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_劫财; interaction_state=平稳基线,0.2
M3-BASE-006,日支劫财｜主相处模式候选,L1 关系运行底盘,BASE-十神底盘,通用,模式候选,日支主气劫财,I02 共同行动,M3中“日支劫财核心关系底盘”已经成立；至少有一项独立支持证据，或后续模块未形成更强冲突证据。,核心底盘已停止；仅有一处弱远争议信号；后续模块形成更高权威且不同的主通道。,不限定；由后续模块修正,不限定,共同参与、行动默契与节奏带动,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,90,P02 共同行动型 候选 +18,interaction_pattern,日支劫财可将整体相处模式初步指向P02 共同行动型；BASE只生成候选，最终需由EXPR、CARE、BOUND、CONFLICT或STATE至少一项复核。,你的相处方式更接近“共同行动型”：进入关系后，更容易在一起做事、共同推进和即时参与中感到联结。,不得推出第三者、抢夺、关系竞争、容易冲动进入关系，或用户一定爱主导。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。 不得仅凭日支锁定用户在所有关系和所有压力状态下都使用同一模式。,中,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_劫财; candidate_only=true,0.2
M3-BASE-007,日支劫财｜过程维度路由,L2 主要互动通道,BASE-十神底盘,通用,路由,日支主气劫财,Q05 决策分配方式＋Q04 投入连续性 候选,日支劫财核心底盘有效；相关后续模块输入完整。,相关后续模块停止；该过程维度仅由同一日支事实重复支持且没有独立证据。,不限定；由后续模块修正,不限定,共同参与、行动默契与节奏带动,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,76,Q05 决策分配方式＋Q04 投入连续性 候选,decision_pattern／care_investment（候选，待M3-BOUND与M3-CARE复核）,劫财底盘会把关系参与方式初步指向边做边协调、共同推进；是否稳定持续仍需财星、官杀和状态模块复核。,你往往会通过一起行动、共同处理具体事情来表达投入，互动越有参与感，关系越有真实感。,不得推出第三者、抢夺、关系竞争、容易冲动进入关系，或用户一定爱主导。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。 该句只作为后续模块候选，不能在BASE阶段直接作为最终行为结论。,中低,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_劫财; route_only=true,0.2
M3-BASE-008,日支劫财｜依据摘要,L8 总合成与边界审查,BASE-十神底盘,通用,输出,日支主气劫财,,日支劫财底盘进入最终或暂定输出。,该底盘被删除、真合化替代或停止。,不限定；由后续模块修正,不限定,共同参与、行动默契与节奏带动,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,68,不加分,basis_summary,生成折叠命理依据，只说明日支劫财如何映射为I02 共同行动，不把日支写成实际伴侣性格。,从传统八字取象看，日支的劫财信号使你的关系运行底盘更接近“共同参与、行动默契与节奏带动”。,不得推出第三者、抢夺、关系竞争、容易冲动进入关系，或用户一定爱主导。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。,中,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_劫财; summary_only=true,0.2
M3-BASE-009,日支食神｜核心关系底盘,L1 关系运行底盘,BASE-十神底盘,通用,基础,日支主气食神,,日支主气十神由共享基础引擎可靠判定为食神；日支原十神性质有效；未命中真合化停止。,日支主气未定；真合化后原十神性质不再有效；基础排盘或十神映射置信度不足。,不限定；由后续模块修正,不限定,I03 舒缓陪伴／舒适、陪伴与生活化联结,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,96,I03 舒缓陪伴 +25,relationship_baseline,日支是亲密关系运行位；主气为食神时，进入关系后，更自然地通过温和互动、日常照顾和轻松氛围维持亲密。该规则只确定底盘主题，不直接生成完整表达、分歧或修复结论。,你更习惯用陪伴、照顾日常和轻松自然的互动维持亲密感。,不得推出用户懒散、只重享受、回避问题，或关系一定缺乏责任。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。,中高,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_食神; interaction_state=平稳基线,0.2
M3-BASE-010,日支食神｜主相处模式候选,L1 关系运行底盘,BASE-十神底盘,通用,模式候选,日支主气食神,I03 舒缓陪伴,M3中“日支食神核心关系底盘”已经成立；至少有一项独立支持证据，或后续模块未形成更强冲突证据。,核心底盘已停止；仅有一处弱远争议信号；后续模块形成更高权威且不同的主通道。,不限定；由后续模块修正,不限定,舒适、陪伴与生活化联结,无／待后续模块组合,日支或与日支直接相关,由共享基础引擎判定,由共享基础引擎判定,喜忌未定或由共享引擎提供,原十神性质有效；无真合化或已完成相应路由,近,90,P03 舒缓陪伴型 候选 +18,interaction_pattern,日支食神可将整体相处模式初步指向P03 舒缓陪伴型；BASE只生成候选，最终需由EXPR、CARE、BOUND、CONFLICT或STATE至少一项复核。,你的相处方式更接近“舒缓陪伴型”：进入关系后，更自然地通过温和互动、日常照顾和轻松氛围维持亲密。,不得推出用户懒散、只重享受、回避问题，或关系一定缺乏责任。 本规则只描述关系建立后的互动底盘，不判断风险、结果和适配。 不得仅凭日支锁定用户在所有关系和所有压力状态下都使用同一模式。,中,待验证,,provisional=true; source_id=DAY_BRANCH_PRIMARY_食神; candidate_only=true,0.2
