rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-DUAL-001,M2-DUAL｜模块核心定义,L5 状态修正与双重门槛,模块基线,通用,基础,两项关系门槛或两条确认路径,,M2-GATE、M2-CORE与M2-FLOW已产生至少两个可比较候选；共享基础引擎状态可靠。,基础十神、日支藏干或真合化结论低置信，且会改变两项候选的性质。,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,建立DUAL模块；provisional=true,module_definition,M2-DUAL只判断两项关系条件之间的关系：它们是同义重复、主次分层、并行观察、先后确认、反复校准、情境切换，还是可能都构成核心门槛。它不评价关系好坏。,这一部分会把你同时在意的两类条件分清：哪一项是核心、哪一项是补充，以及它们通常是一起看、分步骤确认，还是随具体对象切换。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,所有后续规则必须服从本定义。,0.6
M2-DUAL-002,双重门槛｜两个强信号不自动成立,L8 边界与禁用规则,双重成立门控,通用,门控,候选A,候选B,拟因两个分值较高或两个十神同时出现而直接输出双重门槛。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,禁止单凭数量或强度锁定dual_status,proof_threshold,两个信号同时明显，只说明存在两个候选。还必须检验维度是否不同、证据是否独立、两者是否各自达到最低门槛，以及是否有功能关系。,两项信息都明显，不等于它们一定同等重要；系统会先判断是不是同一件事的重复表达，再决定是否真正形成两层关系门槛。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,,0.6
M2-DUAL-003,双重门槛｜维度必须独立,L5 状态修正与双重门槛,独立性门控,通用,门控,K01 维度独立性,,拟将两个候选写成双核心或主次门槛。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,99,K01需通过；同维度则转U06同义收敛,dual_status,双重门槛必须落在两个不同的关系准入功能上，例如承诺清晰与行动兑现、互动体验与持续投入。仅用不同词重复同一功能，不构成双重。,只有当两项条件解决的是不同问题时，才会保留为两层门槛；相近说法会被合并，避免重复。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,,0.6
M2-DUAL-004,双重门槛｜证据来源必须独立,L5 状态修正与双重门槛,独立性门控,通用,门控,K02 证据来源独立性,,两个候选分别有命理证据，但可能来自同一十神、同一藏干或同一结构事实。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,99,同源只计一次；不能因此confidence +1,evidence_independence,同一个结构事实被GATE、CORE或FLOW重复映射时，不能被视为多份独立证据。真正的双重门槛通常需要不同来源，或同一来源外再有独立支持。,同一条命理信息即使能从几个角度解释，系统也只计算一次，不会人为把确定度放大。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,建议开发记录evidence_source_id。,0.6
M2-DUAL-005,同源重复｜跨模块去重,L8 边界与禁用规则,同源去重,通用,门控,GATE/CORE/FLOW同源映射,,两个候选实际由同一夫妻星、同一日支主气或同一结构事实产生。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,保留语义最直接的一项；另一项仅作解释，不加独立分,deduplication,模块是解释层，不是证据数量。一个正官同时出现在CORE与FLOW中，若没有第二来源，不应被计算为两项门槛。,同一个条件在不同模块里被重复看见时，会合并成一个核心判断，而不是写成两套标准。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,,0.6
M2-DUAL-006,双重候选｜初始分差阈值,L5 状态修正与双重门槛,评分门控,通用,门控,K03 力量接近度,,两个独立维度均达到最低候选分，准备判断主次或双核心。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,92,分差≤8可进入双核心候选；分差9—14优先主次；分差≥15通常不并列,dual_relation,分差只负责排序，不代表心理准确率。必须与证据来源、位置、根气和功能关系共同使用。,两项条件只有在证据强度接近时，才可能被视为同等重要；一强一弱时会清楚区分主次。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,中,待验证,,阈值为V0.6初始参数，需案例校准。,0.6
M2-DUAL-007,一强一弱｜主门槛加次门槛,L5 状态修正与双重门槛,U01主次分层,通用,组合,高分候选,中低分候选,两项维度不同；主项达到核心阈值；次项仅达到辅助阈值或分差明显。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,91,dual_relation=U01；primary_gate=强项；secondary_gate=弱项,dual_relation,存在两个不同条件，不代表两者同等必要。主项决定是否进入认真考虑，次项负责增加说服力或完成后续验证。,你有一项更稳定的核心门槛，另一项更像加分或第二道检查；缺少次项未必立即否定关系，但会影响你继续确认的意愿。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,中高,待验证,,,0.6
M2-DUAL-008,同义维度｜合并为单一门槛,L5 状态修正与双重门槛,U06同义收敛,通用,组合,候选A,候选B,两个候选映射到同一G维度，或语义高度重叠且没有独立功能。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,98,dual_status=false；merge_to_single_gate=true,dual_status,同义重复应收敛为更具体的一条核心标准，而不是为了丰富报告强行拆成双重门槛。,这两项实际上都在说明同一个核心条件，系统会合并成一句更准确的话，不会重复堆叠。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,高,待验证,,,0.6
M2-DUAL-009,双重必要｜不得自动写成缺一不可,L8 边界与禁用规则,必要性门控,通用,门控,K05 必要性证据,,两项候选均达到核心阈值，拟使用“缺一不可”“少一项就不会进入”等绝对语言。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,默认necessity_level=两项重要；禁止直接=缺一不可,necessity_level,命局可支持两项都重要，但不能仅凭分数接近推断任一缺失都会阻止关系。必要性需要结构独立、功能互补、稳定重复和案例反馈共同支持。,系统可以判断两项条件都很重要，但不会轻易断定“少一项就绝对不会进入关系”。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,门控,待验证,,,0.6
M2-DUAL-010,缺一不可｜需要案例验证,L5 状态修正与双重门槛,U07双核心必要候选,通用,门控,双核心结构,真实选择案例,两项各有至少两类独立证据、分差小、功能不可替代；并有真实案例显示任一缺失都会反复阻止确认。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,96,necessity_level=案例验证后的高度必要；confidence可+1,necessity_level,“缺一不可”属于强命题，原则上需要案例层确认。知识库在没有案例时最多输出“双核心门槛候选”。,如果你的真实经历反复显示，两项条件少任何一项都会让你停止推进，系统才会把它升级为真正的双核心门槛。,不得由本规则直接推出对象数量、感情复杂、出轨、第三者、忠诚度、人格好坏、控制关系、依恋类型、关系结果、适配程度、婚姻时间、早婚晚婚，或实际配偶的职业、收入、外貌、年龄与家庭背景；不得把两项条件解释为犹豫、挑剔、双标或花心。,中高,待验证,,发布初期建议默认不展示“缺一不可”。,0.6
