rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-TEMPO-001,M2-TEMPO｜模块核心定义,L6 确认与进入节奏,模块基线,通用,基础,关系确认节奏,,M2-GATE、M2-CORE、M2-SELF、M2-FLOW与M2-DUAL已产生可用结果；共享基础引擎状态可靠。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,建立tempo_class、tempo_mechanism、evidence_rounds与external_internal_gap；provisional=true,module_definition,M2-TEMPO描述的不是日历时间，而是用户把一个人从“进入认真评估”转为“内部确认并允许正式进入关系”时，通常需要多少类证据、多少个验证环节，以及外部推进与内部确认是否同步。,这一部分说明你通常通过怎样的证据积累和复核，才会真正确认一段关系；它不会预测具体要几天、几个月。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-002,节奏起点｜候选已进入关系评估,L6 确认与进入节奏,时间起点门控,通用,门控,M2评估起点,,至少有一项GATE或CORE达到有效阈值，说明对象已进入认真评估范围。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,若只有M1心动信号、尚无关系准入证据，则停止TEMPO。,tempo_start,M2-TEMPO从“对象已进入认真评估”开始计算。单纯注意、好感或化学反应仍属于M1，不能作为关系确认节奏的起点。,模型只从你开始认真评估一个人之后计算，不把第一眼好感直接当作进入关系。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-003,日历边界｜禁止输出具体时长,L6 确认与进入节奏,时间单位门控,通用,门控,具体天数／月份,,生成用户报告或开发接口时，拟把tempo_class换算为天、周、月或年龄。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,任何缺乏真实时间数据的原局推断。,calendar_guard,原局最多支持“低轮次、分阶段、多轮积累或情境不定”的相对节奏，不能可靠换算成现实日历长度。,这里的快慢是相对的确认方式，不代表固定几天、几周或几个月。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-004,三种速度｜必须分开记录,L6 确认与进入节奏,时间层级门控,通用,门控,评估启动／内部确认／正式进入,,模型拟使用单一“快慢”字段概括所有阶段。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,99,,tempo_clock_split,关系节奏至少拆成evaluation_entry_speed、internal_confirmation_speed和formal_entry_speed。三者可以同步，也可以出现先后差。,你可能很快开始认真观察，却不一定马上确认；也可能内心已经确定，但正式关系仍需要双方表态和现实条件。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-005,第一印象快｜不等于正式确认快,L6 确认与进入节奏,M1接口边界,通用,门控,M1心动速度,,M1显示外形、互动或某类特质容易迅速触发好感。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,缺少GATE、CORE、FLOW或SELF的确认节奏证据。,attraction_tempo_guard,心动只是注意与好感的启动速度；正式准入还要经过M2的资格证据、关系门槛和选择执行。,你可能很快有感觉，但是否真正进入关系，仍要看后续证据能不能通过你的关系门槛。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-006,对方推进快｜不等于用户确认快,L6 确认与进入节奏,外内速度门控,通用,门控,外部推进速度,,CORE外显、七杀行动或对方持续推进信号明显。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,没有SELF、GATE或内部确认接口。,external_internal_gap,对方的行动能让关系事件更快发生，但用户的内部确认可能同步、滞后或拒绝。必须另判external_internal_gap。,对方推进得快，只说明关系更早进入你的评估，不代表你内心也会同样快地确认。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-007,决策快｜不等于接受快,L6 确认与进入节奏,去向区分门控,通用,门控,快速筛选能力,,A01、C01、条件表达和拒绝执行证据可靠。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,99,拟把清楚的拒绝或快速排除写成快速进入关系。,go_no_go_guard,主动筛选型会缩短“判断是否继续”的时间，但可能表现为更快接受，也可能表现为更快停止。TEMPO必须区分decision_speed与acceptance_speed。,你可能很快知道这段关系要不要继续；这种明确也可能让你更快说“不”，不等于一定更快开始关系。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-008,观察后确认｜不等于犹豫,L6 确认与进入节奏,语言边界,通用,门控,T02观察后确认,,tempo_class=T02候选。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,,language_guard,观察后确认表示用户需要看到持续性或第二类证据，不代表优柔寡断、拖延或缺乏感情。,你更重视证据能否持续，因此通常会先观察再确认；这是一种验证方式，不是犹豫。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-009,慢热积累｜不等于被动,L6 确认与进入节奏,语言边界,通用,门控,T03慢热积累,,tempo_class=T03候选。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,,language_guard,慢热描述关键门槛需要在重复接触中显现，不代表用户不会主动、只能朋友转恋人或缺乏吸引力。,你更容易在重复接触和稳定表现中形成确认；这不等于被动，也不代表关系一定从朋友开始。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
M2-TEMPO-010,较快确认｜不等于冲动,L6 确认与进入节奏,语言边界,通用,门控,T01较快确认,,tempo_class=T01候选。,,读取M2-SELF结果,读取M2-CORE结果,读取M2-GATE结果,读取M2-FLOW结果,任意,任意,任意,未定,原性质有效,任意,100,,language_guard,较快确认必须建立在清楚、持续且直接命中门槛的证据上，不是一次强烈感觉或被气氛推动。,当关键表现清楚而持续地命中你的核心条件时，你可能较快完成判断；这不等于凭一时冲动开始关系。,不得由本规则直接推出具体天数、周数、月份、恋爱或结婚年龄、何时遇见对象、对象数量、婚姻早晚、关系结果、对象质量、忠诚度、人格好坏、依恋类型、控制关系或适配程度；不得把较快确认写成冲动，把观察后确认写成犹豫，把慢热积累写成被动，也不得把状态不定写成反复无常。,门控,待验证,,,0.7
