rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-CONFLICT-001,M3-CONFLICT正式定义｜分歧响应与冲突处理,L0 模型边界与证据,CONFLICT-定义边界,通用,定义,M3-CONFLICT模块规则,,M3-CONFLICT被调用；分析对象为关系建立后的分歧启动、信息排序、暂停、协商、解决与结束条件。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,99,不加分；说明／路由,report_status,M3-CONFLICT描述分歧出现以后用户怎样处理信息与关系，不判断冲突是否严重、谁对谁错或关系结果。,这一部分关注：意见不一致时你通常先处理什么、怎样表达、何时暂停，以及怎样形成一个暂时可执行的处理结果。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-002,核心问题｜处理顺序而非冲突好坏,L0 模型边界与证据,CONFLICT-定义边界,通用,边界,M3-CONFLICT模块规则,,需要判断第一反应、事实与情绪顺序、责任分配、方案形成、暂停及结束条件。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,98,不加分；说明／路由,boundary_note,同一种通道在平稳和压力状态下可能表现不同；本模块先描述顺序，不做道德评价。,这里先说明你在分歧里通常怎样处理事情，不把它简单评成会吵、不会吵、成熟或有问题。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-003,标准输入｜共享基础引擎,L0 模型边界与证据,CONFLICT-定义边界,通用,输入门控,M3-CONFLICT模块规则,,排盘、十神、日支藏干、透藏、根气、旺弱、喜忌、合化、有效流向和source_id已由共享引擎提供。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,97,不加分；说明／路由,report_status,CONFLICT不重新排盘，也不独立裁定合化旺衰，只翻译可靠基础事实。,基础状态有争议时，会保留不确定性，而不会为了完整硬写固定的冲突反应。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-004,标准输出｜冲突处理字段,L0 模型边界与证据,CONFLICT-定义边界,通用,输出合同,M3-CONFLICT模块规则,,至少一项有效冲突通道成立，且关键基础字段未停止。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,96,不加分；说明／路由,report_template,输出主／次通道、第一反应、注意焦点、事实情绪顺序、责任处理、方案、暂停、结束条件、复盘、路径、状态与置信度。,最终会回答：分歧出现时你先做什么、怎样把问题说清、怎样形成方案，以及什么条件下你会认为这一轮可以先告一段落。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,中高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-005,M1边界｜心动偏好不等于分歧方式,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模型边界,M3-CONFLICT模块规则,,M1心动偏好与M3-CONFLICT信号同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,95,不加分；说明／路由,boundary_note,被某类特质吸引，不能推出面对分歧时一定采用同一种方式。,让你心动的特质，和你真正出现意见不一致时怎样处理，会分开判断。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-006,M2边界｜关系准入不等于冲突处理,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模型边界,M3-CONFLICT模块规则,,M2关系门槛与M3-CONFLICT信号同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,94,不加分；说明／路由,boundary_note,选择关系时的门槛，只说明什么人能进入关系，不说明分歧发生后的处理顺序。,你决定和谁进入关系，和进入关系后怎样处理意见不一致，是两个不同问题。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-007,M3-EXPR边界｜日常表达不等于压力表达,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模块边界,M3-CONFLICT模块规则,,EXPR与CONFLICT共享表达证据。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,93,不加分；说明／路由,boundary_note,平时会表达，不代表压力下仍按同一顺序；平时话少，也不代表分歧时不能说明立场。,你日常怎样沟通，会影响分歧中的表达，但压力增加时是否切换，需要另外判断。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-008,M3-BOUND边界｜边界内容不等于冲突过程,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模块边界,M3-CONFLICT模块规则,,BOUND已说明限制、权限或暂停需要。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,92,不加分；说明／路由,boundary_note,BOUND回答“什么不能接受”，CONFLICT回答“出现不一致时怎样处理”。,你有哪些边界，和你怎样把边界放进一场分歧里处理，会分别说明。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-009,M3-REPAIR边界｜冲突结束不等于关系修复,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模块边界,M3-CONFLICT模块规则,,分歧已经形成暂时结果，但情绪联结是否恢复尚未判断。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,91,不加分；说明／路由,boundary_note,问题有方案不等于关系已经重新亲近；REPAIR负责重新联结。,事情谈完或处理完，只代表这一轮分歧有了结果；你们怎样恢复理解和亲近，会在修复模块继续判断。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
M3-CONFLICT-010,M4边界｜强烈反应不等于风险结论,L0 模型边界与证据,CONFLICT-定义边界,通用,跨模型边界,M3-CONFLICT模块规则,,冲突通道明显、过旺或压力下抢先。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载只修正冲突处理的可执行性，不直接等于强硬或软弱。,不限定；夫妻星只在责任、行动、投入等冲突议题中参与接口，不作为CONFLICT唯一主轴。,由M3-BASE、日支主气及宫位动态提供；不得把日支直接写成配偶性格。,无／待CONFLICT顺序与路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于冲突方式好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,90,不加分；说明／路由,risk_route,CONFLICT只记录第一反应与处理顺序；是否形成攻击、压迫、冷战或消耗交给M4。,某种处理方式很强，只说明它容易先出现，不直接等于会伤害关系。,不得由本规则直接推出攻击、冷战、控制、情绪虐待、暴力、分手离婚、关系失败、人格或依恋类型；不得把某种分歧处理顺序等同于爱得更多或更少。风险与失衡需转入M4，适配需转入M5。,高,待验证,,provisional=true; rule_group=CONFLICT-定义边界,0.6
