rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M4-BUFFER-001,M4-BUFFER正式定义｜调节、保护因素与病药功能接口,L0 定义、边界与证据合同,BUFFER-定义边界,通用,定义,M4-BUFFER模块规则,,存在M4-BASE至REPAIR中的风险候选，准备判断哪些功能会真实改变风险链。,试图只因命局出现某十神、喜神或制化字样就宣告风险消失。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,M4-BUFFER研究保护因素怎样进入具体风险链，而不是给命局贴“有药／无药”的标签。,这一部分看的是：哪些资源能真正限制过度反应、补足缺位、恢复反馈或完成修复。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-002,先诊断后配药｜没有明确失衡机制不得配置保护因素,L0 定义、边界与证据合同,BUFFER-定义边界,通用,边界,诊断前置,,已经明确K机制、TR触发、LP循环或RN修复断点中的至少一项。,只有“某五行缺”“某十神为忌”等泛化描述，没有具体关系任务。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,保护因素必须有明确靶点；没有病位、触发和断点，就无法判断哪项功能是有效调节。,先要知道关系中哪一步容易失衡，才能判断什么资源真正有帮助。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-003,正常功能优先｜保护因素不是把原功能消灭,L0 定义、边界与证据合同,BUFFER-定义边界,通用,边界,功能保留,,原功能在关系中仍有必要价值，只需限制过用或补足另一环节。,把制化理解为完全压掉表达、行动、边界、投入或理解。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,有效保护通常保留原功能的价值，同时限制它越界、抢位或替代其他任务。,真正的调节不是让你失去原有能力，而是让这项能力在更合适的范围内发挥。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-004,命理资源与现实调用分离,L0 定义、边界与证据合同,BUFFER-定义边界,通用,证据,结构／行为分层,,分别记录结构资源、可调用条件、现实使用和实际效果。,命局中有某功能，就直接写成现实中一定会使用。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,buffer_evidence,命盘最多说明潜在或可调用资源；是否启动、是否有效，要看现实行为和结果。,命局里有这种资源，不等于每次关系里都会自动用出来，还要看现实中是否真的调用。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-005,有效保护必须改变链条,L0 定义、边界与证据合同,BUFFER-定义边界,通用,边界,效果门控,,至少改变K机制、TR阈值、LP反馈、RN节点或风险发布等级中的一项。,只提供安慰性描述，但风险顺序、反馈和修复没有任何变化。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,保护因素只有在改变风险链的启动、强度、顺序、反馈或回流时才计入有效。,要看这项资源有没有真正让处理顺序、反馈或后续结果发生变化。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-006,同一事实只计一次｜保护解释不等于新增证据,L0 定义、边界与证据合同,BUFFER-定义边界,通用,去重,source_id去重,,每项命理事实和现实事件都有唯一source_id／event_id。,同一印星被同时写成倾听、修复、通关和安全四项独立证据并重复加分。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,同一基础事实可以有多个功能解释，但基础权重只能计算一次。,同一个命理信号可以从不同角度说明作用，但不能被当成四份独立证据。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-007,保护因素不覆盖现实反例,L0 定义、边界与证据合同,BUFFER-定义边界,通用,反例,现实优先,,现实中没有稳定反例，或反例已被纳入条件化判断。,现实多次显示该功能未进入，却仍用命盘结构宣告保护有效。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,现实反例直接降级,boundary_note,现实反例直接降低保护层级；稳定反例优先于结构推测。,如果现实中多次没有用出这项资源，就不能只凭八字说它已经在保护关系。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-008,安全停止｜暴力强迫不进入普通缓冲框架,L0 定义、边界与证据合同,BUFFER-定义边界,通用,安全,现实安全门控,,现实中不存在暴力、威胁、强迫、跟踪、经济控制或明显人身风险。,存在安全风险，却用“有制化、有沟通、有爱”要求继续协商。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,100,不加分；定义／门控,boundary_note,安全风险优先转向现实保护、责任和专业支持，不以普通关系调节替代。,若存在威胁、强迫或人身安全风险，首要任务是安全，不应把重点放在如何调和。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-009,保护因素不创造原谅与继续关系义务,L0 定义、边界与证据合同,BUFFER-定义边界,通用,伦理,选择权边界,,区分责任行动、关系修复、原谅、信任和是否继续。,用“命里有药”“可以化解”要求受影响者原谅、复合或继续关系。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,100,不加分；定义／门控,boundary_note,有效保护可以减少风险或完成责任，但不能替任何人决定是否继续关系。,即使对方做出改变，你仍有权决定是否原谅、恢复信任或继续关系。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
M4-BUFFER-010,喜用神不直接等于药,L0 定义、边界与证据合同,BUFFER-定义边界,通用,病药边界,喜忌接口,,喜用只作为承载和平衡信息，另有具体功能靶点和现实调用证据。,直接写“喜木，所以多沟通”“用火，所以找热情伴侣”等。,由共享基础引擎提供；仅修正保护功能的承载、持续调用和压力状态下的稳定性，不直接等同成熟度、道德或现实行为。,由M1／M2接口提供；夫妻星、心动原型和关系门槛只说明关系议题，不单独证明保护因素已经被调用或有效。,由M3-BASE及M4各模块提供；日支、日柱近位可提高与亲密关系核心的相关性，但同一source_id不得重复计分。,保护因素必须明确限制过用、补足缺位、恢复顺序、打开反馈、落实改变或完成修复回流；不能只凭五行相生补写现实效果。,近位提高进入亲密关系核心的概率；远位只作背景、阶段或条件性修正。,根气只修正该保护功能是否容易重复调用，不等于现实中已经形成稳定保护。,旺弱只修正调用强度与承载；强不自动有效，弱也不自动无效。,喜忌只修正摩擦、平衡与承载，不可直接翻译为好坏、成熟度或解决方案。,原十神功能有效；真合化成立时按化神功能替换，合化争议时停止定性。,近位提高直接相关性；远位仅保留背景、阶段或低置信修正。,96,不加分；定义／门控,boundary_note,病药模型中的药是能改变具体失衡链的功能，不是元素标签的直接翻译。,这里的“药”指能补上具体关系步骤的功能，不是简单说某个五行越多越好。,不得仅凭本规则断定问题已经解决、关系必然稳定、用户一定成熟、某十神天然是“药”、喜用神自动等于解决办法，或淡化暴力、强迫与现实伤害；现实行为、反例、安全事实和专业支持优先。,高,待验证,,provisional=true；保护因素的现实有效性必须由可观察行为、反馈和持续结果验证。,0.8
