rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-CARE-001,M3-CARE正式定义｜关系建立后的付出与支持交换,L0 模型边界与证据,CARE-定义边界,通用,定义,M3-CARE模块规则,,M3-CARE模块已被调用；分析对象为关系建立后的日常投入、照顾、请求支持、接受支持与回馈。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,99,不加分；门控／路由,report_status,M3-CARE描述用户怎样把时间、精力、资源、责任、陪伴和理解投入关系，并怎样接收与回馈支持。,模型三这一部分关注的不是你爱得多不多，而是你通常用什么内容、怎样的频率和怎样的交换方式照顾关系。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_01,0.4
M3-CARE-002,M3-CARE核心问题｜付出方式而非付出好坏,L0 模型边界与证据,CARE-定义边界,通用,边界,M3-CARE模块规则,,需要判断投入内容、启动方式、连续性、请求支持、接受支持或回馈方式。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,98,不加分；门控／路由,boundary_note,付出存在内容、显隐、连续性和交换结构差异；本模块不把任何一种方式直接评为成熟、无私、自私或有问题。,这里先说明你通常怎样付出、怎样接受帮助，不把它简单评成多或少、好或坏。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_02,0.4
M3-CARE-003,M3-CARE标准输入｜共享基础引擎,L0 模型边界与证据,CARE-定义边界,通用,输入门控,M3-CARE模块规则,,排盘、十神、日支藏干、透藏、根气、旺弱、喜忌、合化、有效流向和source_id已由共享引擎提供。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,97,不加分；门控／路由,report_status,M3-CARE不重新排盘或独立裁定旺衰合化，只把可靠基础事实翻译为支持交换行为。,基础信息有争议时，会保留不确定性，而不会把一项弱远信号写成固定的付出模式。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_03,0.4
M3-CARE-004,M3-CARE标准输出｜十二个CARE字段,L0 模型边界与证据,CARE-定义边界,通用,输出合同,M3-CARE模块规则,,至少一项有效CARE信号成立，且关键基础字段未停止。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,96,不加分；门控／路由,boundary_note,输出主CARE通道、次通道、付出内容、投入启动、连续性、请求支持、接受支持、回馈结构、资源边界、状态切换、CARE路径和置信度。,最终会回答：你主要怎样照顾关系、什么时候会投入、怎样接受帮助，以及双方支持怎样形成来回。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,中高,待验证,,provisional=true; rule_group=DEFINITION_04,0.4
M3-CARE-005,M1边界｜心动偏好不等于照顾方式,L0 模型边界与证据,CARE-定义边界,通用,跨模型边界,M3-CARE模块规则,,M1心动偏好与M3-CARE信号同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,95,不加分；门控／路由,boundary_note,被什么特质吸引与进入关系后怎样投入是不同字段；M1只能用于比较，不给CARE通道加基础分。,让你心动的特质，未必就是你照顾关系时使用的方式，两者会分开判断。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_05,0.4
M3-CARE-006,M2边界｜准入条件不等于长期投入,L0 模型边界与证据,CARE-定义边界,通用,跨模型边界,M3-CARE模块规则,,M2关系门槛或资格证据与M3-CARE信号同时出现。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,94,不加分；门控／路由,boundary_note,选择一个人时看重的条件，只有在M3中有独立证据时，才能写成关系建立后的投入习惯。,你选择关系时看重的责任、行动或投入，可能延续到相处中，也可能只是一道准入标准。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_06,0.4
M3-CARE-007,M3-BASE接口｜底盘说明主题，CARE说明支持行为,L0 模型边界与证据,CARE-定义边界,通用,模块边界,M3-BASE,,M3-BASE与M3-CARE读取同一日支或同一有效十神。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,93,不加分；门控／路由,boundary_note,BASE回答关系自然围绕什么主题运行；CARE回答时间、资源、责任和情绪支持怎样实际交换。,同一个关系底盘可以在CARE中细化为具体付出，但基础证据只计算一次。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_07,0.4
M3-CARE-008,M3-EXPR边界｜行动表达不等于持续投入,L0 模型边界与证据,CARE-定义边界,通用,模块边界,M3-EXPR,,EXPR识别行动、安排、倾听或承担为表达通道。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,92,不加分；门控／路由,boundary_note,EXPR只说明用户怎样让对方看见在意；CARE必须继续判断是否重复、持续、可请求、可接受和可回馈。,你可能会用行动表达态度，但这种行动是否稳定、怎样分工和怎样形成互相支持，需要在CARE里另行判断。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_08,0.4
M3-CARE-009,M3-BOUND边界｜付出数量不等于边界状态,L0 模型边界与证据,CARE-定义边界,通用,模块边界,M3-BOUND,,CARE识别付出、资源投入或接受支持。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,91,不加分；门控／路由,boundary_note,投入多、投入少、愿意接受帮助，都不能直接推出边界清楚或边界薄弱；资源权限和亲密距离交给BOUND。,付出的多少不能单独说明你有没有边界，接受帮助也不等于依赖。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_09,0.4
M3-CARE-010,M3-CONFLICT边界｜危机行动不等于冲突方式,L0 模型边界与证据,CARE-定义边界,通用,模块边界,M3-CONFLICT,,七杀、官杀或行动型CARE信号在困难情境中被识别。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,由共享基础引擎与M3-STATE修正,不限定；夫妻星仅在形成独立CARE证据或入宫接口时参与,由M3-BASE、日支结构及共享引擎提供,无／待CARE路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于愿不愿付出；只修正调用顺畅度与资源压力,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,90,不加分；门控／路由,boundary_note,关键时刻解决问题可以是支持方式，但分歧时是否压迫、回避或争执必须由CONFLICT独立判断。,遇到事情先处理问题，是一种支持顺序，不等于你发生分歧时一定强硬或控制。,不得由本规则直接推出过度付出、付出失衡、依赖、控制、忠诚度、关系结果或适配度；不得把某种照顾方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_10,0.4
