rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-EXCHANGE-001,M5-EXCHANGE正式定义｜表达、支持、投入与双向交换,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,定义,M5-EXCHANGE模块规则,,M5-BASE与M5-PARTNER已形成主FN、次FN和具体对象观察画像。,PR0安全门控未通过、具体对象资料完全缺失或基础状态未定。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,report_status,本模块判断双方如何给予、请求、接收、回应、回馈和重新协商，而不是简单比较谁付出更多。,这一部分看的是双方怎样把支持和投入真正交换起来。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-002,交换不等于等量｜公平与50/50分开,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,边界,M5-EXCHANGE模块规则,,分析负荷、公平或互惠。,直接用次数、金额或时间做机械等量判断。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,exchange_fairness,公平要综合资源、能力、阶段、决定权、认可和可重订性。,公平不一定是每项对半，而是双方都知情、可承受并能重新协商。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-003,给予、请求、接收和回馈必须分开,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,定义,M5-EXCHANGE模块规则,,分析任一支持或投入通道。,把会给予自动等同会请求、会接收或会回馈。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,exchange_process,四项是不同能力，必须分别判断。,一个人很会付出，不代表他也能说出需要、接受帮助或接收反馈。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-004,单向可见不等于单向关系,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,边界,M5-EXCHANGE模块规则,,现有资料只清楚记录一方行为。,未检查隐性贡献、错峰、分工和资料缺失。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,exchange_state,先输出XR05单向可见候选，不直接定性。,目前只容易看见一侧，先不要急着判断另一方完全没有投入。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-005,暂时不对称不等于长期失衡,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,边界,M5-EXCHANGE模块规则,,疾病、工作、育儿、照护或危机阶段贡献不对称。,没有重订点、恢复资料或长期事件。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,exchange_state,区分阶段性负荷和稳定结构。,某个阶段一方承担更多，不等于长期都必须这样。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-006,交换结构必须保留同意与选择权,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,安全,M5-EXCHANGE模块规则,,分析帮助、保护、资源、亲密或决定权。,存在强迫、暴力、威胁、经济控制、跟踪或反复越界。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,consent_boundary,安全和同意高于互惠、互补与修复叙事。,任何付出和保护都不能成为越过同意与选择权的理由。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-007,M3描述个人惯性｜M5判断双方交换,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,接口,M5-EXCHANGE模块规则,,M3-EXPR、CARE、BOUND结果可用。,用单方惯性直接推断双方关系公平。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,m3_exchange_interface,M3回答用户怎样给、怎样接；M5还要加入对方行为和双方反馈。,知道你习惯怎样付出，只是第一步，还要看对方怎样回应。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-008,M4识别循环｜M5建立可持续替代结构,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,接口,M5-EXCHANGE模块规则,,M4 K、LP、RN、BF结果可用。,把M4风险直接当成适配结论。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,m4_exchange_interface,M4提供风险链；M5将其转译为交换任务、停止点和回流结构。,这里不是重复描述问题，而是明确怎样交换才不会继续放大问题。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-009,M5-PARTNER个人能力不等于双人交换,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,接口,M5-EXCHANGE模块规则,,具体对象PV与PS结果可用。,两个人各自有能力就直接判定关系会互惠。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,partner_exchange_interface,个人功能需要进入共同请求、接收、分工和修复后才形成交换结构。,两个人都很优秀，也仍要看能不能把能力接起来。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
M5-EXCHANGE-010,现实双人事件高于命理结构,L0 定义、边界与证据合同,EXCHANGE-定义边界,通用,证据,M5-EXCHANGE模块规则,,分析具体关系交换。,用用户命盘、对方命盘、合盘或十神替代现实事件。,由共享基础引擎、M3与M5-BASE提供；只修正用户怎样给予、请求、接收和回馈，不直接判断双方现实交换质量。,M2只说明进入关系所需资格证据；不能替代长期双向交换、负荷与修复验证。,M3-BASE、EXPR、CARE和BOUND提供用户自然互动通道；M5-EXCHANGE负责把两人的实际行为合成为交换结构。,无／按本规则指定的给予—请求—接收—反馈—重订路径路由。,近位、远位只修正该交换需求进入亲密关系核心的可能；不得据此判断具体伴侣现实中一定配合。,根气只修正用户交换需求和通道是否稳定重复，不等于双方已形成成熟互惠。,旺弱只修正通道调用强度、抢位或缺位风险，不直接等于交换公平或关系质量。,喜忌只修正调用顺畅度与摩擦，不可直接翻译为理想伴侣五行、十神或必然互补。,真合化成立时按化神功能重算用户交换需求；合化争议时停止细化交换通道。,近位提高该交换议题进入关系核心的可能；远位只保留背景或阶段性观察。,98,不加分；定义／门控,exchange_evidence_level,命理生成观察任务，现实事件决定XV和XR状态。,命盘告诉你该观察什么，真实互动才告诉你交换是否成立。,不得仅凭本规则推出双方一定公平、相爱、忠诚、长期稳定或适合结婚；不得把付出多少直接等同爱多少；不得以命理要求单方牺牲、立即回报、原谅、复合或继续关系。现实安全、同意、持续行为、反例与双方协商优先。,高,待验证,,provisional=true; rule_group=EXCHANGE-定义边界,0.4
