rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-SELF-001,M2-SELF｜模块核心定义,L1 自我选择位置,模块基线,通用,基础,日主＋印比＋夫妻星相对状态,,共享基础引擎已提供日主有效状态、印比支持、夫妻星有效性与相对力量。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,100,建立SELF模块；不直接加分,module_definition,M2-SELF只解释用户在决定是否进入关系时，能否维持自己的标准、表达条件并保留拒绝权。它不回答喜欢谁，也不评价用户是否独立、成熟或有能力。,这一部分不是判断你“有没有主见”，而是看当关系真正靠近时，你能否继续使用自己的标准、说出条件，并在不符合时保留暂停或拒绝的空间。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,所有后续SELF规则必须服从本定义。,0.4
M2-SELF-002,M2-SELF｜八项内部观察维度,L1 自我选择位置,维度词典,通用,基础,S01—S08内部维度,,进入M2-SELF计算。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,99,初始化S01—S08,self_dimension_map,SELF内部拆分为：S01标准稳定度、S02内部确认力、S03条件表达力、S04拒绝与边界执行、S05双向协商空间、S06外部节奏牵引度、S07情境依赖度、S08自我标准集中度。最终只向用户输出少量综合结论。,系统会分别看你是否知道自己要什么、能不能说出来、能不能拒绝，以及关系节奏会不会明显影响你的判断；最后只保留最关键的一两项。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,内部维度不作为人格标签直接展示。,0.4
M2-SELF-003,日主强弱｜不得直接等于选择自主度,L8 边界与禁用规则,身强身弱门控,通用,门控,日主强弱,,拟由身强／身弱直接写入agency_pattern。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,100,禁止单因子锁定agency_pattern,agency_pattern,日主强弱只能作为自我支持的一个输入。选择自主度还需要印比支持、夫妻星牵引、夫妻宫门槛清晰度以及独立证据共同判断。,单看身强或身弱，不能直接判断你会不会坚持自己、会不会被对方带着走；必须结合你的内部支持和关系信号一起看。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,硬门控。,0.4
M2-SELF-004,自我位置｜最低独立证据门槛,L8 边界与禁用规则,证据门控,通用,门控,至少两类独立SELF证据,,拟锁定主动筛选、双向确认、易受推动或情境化任一模式。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,99,证据不足则仅保留候选；confidence不高于中低,proof_threshold,SELF模式至少需要两类来源独立的证据，例如日主有效状态＋印星支持、比劫支持＋夫妻星相对力量，或夫妻宫G13＋比劫边界信号。单一十神或单一强弱标签不足以锁定模式。,只有当至少两类不同证据指向同一方向时，系统才会较明确地描述你的选择位置；单一信号只保留为提示。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,同一事实的重复映射不算两类独立证据。,0.4
M2-SELF-005,自我支持平衡｜成熟版本定义,L1 自我选择位置,状态基线,通用,基础,有效日主状态＋适度印比支持,,日主状态可用；印比至少一类形成有效支持；支持不过度集中；与夫妻星力量不存在极端失衡。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,平衡,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,88,S01 +10；S05 +8；G13 +6,self_support_basis,M2中的“自我支持平衡”指用户既有内部判断依据，也保留表达和调整空间。它不等于强势，也不等于一定主动。,当你的内部判断和边界支持比较平衡时，你通常更能一边听取关系反馈，一边保留自己的标准，而不是只坚持或只顺从其中一端。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,中高,待验证,,,0.4
M2-SELF-006,自我支持不足｜中性定义,L1 自我选择位置,状态基线,通用,基础,日主有效支持偏低,,日主有效状态偏弱，印比支持不足或无法稳定发挥；且无其他独立边界证据。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,支持不足,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,87,S01 -6；S06 +10；G13 -5,self_support_basis,自我支持不足只表示在关系信号很强时，用户维持原有标准或及时表达条件可能需要更多外部确认。它不等于软弱、依赖或没有判断力。,当关系推进得很快或对方态度很强时，你的判断可能更容易受到现场节奏影响；这不代表你没有标准，而是需要更明确的时间和空间把标准重新放回自己手里。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,中,待验证,,最终是否进入‘易受推动’仍需夫妻星相对力量支持。,0.4
M2-SELF-007,自我支持集中｜中性定义,L1 自我选择位置,状态基线,通用,基础,日主或印比支持高度集中,,自我支持来源强且集中；关系信号相对较弱或门槛内容尚未明确。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,支持集中,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,86,S08 +12；S03 +5；不直接锁定主动筛选,self_support_basis,自我支持集中通常提高自我定义和筛选意识，但不自动等于标准合理、善于协商或关系进入困难。若GATE/CORE不清楚，只能说明选择权较少外包给对方。,你比较倾向先按自己的判断决定是否继续，不容易仅因为对方积极就改变立场。但你具体看重什么，仍要结合关系门槛和现实证据判断。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,中,待验证,,,0.4
M2-SELF-008,自我支持冲突｜转情境化候选,L5 状态修正,状态冲突,通用,门控,自我支持证据方向相反,,日主、印、比劫及夫妻星相对力量给出显著相反信号，且无法通过主次、位置或制化解释。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,冲突未决,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,98,S07 +14；route=情境化候选；confidence -1,selection_clarity,当内部确认、边界执行与外部牵引分别指向不同方向时，不应强行平均成单一模式。先标记标准情境化或证据冲突，并降低置信度。,你在不同对象或不同关系阶段里，可能使用不同的选择方式；当前证据不足以把你固定成一种模式。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,,0.4
M2-SELF-009,同源证据｜不得重复加分,L8 边界与禁用规则,语义去重,通用,门控,同源SELF证据,,两个或更多SELF信号实际来自同一基础事实，且拟重复计分。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,99,同源只计一次；模块增强封顶,deduplication,SELF必须区分独立证据与同源映射。同一比肩既被解释为边界，又被解释为自主时，只能按一项来源计分，再在内部拆分维度，不能制造虚假高置信。,多条解释如果来自同一个命理信号，系统会合并处理，不会因为换了几种说法就把结论写得过度确定。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,建议开发建立evidence_source_id。,0.4
M2-SELF-010,SELF输出职责｜只填自主度与标准清晰度,L7 自然语言输出,输出规范,通用,输出,M2-SELF输出槽位,,M2-SELF完成候选计算。,关键基础状态低置信、真合化后原性质消失，或存在会改变结论的未决冲突。,未定,待M2-CORE合成,待M2-GATE合成,待M2-FLOW合成,任意,任意,任意,未定,原性质有效,任意,96,限制输出槽位,output_scope,M2-SELF主要填充agency_pattern_candidate、selection_clarity、self_support_basis以及必要的边界说明。它不抢占primary_gate或proof_needed。,这一部分只说明你如何持有和执行自己的关系标准；至于你具体需要什么、对方要证明什么，仍由夫妻宫和夫妻星模块回答。,不得由本规则直接推出用户的人格好坏、独立能力、依恋类型、创伤经历、现实沟通能力、同意能力、对象品质、控制关系、相处结果、婚姻吉凶、适配程度、对象数量或进入关系时间。,门控,待验证,,,0.4
