rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-EXPR-001,M3-EXPR正式定义｜关系建立后的表达与沟通,L0 模型边界与证据,EXPR-定义边界,通用,定义,M3-EXPR模块规则,,M3-EXPR模块已被调用；分析对象为关系建立后的日常互动，而非追求期、择偶期或关系结果。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,99,不加分；门控／路由,report_status,M3-EXPR只描述用户如何让在意、感受、需求和观点变得可被对方接收，以及用户如何接收对方的表达。,模型三这一部分关注的不是你会不会爱，而是你通常怎样让对方看见你的在意、听懂你的感受和理解你的需求。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_01,0.3
M3-EXPR-002,M3-EXPR核心问题｜怎样表达而非表达好坏,L0 模型边界与证据,EXPR-定义边界,通用,边界,M3-EXPR模块规则,,需要判断情感表达、情绪表达、需求表达或观点沟通。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,98,不加分；门控／路由,boundary_note,表达方式只有通道、顺序、显隐和稳定度差异，不在本模块内评价成熟、幼稚、正确或错误。,你的表达方式有自己的顺序和习惯；这里先说明“你通常怎样表达”，不把它简单评成好或不好。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_02,0.3
M3-EXPR-003,M3-EXPR标准输入｜共享基础引擎,L0 模型边界与证据,EXPR-定义边界,通用,输入门控,M3-EXPR模块规则,,排盘、十神、日支藏干、透藏、根气、旺弱、喜忌、合化和有效流向已由共享引擎提供。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,97,不加分；门控／路由,report_status,M3-EXPR不重新排盘，不独立裁定旺衰和合化；它只把可靠的基础事实翻译成表达行为。,这部分判断会建立在已经确认的命盘结构上；基础信息有争议时，会保留不确定性而不是硬下结论。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_03,0.3
M3-EXPR-004,M3-EXPR标准输出｜八个表达字段,L0 模型边界与证据,EXPR-定义边界,通用,输出合同,M3-EXPR模块规则,,至少一项有效表达信号成立，且关键基础字段未停止。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,96,不加分；门控／路由,boundary_note,模块输出主表达通道、次表达通道、在意表达、情绪表达、需求表达、沟通方式、表达时序和回应方式。,最终会回答：你更常用什么方式表达在意、什么时候愿意说、需求怎样说出口，以及你更容易怎样回应对方。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,中高,待验证,,provisional=true; rule_group=DEFINITION_04,0.3
M3-EXPR-005,M1边界｜心动偏好不得进入EXPR核心,L0 模型边界与证据,EXPR-定义边界,通用,跨模型边界,M3-EXPR模块规则,,M1心动偏好与M3表达方式同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,95,不加分；门控／路由,boundary_note,被什么特质吸引与进入关系后如何表达是两个字段；M1只能作为比较信息，不能给M3表达通道加基础分。,让你心动的特质，未必就是你表达感情时使用的方式；两者会分开判断。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_05,0.3
M3-EXPR-006,M2边界｜选择标准不等于表达习惯,L0 模型边界与证据,EXPR-定义边界,通用,跨模型边界,M3-EXPR模块规则,,M2关系门槛或资格证据与M3表达信号同时出现。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,94,不加分；门控／路由,boundary_note,用户用什么标准选择伴侣，不自动等于关系建立后用同样方式表达；只有独立M3证据才能形成表达结论。,你选择关系时看重的条件，可能会延续到相处中，也可能只是准入标准；不能直接当成你的表达习惯。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_06,0.3
M3-EXPR-007,M3-CARE边界｜行动表达不等于持续投入,L0 模型边界与证据,EXPR-定义边界,通用,模块边界,M3-EXPR模块规则,,财星、官杀或行动类表达被识别。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,93,不加分；门控／路由,boundary_note,M3-EXPR可以说明用户用行动、安排或承担表达在意，但持续投入的频率、稳定性和交换方式由M3-CARE判断。,你可能会用做事、安排和承担表达在意；至于这种投入是否长期、稳定以及怎样交换，需要在付出模块里继续判断。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_07,0.3
M3-EXPR-008,M3-BOUND边界｜说出边界不等于执行边界,L0 模型边界与证据,EXPR-定义边界,通用,模块边界,M3-EXPR模块规则,,比劫、伤官或正官支持需求和立场表达。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,92,不加分；门控／路由,boundary_note,M3-EXPR只判断用户是否倾向说清条件和立场；能否持续执行、调整距离和保留拒绝权由M3-BOUND判断。,你是否愿意把边界说出来，和你能否长期守住边界不是同一件事；这里先看表达，后续再看执行。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_08,0.3
M3-EXPR-009,M3-CONFLICT边界｜日常沟通不等于分歧应对,L0 模型边界与证据,EXPR-定义边界,通用,模块边界,M3-EXPR模块规则,,已形成日常沟通方式候选。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,91,不加分；门控／路由,boundary_note,平稳状态下会说明、倾听或行动，不等于发生冲突时仍以同样顺序处理；冲突场景由M3-CONFLICT单独判断。,平时好沟通，不代表分歧时一定马上说；平时话少，也不代表冲突时不会直接处理。两种场景会分开分析。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_09,0.3
M3-EXPR-010,M3-REPAIR边界｜沟通通道不等于修复成功,L0 模型边界与证据,EXPR-定义边界,通用,模块边界,M3-EXPR模块规则,,表达通道可为修复模块提供候选。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号。,不限定；由共享基础引擎与M3-STATE修正,不限定；M3-EXPR不以夫妻星为唯一主轴,由M3-BASE、日支结构及共享引擎提供,无／待表达路径规则组合,全局有效信号；日柱及亲密关系近位优先,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于会不会表达；只修正调用顺畅度与强度,原十神性质有效；真合化成立时按化神路由,由共享基础引擎判定,90,不加分；门控／路由,boundary_note,倾听、解释、行动、承诺都只能作为潜在修复工具，不能在EXPR阶段推出关系能够修复或修复有效。,你常用的表达方式可能成为修复关系的工具，但能不能真正恢复联结，需要再看修复路径。,不得由本规则推出人格诊断、感情结果、忠诚度、适配度或关系风险；不得把表达方式等同于爱得多少。,高,待验证,,provisional=true; rule_group=DEFINITION_10,0.3
