类别,归档路径,原始路径,文件名,大小_字节,SHA256,说明
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.1_框架版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.1_框架版.xlsx,M0_八字结构判定与用神规则库_V0.1_框架版.xlsx,366170,8887c706ca0d326ba79729aec7d4b529df0a54b9a718300f8f985c640e35dc25,M0核心规则库历史版本 0.1；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.2_基础规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.2_基础规则版.xlsx,M0_八字结构判定与用神规则库_V0.2_基础规则版.xlsx,389423,508470506611d4f845cbcf9848d39a3af07937a05aeebbe0a0d5475d0b757bf0,M0核心规则库历史版本 0.2；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.3_关系识别规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.3_关系识别规则版.xlsx,M0_八字结构判定与用神规则库_V0.3_关系识别规则版.xlsx,425755,9b22c5ea9c8d724c063fdeaaef58ef6822e86af526173bc20f47688faae07f2e,M0核心规则库历史版本 0.3；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.4_关系效应规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.4_关系效应规则版.xlsx,M0_八字结构判定与用神规则库_V0.4_关系效应规则版.xlsx,467725,ff14b92d14c11fc9ff01393bccf8e34d8d7aff4aec6e2a859220feebdd76fe5c,M0核心规则库历史版本 0.4；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.5_五行原始旺衰规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.5_五行原始旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.5_五行原始旺衰规则版.xlsx,496962,5a17868650fb41483425d6cf25cca683c5fcf5167afd7b129c27d13ad47cfa18,M0核心规则库历史版本 0.5；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.6_五行有效旺衰规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.6_五行有效旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.6_五行有效旺衰规则版.xlsx,518127,4ab3854a0091f839413d99d7eebc606789c03883293443bfd6cf04bce612ef38,M0核心规则库历史版本 0.6；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.7_日主旺衰规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.7_日主旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.7_日主旺衰规则版.xlsx,543583,74709a414a4b045e4fdc53df748520a6495fe8b6e79953d15ffdc3bf2aa080ab,M0核心规则库历史版本 0.7；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.8_十神旺衰功能规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.8_十神旺衰功能规则版.xlsx,M0_八字结构判定与用神规则库_V0.8_十神旺衰功能规则版.xlsx,565148,9dbf8b29489968eb7c17f8d38ebf5d77f7e956e09d5d92cf8d0dccd1ace21210,M0核心规则库历史版本 0.8；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.9_十神组合成立规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V0.9_十神组合成立规则版.xlsx,M0_八字结构判定与用神规则库_V0.9_十神组合成立规则版.xlsx,584583,f59c08375952184694b27425c6d15707576bd8ae9cb114a873b29c3fb54646ba,M0核心规则库历史版本 0.9；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.0_五行流通卡点规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.0_五行流通卡点规则版.xlsx,M0_八字结构判定与用神规则库_V1.0_五行流通卡点规则版.xlsx,601158,859dfb84e4e37f91f0b893d14ea4079a19bf15e48e10c4e30922c5fc687f794c,M0核心规则库历史版本 1.0；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.1_寒暖燥湿规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.1_寒暖燥湿规则版.xlsx,M0_八字结构判定与用神规则库_V1.1_寒暖燥湿规则版.xlsx,614783,3c2d5ff498106d0e949f9590a2321e7ce5656a75383f0ae845e482da664d2c61,M0核心规则库历史版本 1.1；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.2_格局候选判断规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.2_格局候选判断规则版.xlsx,M0_八字结构判定与用神规则库_V1.2_格局候选判断规则版.xlsx,630147,3f9e4030ed3fa2cfd58ff809248e1cd05e3c39eae7154c41ce9e67a1fbfe87e0,M0核心规则库历史版本 1.2；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.3_格局成败救应规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.3_格局成败救应规则版.xlsx,M0_八字结构判定与用神规则库_V1.3_格局成败救应规则版.xlsx,649029,9790c64f3e8ed42a2d27349e3c997e31cc4e4757682d547955dba36b8d482d69,M0核心规则库历史版本 1.3；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.4_病药模型规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.4_病药模型规则版.xlsx,M0_八字结构判定与用神规则库_V1.4_病药模型规则版.xlsx,685073,b7ad8fd0643c6bbc82469fe82ac21b32529d381d386676826784d00401bccee5,M0核心规则库历史版本 1.4；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.5_喜忌用神矩阵规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.5_喜忌用神矩阵规则版.xlsx,M0_八字结构判定与用神规则库_V1.5_喜忌用神矩阵规则版.xlsx,715446,d6601dfd0320eee0e194713cd0c140356e634550b27e1a0d994fcc29321396b1,M0核心规则库历史版本 1.5；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.6_冲突裁决规则版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.6_冲突裁决规则版.xlsx,M0_八字结构判定与用神规则库_V1.6_冲突裁决规则版.xlsx,746532,2c9e4ad0128861207fe64079ef5a2569b38dfa854eceab84cb8ae72f04e9dbc7,M0核心规则库历史版本 1.6；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.7_综合输出模板版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.7_综合输出模板版.xlsx,M0_八字结构判定与用神规则库_V1.7_综合输出模板版.xlsx,765462,e1e93bf569eddb49895836ccf8384bfbe59c9d6781d4cce777909f28352798c3,M0核心规则库历史版本 1.7；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.8_案例测试集版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.8_案例测试集版.xlsx,M0_八字结构判定与用神规则库_V1.8_案例测试集版.xlsx,811718,0303ddc9e80ba9537b3ff921f590a9b7ebdb5f017542f264a3aee7f349983d53,M0核心规则库历史版本 1.8；开发主入口为V1.9。
核心规则库,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,/mnt/data/M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,833466,95b4a6f6b4641f2f2005e9d43dbd4a57f7812968b777b9135c4c3950bfc65e1a,M0核心规则库历史版本 1.9；开发主入口为V1.9。
开发工作台,02_开发工作台/M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,/mnt/data/M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,399456,fc8554e2e8a0a97ef8f37e55e3fe8d39ee49b0ff06aece957d838420e2316889,真实命例分析、五维矩阵、反馈验证与规则回归工作台；适配核心V1.9。
速查手册,03_速查手册/M0_八字结构判定速查手册_V1.0.docx,/mnt/data/M0_八字结构判定速查手册_V1.0.docx,M0_八字结构判定速查手册_V1.0.docx,55489,a0f03da8401e786377a9567dd31abeb89108b4d1d281f61a40af2130f05b5559,八字结构判定速查手册，Word可编辑版。
速查手册,03_速查手册/M0_八字结构判定速查手册_V1.0.pdf,/mnt/data/M0_八字结构判定速查手册_V1.0.pdf,M0_八字结构判定速查手册_V1.0.pdf,641350,3d26fc0a2d7b0bdbd038d24149cb854dd8dee3e873e215a2a075bbc379ff3d2d,八字结构判定速查手册，PDF便携阅读版。
预览与渲染,04_预览与渲染/PDF最终渲染/page-7.png,/mnt/data/user-UqkMbfYV0Mr0cwcERR93NfUl/bba166da16e54e5294f817529d084797/mnt/data/render_pdf_final/page-7.png,page-7.png,266952,2b5efb7b11e6eba3d9ec83302f3b4f188395433beaaf2f351d7034d07483a373,PDF最终页面渲染预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_M19_V1.7.png,/mnt/data/_preview_M19_V1.7.png,_preview_M19_V1.7.png,991364,65fcd4694cd21c4abc05e5dcbbd505f670299f1543a9e604b07e6d8bb709bdae,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_M20_dashboard.png,/mnt/data/_preview_M20_dashboard.png,_preview_M20_dashboard.png,164158,cfc31a62dc7882429b5639bb095c8b85c5c3d5c4126ade366882c493889438c7,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_M20_table.png,/mnt/data/_preview_M20_table.png,_preview_M20_table.png,851041,5c79a30f2c492d7f2a362807cddd0dd78b0dac86eed981d82e7080cc22eb4819,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_realcase_dashboard.png,/mnt/data/_preview_realcase_dashboard.png,_preview_realcase_dashboard.png,313018,329a6361ba948a30c4d0a286ebb7db3d73008487ef850670ffecc1877064519d,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_realcase_master.png,/mnt/data/_preview_realcase_master.png,_preview_realcase_master.png,90712,b240499da9087cb50fbff036ce366c43ce603349a8ad8e8c104c6e365d8c01b3,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/工作簿预览/_preview_realcase_report.png,/mnt/data/_preview_realcase_report.png,_preview_realcase_report.png,195270,59b9314b782a621106b41c315a5d7ca3ec209f4265a1f45cca1f3337b3ffc373,工作簿或报告模板的内部视觉核验预览。
预览与渲染,04_预览与渲染/速查手册渲染/montage.png,/mnt/data/user-UqkMbfYV0Mr0cwcERR93NfUl/bba166da16e54e5294f817529d084797/mnt/data/render_bazi_quick/montage.png,montage.png,932100,6aec0ccd31d7afbd721f39d68ddc8a45ddfa3ae66b41925758fd5832cd7d674f,速查手册页面或拼图渲染预览。
预览与渲染,04_预览与渲染/速查手册渲染/page-1.png,/mnt/data/user-UqkMbfYV0Mr0cwcERR93NfUl/bba166da16e54e5294f817529d084797/mnt/data/render_bazi_quick/page-1.png,page-1.png,202040,18cfc688c809565b2c60aa6948e1ac37b95fd2925af8450006c0a47361591d3e,速查手册页面或拼图渲染预览。
预览与渲染,04_预览与渲染/速查手册渲染/page-2.png,/mnt/data/user-UqkMbfYV0Mr0cwcERR93NfUl/bba166da16e54e5294f817529d084797/mnt/data/render_bazi_quick/page-2.png,page-2.png,164892,89907f284f31d2e9574f29fbb44c96ad664b43e8a8b4a393188d82f22c3531dc,速查手册页面或拼图渲染预览。
预览与渲染,04_预览与渲染/速查手册渲染/page-8.png,/mnt/data/user-UqkMbfYV0Mr0cwcERR93NfUl/bba166da16e54e5294f817529d084797/mnt/data/render_bazi_quick/page-8.png,page-8.png,238646,69ab34a94ec013c18e53dd000c7eb30485bd0c1d823fc1f7046069888e4b9e85,速查手册页面或拼图渲染预览。
