rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-BOUND-001,M3-BOUND正式定义｜亲密距离、依赖与边界,L0 模型边界与证据,BOUND-定义边界,通用,定义,M3-BOUND模块规则,,M3-BOUND被调用；分析对象为关系建立后的靠近、空间、共享、拒绝、暂停、重订与接受照顾。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,99,不加分；门控／路由,report_status,M3-BOUND描述用户怎样在亲密与自主之间安排距离、权限和节奏。,这一部分关注你怎样靠近、保留空间、表达限制，以及怎样在接受支持时仍保留自己的决定权。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_01,0.5
M3-BOUND-002,M3-BOUND核心问题｜权限与节奏而非好坏,L0 模型边界与证据,BOUND-定义边界,通用,边界,M3-BOUND模块规则,,需要判断靠近节奏、个人空间、决定权、分享范围、拒绝、暂停或重新协商。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,98,不加分；门控／路由,boundary_note,边界是关系中的权限、节奏和协商结构，不等于亲密程度的高低。,这里先说明你怎样安排亲密和自主，不把它简单评成亲近或疏远、成熟或有问题。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_02,0.5
M3-BOUND-003,M3-BOUND标准输入｜共享基础引擎,L0 模型边界与证据,BOUND-定义边界,通用,输入门控,M3-BOUND模块规则,,排盘、十神、日支藏干、透藏、根气、旺弱、喜忌、合化、有效流向和source_id已由共享引擎提供。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,97,不加分；门控／路由,report_status,BOUND不重新排盘或独立裁定旺衰合化，只把可靠基础事实翻译为边界行为。,基础状态有争议时，会保留不确定性，而不会为了完整硬写固定的亲密距离。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_03,0.5
M3-BOUND-004,M3-BOUND标准输出｜十四个BOUND字段,L0 模型边界与证据,BOUND-定义边界,通用,输出合同,M3-BOUND模块规则,,至少一项有效BOUND信号成立，且关键基础字段未停止。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,96,不加分；门控／路由,boundary_note,输出主／次边界通道、靠近节奏、空间需求、自主模式、分享方式、需求表达、拒绝、暂停回归、重订、接受照顾、资源角色、状态切换与置信度。,最终会回答：你怎样靠近、怎样保留空间、哪些事情要共同决定，以及不舒服时怎样暂停和重新商量。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,中高,待验证,,provisional=true; rule_group=DEFINITION_04,0.5
M3-BOUND-005,M1边界｜心动偏好不等于亲密距离,L0 模型边界与证据,BOUND-定义边界,通用,跨模型边界,M3-BOUND模块规则,,M1心动偏好与M3-BOUND信号同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,95,不加分；门控／路由,boundary_note,被某类特质吸引，不代表进入关系后愿意采用同样的距离和权限安排。,让你心动的特质，和你真正相处时需要多少空间、怎样协商边界，会分开判断。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_05,0.5
M3-BOUND-006,M2边界｜准入条件不等于长期边界,L0 模型边界与证据,BOUND-定义边界,通用,跨模型边界,M3-BOUND模块规则,,M2关系门槛或资格证据与M3-BOUND信号同时出现。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,94,不加分；门控／路由,boundary_note,选择一个人时看重的承诺、行动或投入，只有在M3中有独立证据时，才能写成长期边界安排。,你选择关系时在意的条件，可能延续为相处规则，也可能只是一道进入门槛。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_06,0.5
M3-BOUND-007,M3-BASE接口｜底盘说明主题，BOUND说明权限,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-BASE,,M3-BASE与M3-BOUND读取同一日支或同一有效十神。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,93,不加分；门控／路由,provenance,BASE回答关系自然围绕什么主题运行；BOUND回答谁能决定什么、怎样靠近和怎样暂停。,同一个关系底盘可以在BOUND中细化为距离和权限，但基础证据只计算一次。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_07,0.5
M3-BOUND-008,M3-EXPR接口｜说出边界不等于执行边界,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-EXPR,,表达通道与边界通道同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,92,不加分；门控／路由,boundary_note,EXPR负责怎样说；BOUND负责限制怎样成立、怎样被调整和怎样回到关系。,你能清楚表达不等于每次都能执行；反过来，行动上会暂停也不等于一定会长篇说明。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_08,0.5
M3-BOUND-009,M3-CARE接口｜接受照顾不等于失去自主,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-CARE,,支持接受方式与自主、分享或空间信号同时可见。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,91,不加分；门控／路由,support_acceptance_boundary,CARE负责怎样给予和接收支持；BOUND负责接受支持时保留哪些权限和参与感。,愿意被照顾，可以和保留决定权同时存在，两者不是相反选项。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_09,0.5
M3-BOUND-010,M3-CONFLICT接口｜设限不等于冲突方式,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-CONFLICT,,拒绝、暂停或决断边界信号出现。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,90,不加分；门控／路由,boundary_note,BOUND只说明限制怎样被提出；发生分歧时谁先说、怎样回应和是否升级，交给CONFLICT。,你可能边界清楚，但分歧处理方式仍需另行判断。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_10,0.5
