字段族,主权威,定义,冲突处理
request_context,SYS.API,请求模式、语言、调用版本和隐私状态,所有模块只读
birth_data,SYS.INPUT,出生日期、时刻、时区、历法、地点与资料质量,未通过核验时M0下游停止或降级
chart_mapping,M0.M02,四柱、干支、五行、藏干和十神基础映射,上层模型不得重算
season_root,M0.M03,月令、得令、通根和根气等级,上层root_status只能引用或转译
stem_relations,M0.M04,天干关系是否成立,不直接推出力量或喜忌
branch_relations,M0.M05,地支刑冲合会害破及完整度,不直接推出减力或结果
relation_effects,M0.M06,逐对象关系实际效应,上层只能消费，不得固定比例重算
element_raw_strength,M0.M07,五行原始旺衰,与有效旺衰分开
element_effective_strength,M0.M08,经关系、克泄耗、寒燥和流通修正后的有效力量,M1-M5 strength字段以此为基准
day_master_strength,M0.M09,日主七级旺衰、正反证据和置信度,不得由上层分数覆盖
ten_god_function,M0.M10,十神存在、力量、清纯度和功能状态,十神旺弱不等于喜忌或人格
ten_god_combinations,M0.M11,组合成立、破坏、救应和等级,上层可引用功能，不得跳过条件
flow_path,M0.M12,五行／十神流通、桥梁、卡点和通关候选,上层flow_path只读
climate_balance,M0.M13,温度、湿度、调候候选和紧急度,不能被普通扶抑无条件覆盖
pattern_candidates,M0.M14,多格局候选与排除理由,候选不等于成格
pattern_result,M0.M15,格局成败、清纯度、层次和救应,严格成立才具硬约束资格
disease_medicine,M0.M16,根本病、次病、主药、辅助药和副作用,结构比喻，不是医学诊断
favorable_matrix,M0.M17,扶抑、格局、通关、调候、病药五维用神矩阵,不能简化成颜色、职业或对象五行
m0_conflict_resolution,M0.M18,跨模块硬约束、根本病、主路径和净收益裁决,M1-M5不得绕过
m0_report_contract,M0.M19,45项M0输出字段、空值和冲突处理,所有上层模型通过接口读取
attraction_profile,M1.CORE,心动特质、触发行为与偏好风格,不负责关系准入或长期适配
selection_gate,M2.GATE/M2.CORE,进入关系前的门槛、证据和夫妻星准入,通过准入不等于长期适配
selection_agency,M2.SELF,命主的选择位置与主动／被动结构,不替用户作决定
confirmation_path,M2.FLOW/M2.DUAL/M2.TEMPO,确认路径、双重门槛与进入节奏,M2节奏仅指进入关系前
selection_synthesis,M2.SYNTH,关系选择总结果、证据与边界,为M3-M5提供上游结果
interaction_base,M3.BASE,进入关系后的自然运行底盘,M3当前尚无完整总合成
expression_care_bound_conflict,M3.EXPR/CARE/BOUND/CONFLICT,表达、付出、距离边界与第一冲突响应,个人惯性不等于双人现实结构
blind_spot_risk,M4.SYNTH,误读、过用、触发、循环、修复卡点和保护,结构风险不等于现实伤害已发生
fit_need,M5.BASE,长期适配核心需要与PR优先级,与M1心动、M2准入分开
partner_function,M5.PARTNER,具体对象可观察功能和PV证据,理想画像不自动套到具体对象
exchange_structure,M5.EXCHANGE,双方交换、负荷和回流,个人能力不等于双向交换
boundary_governance,M5.BOUND,同意、决定权、资源、隐私和空间,安全与选择权优先
repair_protocol,M5.REPAIR,责任、补救、反馈、持续兑现与重新开放,一次和好不等于稳定修复
relationship_rhythm,M5.RHYTHM,关系内推进、联系、负荷、压力和恢复节奏,与M2进入前节奏分开
cross_model_gap,M5.GAP,心动、准入、相处、盲点和适配差异,差异可桥接不等于必须牺牲
reality_gates,M5.SYNTH＋现实资料,RG01—RG08现实门槛,安全和核心现实方向拥有否决权
final_fit_state,M5.SYNTH,AF01—AF09当前适配状态,不是命定结果
fit_grade,M5.SYNTH,FG0—FG4发布上限,不是成功概率
evidence_and_confidence,SYS.EVIDENCE＋各模块,PV/XV/BV/FV/HV/GE及字段级置信,各证据体系不得互相替代
provenance,SYS.TRACE,rule_id、source_id、event_id、去重、冲突和放弃日志,所有发布结论必须可追溯
dynamic_timing,D0（未建设）,大运、流年、具体事件时点和动态重算,M0-M5不得擅自输出具体日期
