rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-RHYTHM-001,M5-RHYTHM正式定义｜推进节奏、生活协同与关系气候,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,定义,M5-RHYTHM模块规则,,M5-BASE、PARTNER、EXCHANGE、BOUND与REPAIR至少形成主需要或现实候选。,PR0安全门控未通过、具体关系资料完全缺失或基础状态争议。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,report_status,本模块把推进、联系、共同时间、个人时间、生活负荷、亲密、压力与恢复组织成可持续的关系节奏。,这一部分不只看快或慢，而是看双方能否让推进、联系和现实生活长期协调。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-002,M2-TEMPO与M5-RHYTHM严格分工,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,同时使用M2-TEMPO和M5-RHYTHM。,把关系进入前的确认速度直接当成长期相处节奏。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,m2_tempo_interface,M2-TEMPO回答进入关系需要怎样的证据过程；M5-RHYTHM回答进入认真阶段以后怎样持续协调。,你多快确认一个人，和关系建立后怎样安排日常，是两件不同的事。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-003,节奏快慢不直接等于质量,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,分析推进、联系、同居或承诺速度。,把快写成冲动、把慢写成冷淡或成熟。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,rhythm_quality_boundary,质量取决于同意、可预测性、承载、责任与调整，而非单一速度。,快慢本身不是好坏，关键是双方是否同意并承受得住。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-004,高频联系不等于高亲密,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,消息、电话、见面或共同活动频繁。,由频率直接推出承诺、信任和适配。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,100,不加分；定义／门控,contact_rhythm,高频需要继续检查可预测性、负荷、边界与长期持续。,联系很多可以带来亲密感，但不能替代承诺和现实承担。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-005,低频联系不等于不爱或不投入,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,联系、见面或亲密频率较低。,未检查最低连接、透明、计划和现实投入。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,contact_rhythm,低频可在承诺清楚、回应稳定、计划透明时形成成熟节奏。,低频也可以稳定，关键是方向、回应和计划是否清楚。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-006,共同时间不等于亲密质量,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,相处时长、同居或共同活动很多。,把时间量直接当成连接、理解和适配。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,shared_personal_time,共同时间需与互动质量、个人恢复、责任和边界共同判断。,在一起很久不代表连接一定好，也不能取消个人恢复时间。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-007,节奏必须建立在双方同意上,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,安全,M5-RHYTHM模块规则,,涉及推进、联系、亲密、同居、婚育或共同生活安排。,一方催促、施压、监控、惩罚降频或利用关系身份强迫同步。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,rhythm_consent,任何加速、降频、靠近和亲密安排都需双方可拒绝、可调整。,关系节奏必须是双方同意的，不是由更积极或更强势的一方决定。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-008,生活容量高于理想频率,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,双方有工作、金钱、健康、家庭或照护负荷。,用理想联系和见面频率压过现实承载。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,life_load_capacity,成熟节奏需与实际时间、精力、资源和恢复能力匹配。,真正能持续的节奏，必须符合双方现实生活容量。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-009,阶段性节奏不等于永久模式,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,项目、考试、疾病、家庭事件、异地或冲突阶段节奏变化。,用临时状态概括人格与长期关系。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,99,不加分；定义／门控,phase_profile,区分临时规则、结束条件、恢复路径与常态。,压力期的安排需要单独看，不能直接概括整段关系。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
M5-RHYTHM-010,恢复节奏与日常节奏分开,L0 定义、边界与证据合同,RHYTHM-定义边界,通用,边界,M5-RHYTHM模块规则,,压力、冲突或距离事件已经结束。,要求立即恢复原联系、亲密和共同时间。,由共享基础引擎、M2-TEMPO与M3功能模块提供；只修正用户能够承载怎样的推进、联系、共同时间、负荷与恢复节奏，不直接判断现实关系一定同步。,M2说明进入关系前的确认节奏；M5-RHYTHM只处理关系进入认真阶段以后，双方怎样持续协调推进与生活节奏。,M3-BASE、EXPR、CARE、BOUND、CONFLICT提供日常相处和状态通道；M5-RHYTHM负责把双方时间、负荷、联系、空间与恢复合成为长期节奏结构。,无／按本规则指定的提议—观察—同意—执行—反馈—调整—恢复路径路由。,近位、远位只修正某项节奏需求进入亲密关系核心的可能；不得据此判断具体对象现实中一定快、慢、黏、疏或稳定。,根气只修正节奏需求是否稳定重复，不等于双方现实节奏已成熟协调。,旺弱只修正某项推进、联系、共享、变化或恢复通道的调用强度，不直接等于适配质量。,喜忌只修正节奏调用顺畅度与摩擦，不可直接翻译为某种五行、十神或对象类型必然适合。,真合化成立时按化神功能重算节奏需要；合化争议时停止细化节奏画像。,近位提高该节奏议题进入关系核心的可能；远位只保留背景或阶段性观察。,98,不加分；定义／门控,recovery_rhythm,恢复应分阶段，分别处理联系、合作、亲密、信任与共同计划。,问题结束不代表所有节奏会立刻恢复。,不得仅凭本规则推出具体日期、交往时长、多久结婚、联系次数、见面频率或关系结果；不得把快等同冲动、慢等同冷淡、高频等同亲密、低频等同不爱。现实安全、双方同意、持续行为、生活条件、反例与协商优先。,高,待验证,,provisional=true; rule_group=RHYTHM-定义边界; M3_STATE_pending=true,0.7
