Field_ID,json_key,输出章节,章节顺序,字段名称,字段定义,来源模块,来源字段/Rule_ID,必填性,输出层级,数据类型,推荐格式,空值处理,冲突处理
M19-META-0001-V1.0,input_validation,报告信息,1,输入完整度与交节核验,记录出生日期、时刻、时区、历法转换、节气交界及四柱输入是否足以支撑后续判断。,M02/M03,四柱输入；日主；月令节气边界；出生时区；资料缺失项,内部字段,内部推理,布尔/条件,核验项｜结果｜缺失/风险｜是否可继续,任一关键出生资料缺失时，不得输出确定月令、日主旺衰、格局和喜忌；只输出待核查范围。,历法或交节结果冲突时停止下游结论，回到M02/M03核验，不用M18强行裁决。
M19-META-0002-V1.0,scope_boundary,报告信息,1,分析适用范围与模型边界,说明本报告只处理原局静态结构，并界定不包含岁运、具体事件、医学诊断和生活化补救。,M00/M16/M17/M18,M16-BOUND；M17-BOUND；M18-BOUND,必填,三层通用,长文本,3—5条边界说明,不得省略；所有用户版报告必须保留至少一句范围说明。,若用户问题超出M0边界，保留M0结论并标记需转上层模型或动态模型。
M19-META-0003-V1.0,overall_confidence,报告信息,1,总体置信度与待核查项,汇总M02—M18的低置信度、待定、流派争议和输入风险，给出总体置信等级。,M02-M18,各模块置信等级；待验证规则；M18-GEN-0008-V1.0；M18-BOUND-0080-V1.0,必填,三层通用,枚举,置信等级＋待核查项＋影响范围,无争议也要写“未发现重大待核查项”，不得留空。,正反证据接近时按M18-GEN-0008-V1.0并列保留，不强行提高置信度。
M19-BASE-0004-V1.0,day_master_and_season,基础结构,2,日主与月令,输出日主天干、阴阳五行、出生月令及月令的季节基础倾向。,M02/M03/M09,日主；月支；节气边界；月令五行；季令状态,必填,三层通用,短文本,日主｜月令｜季节倾向,日主或月令未核准时停止旺衰、格局和喜忌输出。,月令边界冲突回M03复核；不得用公历月份或农历月名替代节气月令。
M19-BASE-0005-V1.0,pillar_element_ten_god_map,基础结构,2,四柱五行与十神映射,逐柱记录天干、地支、藏干、阴阳五行及相对日主的十神映射。,M02/M10,十干十二支映射；藏干层级；十神映射,内部字段,内部推理,多值标签,年/月/日/时逐柱映射表,藏干和十神映射不完整时，不得进入M10组合、格局和喜忌判断。,映射冲突回M02，不在M19修改基础事实。
M19-BASE-0006-V1.0,roots_and_exposure,基础结构,2,主要根气与透干,汇总日主及关键五行/格神的根气位置、层级、透干和有效性。,M03/M07/M08,原始根型；有效根等级；透干状态；生源；根气修正,必填,分析师输出,长文本,对象｜根位｜根型｜透干｜有效性｜修正原因,无根时明确写“无有效根”，不得用空白代替；有根但受限也需保留原始根事实。,合冲刑害对根气的争议回M06/M08；禁止见冲即写拔根。
M19-BASE-0007-V1.0,natal_structure_summary,基础结构,2,原局结构总览,用3—5条概括原局的主势、核心关系、主要功能轴和最显著矛盾。,M02-M08/M10-M13,五行有效力量；主要关系效应；主流通路径；气候基准,必填,三层通用,长文本,3—5条编号摘要,必须输出；证据不足时写“结构主线暂定为…，受…影响需保留条件”。,多个主势竞争时按M18-GEN-0001-V1.0、M18-GEN-0004-V1.0、M18-GEN-0006-V1.0排序并去重。
M19-REL-0008-V1.0,identified_relations,干支关系,3,已成立关系清单,列出原局天干地支中客观成立的合、冲、刑、害、破、三合、三会等关系及参与柱位。,M04/M05,关系类型；参与干支；柱位；完整度；重叠关系,必填,分析师输出,多值标签,关系｜参与对象｜柱位｜完整度,无明显关系时写“未见需要重点处理的干支关系”，不得空白。,同一对象多重关系全部保留，不用一个关系覆盖另一个关系。
M19-REL-0009-V1.0,relation_effects,干支关系,3,关系实际效应,将已成立关系转化为逐对象的合动、合绊、冲动、冲弱、冲散、刑动、改性及流通影响。,M06/M08/M12,效应类型；作用对象；强度；根气/透达/流通影响,必填,三层通用,长文本,对象｜实际效应｜强度｜结构后果,关系存在但效应不足时写“作用有限/仅形成结构象”，不得强行赋予减力。,多重效应共享同一节点时按M18-GEN-0006-V1.0去重，并保留主效应和次效应。
M19-REL-0010-V1.0,pending_or_rejected_relations,干支关系,3,未成立与待定关系,记录看似存在但未达到合化、成局、冲散、开库等严格条件的候选及否决原因。,M04/M05/M06,候选关系；必要条件；否决条件；待验证项,条件必填,内部推理,长文本,候选｜缺失条件｜否决/待定原因,无候选时写“无”；不得把未成立关系从记录中删除。,证据接近时按M18-GEN-0008-V1.0标待定，并转M20边界案例。
M19-ELEM-0011-V1.0,element_effective_strength_matrix,五行有效旺衰,4,五行有效旺衰矩阵,分别输出木火土金水经月令、根气、透干、生源、合冲刑害、寒燥和流通修正后的有效旺衰。,M08,五行有效旺衰；有效根气；透达；主要生源；主要制约；功能可用性,必填,分析师输出,多值标签,五行｜有效等级｜主要支持｜主要制约｜功能状态,五个五行必须全部输出；不现者写“极弱/原局不现”，并说明是否构成卡点。,同一证据在月令、根气、成势等维度重复时按M18-GEN-0006-V1.0去重。
M19-ELEM-0012-V1.0,element_strength_ranking,五行有效旺衰,4,五行旺衰排序与主导气势,给出五行有效力量的相对排序，并判断是否成势、聚势或存在两强对战。,M08/M12,七级旺衰；成势候选；主导方向；两强相战,必填,三层通用,短文本,排序＋主导气势＋特殊说明,力量接近时写“并列/接近”，不得强行排出唯一顺序。,排序证据接近时按M18-GEN-0008-V1.0并列保留并降低置信度。
M19-ELEM-0013-V1.0,strength_adjustment_reasons,五行有效旺衰,4,关键力量修正原因,说明五行从原始旺衰到有效旺衰发生变化的关键原因。,M06/M07/M08,原始旺衰；合冲刑害效应；根气修正；生克泄耗；寒凝燥枯,条件必填,内部推理,长文本,五行｜原始等级→有效等级｜修正原因,无明显修正时写“原始与有效等级一致”，不得留空。,关系名称不能直接等同固定扣分；按M18-GEN-0006-V1.0与M06逐对象效应处理。
M19-DM-0014-V1.0,day_master_strength,日主状态,5,日主旺衰等级,输出M09综合裁定的七级日主旺衰结论。,M09,旺衰候选；最终等级；M09七级分级；置信等级,必填,三层通用,枚举,极弱/弱/中和偏弱/中和/中和偏旺/旺/极旺,缺M09最终结论时禁止输出格局病药和喜忌；写“待完成日主旺衰裁定”。,相邻等级证据接近时按M18-GEN-0008-V1.0保留边界状态并降低置信度。
M19-DM-0015-V1.0,support_side_evidence,日主状态,5,扶身侧核心证据,汇总日主得令、得地、得势、得生和有效印比等主要正向证据。,M03/M08/M09,得令；得地；得势；得生；有效印比；根气状态,必填,分析师输出,多值标签,3—5条独立强证据,无明显扶身证据时写“扶身侧缺少有效强证据”，不得空白。,同源月令、根气、透干证据按M18-GEN-0006-V1.0去重。
M19-DM-0016-V1.0,load_side_evidence,日主状态,5,负荷侧核心证据,汇总官杀制身、食伤泄身、财星耗身及根损等主要负向证据。,M08/M09/M10,受制；受泄；受耗；根气受损；负荷集团,必填,分析师输出,多值标签,3—5条独立强证据,无明显负荷时写“未见持续有效的制泄耗压力”。,名义官杀、食伤、财星若功能失效不得计入；冲突按M18-GEN-0005-V1.0裁定。
M19-DM-0017-V1.0,adjacent_grade_exclusion,日主状态,5,相邻等级排除与结论置信度,说明为什么未判为相邻的更旺或更弱等级，并记录反向证据和置信度。,M09/M18,相邻等级否决；反向证据；M18-GEN-0008-V1.0,必填,三层通用,长文本,主结论＋为何非上一级＋为何非下一级＋置信度,必须输出至少一个相邻等级排除理由；证据不足时标“中等/低”。,正反接近时按M18-GEN-0008-V1.0，不凭感觉强行唯一化。
M19-TEN-0018-V1.0,ten_god_status_matrix,十神功能,6,十神状态总表,按比劫、印星、食伤、财星、官杀分组输出存在方式、有效力量、清纯度和功能状态。,M10,存在方式；有效力量；清纯程度；生源；制约；功能状态；格局接口,必填,分析师输出,多值标签,十神组｜存在｜力量｜清纯｜功能｜主要制约,五组必须全部记录；完全不现写“不现”，不能删除。,十神力量与喜忌分离；同一节点多功能按M18-GEN-0006-V1.0去重。
