source_group,model,relative_path,filename,extension,category,status,runtime_load,size_bytes,sha256,notes
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.1_框架版.xlsx,M0_八字结构判定与用神规则库_V0.1_框架版.xlsx,.xlsx,M0历史版本,historical,否,366170,8887c706ca0d326ba79729aec7d4b529df0a54b9a718300f8f985c640e35dc25,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.2_基础规则版.xlsx,M0_八字结构判定与用神规则库_V0.2_基础规则版.xlsx,.xlsx,M0历史版本,historical,否,389423,508470506611d4f845cbcf9848d39a3af07937a05aeebbe0a0d5475d0b757bf0,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.3_关系识别规则版.xlsx,M0_八字结构判定与用神规则库_V0.3_关系识别规则版.xlsx,.xlsx,M0历史版本,historical,否,425755,9b22c5ea9c8d724c063fdeaaef58ef6822e86af526173bc20f47688faae07f2e,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.4_关系效应规则版.xlsx,M0_八字结构判定与用神规则库_V0.4_关系效应规则版.xlsx,.xlsx,M0历史版本,historical,否,467725,ff14b92d14c11fc9ff01393bccf8e34d8d7aff4aec6e2a859220feebdd76fe5c,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.5_五行原始旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.5_五行原始旺衰规则版.xlsx,.xlsx,M0历史版本,historical,否,496962,5a17868650fb41483425d6cf25cca683c5fcf5167afd7b129c27d13ad47cfa18,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.6_五行有效旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.6_五行有效旺衰规则版.xlsx,.xlsx,M0历史版本,historical,否,518127,4ab3854a0091f839413d99d7eebc606789c03883293443bfd6cf04bce612ef38,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.7_日主旺衰规则版.xlsx,M0_八字结构判定与用神规则库_V0.7_日主旺衰规则版.xlsx,.xlsx,M0历史版本,historical,否,543583,74709a414a4b045e4fdc53df748520a6495fe8b6e79953d15ffdc3bf2aa080ab,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.8_十神旺衰功能规则版.xlsx,M0_八字结构判定与用神规则库_V0.8_十神旺衰功能规则版.xlsx,.xlsx,M0历史版本,historical,否,565148,9dbf8b29489968eb7c17f8d38ebf5d77f7e956e09d5d92cf8d0dccd1ace21210,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V0.9_十神组合成立规则版.xlsx,M0_八字结构判定与用神规则库_V0.9_十神组合成立规则版.xlsx,.xlsx,M0历史版本,historical,否,584583,f59c08375952184694b27425c6d15707576bd8ae9cb114a873b29c3fb54646ba,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.0_五行流通卡点规则版.xlsx,M0_八字结构判定与用神规则库_V1.0_五行流通卡点规则版.xlsx,.xlsx,M0历史版本,historical,否,601158,859dfb84e4e37f91f0b893d14ea4079a19bf15e48e10c4e30922c5fc687f794c,
