rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-GAP-001,M5-GAP正式定义｜五模型关系差异整合,L0 定义、边界与证据合同,GAP-定义边界,通用,定义,M5-GAP模块规则,,M1—M5至少两个层级有可用结果；准备比较心动、准入、相处、盲点与长期适配。,PR0安全门控未通过、上游关键结果全部停止或基础状态争议。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,100,不加分；定义／门控,report_status,本模块识别不同关系层级之间的一致、部分一致、差异、可桥接与停止条件，不重新替代各模型判断。,这一部分回答：让我心动、让我选择、我会怎样相处和真正适合长期的人，是否是同一套条件。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-002,五个模型必须保留各自职责,L0 定义、边界与证据合同,GAP-定义边界,通用,边界,M5-GAP模块规则,,进行跨模型比较。,把M1、M2、M3、M4、M5合并成一个模糊的理想伴侣画像。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,100,不加分；定义／门控,layer_authority,M1负责心动，M2负责准入，M3负责相处惯性，M4负责失衡风险，M5负责长期适配。,不同模型回答不同问题，不能用其中一层代替全部。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-003,差异不等于冲突,L0 定义、边界与证据合同,GAP-定义边界,通用,边界,M5-GAP模块规则,,两个层级输出不完全相同。,未区分核心目标、风格、阶段、顺序和证据等级。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,100,不加分；定义／门控,gap_state,先判断是目标差异、实现方式不同、阶段差异还是证据尚浅。,不同不一定矛盾，很多差异只是实现方式或阶段不同。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-004,一致不等于具体对象适配,L0 定义、边界与证据合同,GAP-定义边界,通用,边界,M5-GAP模块规则,,M1—M5结构方向高度一致。,没有现实对象行为和生活门槛却发布FG3／FG4。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,100,不加分；定义／门控,fit_grade,结构一致只提高解释清晰度，不能替代PV、XV、BV、FV、HV和RG。,你的偏好和长期需要一致，不代表眼前这个人自动适合。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-005,具体对象符合部分画像不等于正缘,L0 定义、边界与证据合同,GAP-定义边界,通用,边界,M5-GAP模块规则,,对象命中某项十神、特质、行为或合盘结构。,据此写命中注定、正缘或必须继续。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,99,不加分；定义／门控,current_partner_gap,部分符合只构成现实观察候选，仍需安全、持续、压力和修复验证。,像你的理想型或命中某项结构，只说明值得观察。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-006,现实安全优先于差异合成,L0 定义、边界与证据合同,GAP-定义边界,通用,安全,M5-GAP模块规则,,存在暴力、威胁、强迫、跟踪、经济控制、身体／性越界或难以退出。,继续讨论互补、心动、准入、相处磨合或修复。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,99,不加分；定义／门控,safety_status,直接进入GS08／GE0，优先现实安全、选择权和外部支持。,有现实伤害时，不使用普通适配差异框架。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-007,M1只提供心动入口,L0 定义、边界与证据合同,GAP-定义边界,通用,接口,M5-GAP模块规则,,M1结果可用。,用M1主画像判断长期伴侣能力与关系结果。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,99,不加分；定义／门控,attraction_fit_relation,M1说明什么更容易触发好感，不说明谁能长期经营关系。,心动说明你会被什么打动，不说明对方长期会怎么做。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-008,M2只提供关系准入,L0 定义、边界与证据合同,GAP-定义边界,通用,接口,M5-GAP模块规则,,M2结果可用。,用M2门槛或准入证据判断长期适配完成。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,99,不加分；定义／门控,selection_fit_relation,M2说明为什么接受一个人进入关系，不说明进入后所有能力已验证。,能让你愿意开始，是长期观察的起点。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-009,M3只提供个人相处惯性,L0 定义、边界与证据合同,GAP-定义边界,通用,接口,M5-GAP模块规则,,M3结果可用。,用用户个人习惯直接判断双方结构和适配等级。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,99,不加分；定义／门控,interaction_fit_relation,M3说明用户怎样表达、照顾、设边界和处理冲突；M5需要加入对方与双方结构。,你怎样相处很重要，但适配还要看对方怎样回应。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
M5-GAP-010,M4只提供失衡风险与保护候选,L0 定义、边界与证据合同,GAP-定义边界,通用,接口,M5-GAP模块规则,,M4结果可用。,用风险标签定义人格、结局或具体伴侣。,由共享基础引擎及M1—M5上游模块提供；只修正不同关系层级的显著度与承载方式，不直接判断某个具体对象必然适配或不适配。,M1与M2提供心动原型、准入门槛和证据过程；M5-GAP只比较其与长期适配结构的异同，不重新判定夫妻星。,M3提供关系建立后的自然相处底盘与功能惯性；M5-GAP比较其与长期适配、保护和现实对象证据的关系。,无／按本规则指定的层级对照—差异识别—现实验证—桥接—降级或停止路径路由。,近位、远位只修正某层信号进入亲密关系核心的可能；不得据此断言心动、选择或适配必然一致。,根气只修正某项偏好、门槛、惯性或需要是否稳定重复，不等于具体对象现实中已经满足。,旺弱只修正信号强度、显著度和抢位风险，不直接等于长期适配质量。,喜忌只修正功能承载与摩擦，不可直接翻译为理想伴侣五行、十神、生肖或出生信息。,真合化成立时按化神功能重算相关层级；合化争议时停止精细差异比较。,近位提高该层信息进入关系核心的可能；远位只保留背景、阶段或情境性比较。,98,不加分；定义／门控,blindspot_fit_relation,M4说明哪里容易失衡、触发、循环和修复断链；M5负责长期结构。,盲点提醒需要什么保护，不是给关系判死刑。,不得仅凭本规则推出某人是正缘、命中注定不适合、应该分手、应该复合或必须选择某类对象；不得把心动低等同不适配，把心动高等同适配，把差异写成不可改变的命运矛盾。现实安全、持续行为、双方意愿、反例与生活条件优先。,高,待验证,,provisional=true; rule_group=GAP-定义边界,0.8
