rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-PARTNER-001,M5-PARTNER正式定义｜伴侣功能画像与可观察行为,L0 定义、边界与证据合同,PARTNER-定义边界,通用,定义,M5-PARTNER模块规则,,M5-BASE已形成PR与FN候选。,M5-BASE停止、PR0安全门控未通过或关键基础状态未定。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,100,不加分；定义／门控,report_status,把适配需求翻译成具体场景中的伴侣行为、成熟表达、失衡表达与观察计划。,这一部分不猜“对方是什么人”，而是列出真正需要观察的行为。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-002,伴侣画像必须行为化｜禁止只用人格形容词,L0 定义、边界与证据合同,PARTNER-定义边界,通用,边界,M5-PARTNER模块规则,,准备输出伴侣画像。,只写成熟、温柔、强大、聪明、稳定等抽象词。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,100,不加分；定义／门控,required_partner_behaviors,每项功能必须写明情境、行为、持续性和反馈方式。,判断适配要看对方在关键场景中怎样做。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-003,具体对象现实行为高于命理画像,L0 定义、边界与证据合同,PARTNER-定义边界,通用,证据,M5-PARTNER模块规则,,存在具体对象或关系。,用用户八字、夫妻星或喜用神替代对象行为资料。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,100,不加分；定义／门控,partner_evidence_level,用户命盘只能生成观察任务，不能证明现实对象已经具备能力。,命盘告诉你该看什么，现实行为才告诉你这个人有没有做到。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-004,不使用伴侣命盘代替现实能力,L0 定义、边界与证据合同,PARTNER-定义边界,通用,边界,M5-PARTNER模块规则,,未来加入对象命盘或合盘资料。,仅凭对方十神、格局或五行判断成熟度。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,99,不加分；定义／门控,boundary_note,对方命盘最多生成其功能候选，仍需PV现实证据。,即使看了对方命盘，也要回到真实相处行为。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-005,PR0安全底线优先,L0 定义、边界与证据合同,PARTNER-定义边界,通用,安全,M5-PARTNER模块规则,,分析具体对象。,存在暴力、威胁、强迫、跟踪、经济控制、反复越界或剥夺选择权。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,99,不加分；定义／门控,universal_floor,安全不通过时停止普通适配与互补叙事。,任何所谓互补、保护或命理相合，都不能覆盖安全和同意。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-006,M1心动只作为观察偏差提醒,L0 定义、边界与证据合同,PARTNER-定义边界,通用,接口,M5-PARTNER模块规则,,M1结果可用。,用心动强度提高伴侣功能分。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,99,不加分；定义／门控,attraction_fit_relation,M1只提示哪些外显信号可能被高估。,越让你心动的特质，越需要分开验证它的长期能力。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-007,M2准入只作为起点,L0 定义、边界与证据合同,PARTNER-定义边界,通用,接口,M5-PARTNER模块规则,,M2结果可用。,把一次表态、投入、行动或互动扩大为完整伴侣能力。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,99,不加分；定义／门控,selection_fit_relation,M2证明进入关系门槛，M5-PARTNER继续验证长期功能。,能进入关系不等于能长期经营。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-008,M3正常功能决定需要被接住什么,L0 定义、边界与证据合同,PARTNER-定义边界,通用,接口,M5-PARTNER模块规则,,M3至少一项正常功能可靠。,只根据M4风险找完全相反的人。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,98,不加分；定义／门控,primary_partner_function,伴侣画像先尊重用户正常相处方式，再补足转换与边界。,合适的人会接住你的正常能力，而不是把它完全压掉。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-009,M4风险决定需要验证什么,L0 定义、边界与证据合同,PARTNER-定义边界,通用,接口,M5-PARTNER模块规则,,M4主机制、循环、修复或保护结果可用。,直接用负面标签描述伴侣要求。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,98,不加分；定义／门控,observation_plan,把K、LP、RN、BF转换成具体观察场景。,不是找“不会犯错的人”，而是看对方能否在关键环节做对。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
M5-PARTNER-010,FN功能不是十神型人格,L0 定义、边界与证据合同,PARTNER-定义边界,通用,边界,M5-PARTNER模块规则,,使用FN01—FN10。,输出“适合正官型、七杀型、印旺型伴侣”。,由共享基础引擎与M5-BASE提供；只修正用户需要何种伴侣功能，不直接推断现实对象成熟度。,由M2提供；夫妻星与准入证据只说明谁容易进入关系，不能替代伴侣长期能力验证。,由M3-BASE提供；日支只帮助确定用户亲密关系中的功能需求，不直接描述具体伴侣人格。,无／按本规则指定的伴侣行为、场景或匹配模式路由。,近位、远位只修正用户对某项功能的优先级；不得据此断定现实伴侣一定具备。,根气只修正用户功能需求是否稳定重复，不等于具体对象已经稳定做到。,旺弱只修正需求强度、风险敏感度或匹配模式，不直接等于伴侣能力质量。,喜忌只修正用户对功能的承载与摩擦，不可直接翻译为理想伴侣五行、十神或人格。,真合化成立时按化神功能重算用户需求；合化争议时停止细化伴侣画像。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或情境性观察。,98,不加分；定义／门控,partner_function_profile,十神只作为关系功能来源，最终输出行为。,你需要的是能力，不是命理标签。,不得仅凭本规则推出某个具体人必然适合、忠诚、成熟或长期稳定；不得推断职业、收入、外貌、家庭、生肖、五行；不得以命理要求容忍伤害、原谅、复合或继续关系。现实安全、持续行为、反例与双方意愿优先。,高,待验证,,provisional=true; rule_group=PARTNER-定义边界,0.3
