system_module_id,model,native_module,module_name,version,record_count,record_class,responsibility,upstream,outputs,downstream,authority,runtime_status,validation_status,source_file,notes
M0.SYSTEM,M0,M00,系统边界与总流程,1.9,0,system,定义M0原局静态结构引擎的范围、四层推理架构和治理边界。,出生信息、四柱、时区、历法与节气核验,模块状态、可继续层级、停止原因、版本信息,M0.M02-M21及M1-M5,系统边界与调用顺序,启用,待真实案例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,M0不处理大运流年和具体事件日期。
M0.CODEBOOK,M0,M01,术语、编码与ID规范,1.9,621,codebook,统一枚举术语、Rule_ID、Field_ID、Case_ID、Change_ID和版本规则。,无,621条术语编码与ID规范,所有模块,编码与ID语义,启用,治理规则,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,规则ID停用后不复用。
M0.M02,M0,M02,02_干支藏干基础,1.9,40,reference_data,保存不可再拆分的基础映射：天干地支、阴阳五行、藏干层级、季节属性与十神映射前提。此表是全库的事实底座。,无,统一干支、藏干、五行与十神映射,M03/M04/M05/M07/M09/M10,统一干支、藏干、五行与十神映射,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入40条：十天干10、十二地支12、五行5、十神10、治理边界3。
M0.M03,M0,M03,03_月令与根气,1.9,60,executable_rule,定义月令司权、得令、得地、通根及根气等级。每条规则必须说明它只是证据，还是足以构成否决或硬约束。,M02,月令支持度、根气类型与证据权重,M07/M08/M09/M14,月令支持度、根气类型与证据权重,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入60条：月令12、旺相休囚死5、程序6、十干通根10、根气与边界27。
M0.M04,M0,M04,04_天干作用识别,1.9,50,executable_rule,只识别天干五合、相克、争合、妒合、隔合与合化候选。识别成立不等于合化成立，也不等于必然增减力。,M02,天干关系清单与合化候选,M06/M08/M10/M11,天干关系清单与合化候选,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入50条：五合5、相克20、柱位6、合化候选5、争合5、通用多重关系与边界9。
M0.M05,M0,M05,05_地支关系识别,1.9,90,executable_rule,识别六合、三合、半合、拱合、三会、六冲、三刑、自刑、六害、六破及多重关系。此表不直接裁定某支被刑弱或被冲散。,M02,地支关系清单、完整度与叠加关系,M06/M08/M10/M11/M12,地支关系清单、完整度与叠加关系,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入90条：六合6、三合4、半合8、拱合4、三会4、六冲6、三刑9、自刑4、六害6、六破6、柱位与边界33。
M0.M06,M0,M06,06_干支关系效应,1.9,120,executable_rule,将已识别的合冲刑害转化为实际效应：合绊、合化、冲动、冲散、刑伤、激活、开库、根气变化与流通影响。必须逐对象判断。,M03/M04/M05,关系的实际增减、转化、激活与阻断,M08/M09/M10/M11/M12/M14/M15,关系的实际增减、转化、激活与阻断,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入120条：天干合10、天干合化12、天干相克8、六合12、三合10、三会6、半合拱合6、六冲18、三刑9、自刑4、六害4、六破4、多重关系7、效应边界10。
M0.M07,M0,M07,07_五行原始旺衰,1.9,80,executable_rule,在复杂合冲效应修正前，按得令、根气、透干、生源、同党、成势与连续生扶评估五行基础力量。保留参考权重但禁止机械总分代替判断。,M02/M03,五行原始旺衰证据与候选等级,M08/M09/M10,五行原始旺衰证据与候选等级,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入80条：季令10、根气16、透干10、生源10、同党10、成势8、连续生扶6、综合分级6、边界4。
M0.M08,M0,M08,08_五行有效旺衰,1.9,110,executable_rule,将M07原始力量经合冲刑害、生克泄耗、根气变化、寒凝燥枯与流通状态修正为真正可发挥的有效力量。,M06/M07,五行有效旺衰、可用性与修正原因,M09/M10/M11/M12/M13/M14/M16/M17,五行有效旺衰、可用性与修正原因,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入110条：根气16、生源12、透达8、克制10、泄气8、耗气8、合化会局12、冲刑害破12、寒燥8、流通6、综合分级6、边界4。
M0.M09,M0,M09,09_日主旺衰,1.9,90,executable_rule,综合得令、得地、得势、得生、受制、受泄、受耗及根气有效性，输出七级旺衰、反向证据与置信度。,M03/M07/M08,日主七级旺衰、正反证据与置信度,M10/M11/M14/M16/M17,日主七级旺衰、正反证据与置信度,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入90条：得令10、得地12、得势10、得生8、受制8、受泄8、受耗6、综合比较10、七级分级8、边界10。
M0.M10,M0,M10,10_十神旺衰功能,1.9,120,executable_rule,分别判断十神是否存在、自身力量、清纯度、功能是否有效及对全局喜忌。禁止把十神旺弱直接等同于吉凶。,M02/M08/M09,十神力量、清纯度、功能状态与喜忌候选,M11/M14/M15/M16/M17,十神力量、清纯度、功能状态与喜忌候选,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入120条：存在12、力量12、清纯8、比劫10、印星10、食伤12、财星12、官杀14、制化10、组合格局接口8、喜忌候选6、边界6。
M0.M11,M0,M11,11_十神组合成立,1.9,110,executable_rule,建立食神制杀、伤官配印、官印相生、杀印相生等组合的必要条件、破坏条件、救应条件与成立等级。,M08/M09/M10,十神组合成立等级、功能、破坏与救应,M14/M15/M16/M17,十神组合成立等级、功能、破坏与救应,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入110条：通用10、食神制杀10、杀印相生8、官印相生8、伤官配印10、食伤生财10、财官生化链8、平衡承载10、其他制化8、冲突病态18、边界10。
M0.M12,M0,M12,12_五行流通卡点,1.9,90,executable_rule,把五行和十神关系表达为起点—桥梁—终点路径，定位缺桥、桥弱、两强相战、寒凝燥枯与终点不能承载等卡点。,M06/M08/M10/M11,主要流通路径、卡点与通关候选,M13/M16/M17,主要流通路径、卡点与通关候选,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入90条：通用10、源头8、桥梁12、终点8、典型卡点16、五行生化与通关10、十神路径10、通关副作用8、综合输出4、边界4。
M0.M13,M0,M13,13_寒暖燥湿,1.9,70,executable_rule,将温度轴和湿度轴分开判断，再评估调候五行是否存在、是否有效、紧急程度及其与扶抑和格局的冲突。,M02/M08/M12,温度、湿度、调候候选与紧急度,M16/M17,温度、湿度、调候候选与紧急度,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入70条：通用8、十二月令基准12、寒暖修正10、燥湿修正10、双轴组合8、调候元素有效性8、调候冲突8、边界6。
M0.M14,M0,M14,14_格局候选判断,1.9,80,executable_rule,先生成多个普通或特殊格局候选，再按月令、透干、格神、日主配合及严格条件逐一淘汰，禁止一开始强行定格。,M03/M06/M08/M09/M10/M11,格局候选清单、排除理由与候选状态,M15/M17/M18,格局候选清单、排除理由与候选状态,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入80条：通用8、正官6、七杀6、印格6、财格6、食伤8、建禄羊刃8、从格10、化气6、专旺6、候选排序6、边界4。
M0.M15,M0,M15,15_格局成败救应,1.9,100,executable_rule,对M14候选逐项判断成格、破格、清纯度、救应有效性和层次，保留反向证据，并区分“成立”与“层次高低”。,M14/M11/M08,最终格局、破格、救应与层次,M16/M17/M18,最终格局、破格、救应与层次,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入100条：通用10、正官8、七杀8、印格8、财格8、食伤10、建禄羊刃8、从格10、化气8、专旺8、救应10、边界4。
M0.M16,M0,M16,16_病药模型,1.9,110,executable_rule,把旺衰、流通、制化、格局和调候问题转化为病位、病性、根因与药理，评估药力不足、过量和产生新病的风险。,M08/M09/M10/M11/M12/M13/M15,根本病、表层病、主药、辅助药与副作用,M17/M18,根本病、表层病、主药、辅助药与副作用,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入110条：通用8、偏弱8、过旺8、流通病14、制化病16、格局病12、调候病10、药神选择10、药力风险10、主次排序6、复合病4、边界4。
M0.M17,M0,M17,17_喜忌用神矩阵,1.9,100,executable_rule,把每个候选五行放入五维用神矩阵，分别记录收益、冲突与副作用，最后定主用、辅助用、喜、忌及条件性定位。,M09/M12/M13/M15/M16,主用、辅助用、喜忌及条件说明,M18/M19,主用、辅助用、喜忌及条件说明,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入100条：通用10、扶抑12、格局12、通关10、调候10、病药10、五行综合20、定位等级8、边界8。
